X,Y,Z,formation
604686.3370715551,5631871.562714494,2675,Od_Tp
604682.4275000002,5631890.589400001,2523,Od_Tp
604674.6510999997,5631941.941299999,2523,Od_Tp
603180.7821850602,5636325.959234891,1953,Od_Tp
603155.1796999997,5635871.331499998,1901,Od_Tp
603230.5388999998,5635459.176999999,1901,Od_Tp
603456.0777,5635064.3908,1932,Od_Tp
603685.8860999999,5634661.6458,2017,Od_Tp
603976.0482000007,5634364.229699999,2144,Od_Tp
603977.2917999991,5634223.7084,2122,Od_Tp
604025.8592999993,5633964.2897,2136,Od_Tp
604395.3322999988,5633740.381300001,2234,Od_Tp
604666.868399999,5633349.9142,2446,Od_Tp
604930.0596,5632954.871200001,2513,Od_Tp
605203.7560999988,5632564.902599999,2792,Od_Tp
605338.6226999994,5632307.904100002,2811,Od_Tp
603143.7251044945,5636519.449537448,2040,Od_Sk
603104.0628000008,5636068.9317,1967,Od_Sk
603100.2599999999,5635619.4988,1909,Od_Sk
603269.6772999999,5635206.4024,1905,Od_Sk
603520.5478999992,5634814.752699998,1988,Od_Sk
603721.6063000001,5634371.0072,2035,Od_Sk
603826.1212,5634150.4629999995,2062,Od_Sk
603919.6954999996,5633943.324,2073,Od_Sk
604280.4954000014,5633705.831700002,2218,Od_Sk
604548.2056999998,5633317.934300001,2398,Od_Sk
604835.3101000012,5632944.1128,2544,Od_Sk
605010.3283999991,5632543.7675,2605,Od_Sk
605026.2713000003,5632139.879400001,2572,Od_Sk
605054.6142999986,5632122.873500002,2572,Od_Sk
604879.0314999997,5632054.191199998,2507,OdSl_B
604888.7509000011,5632037.8626999995,2507,OdSl_B
603585.7491000001,5634116.2669,2032,OdSl_B
603737.8793000007,5633662.262399999,2065,OdSl_B
603915.2580000007,5633203.0217,2090,OdSl_B
604070.9510000008,5633000.252599999,2104,OdSl_B
604239.2918000002,5632833.265900001,2174,OdSl_B
604589.2552000007,5632492.729499999,2366,OdSl_B
604849.8734000005,5632103.176899999,2428,OdSl_B
604869.3121999991,5632070.519800001,2421,OdSl_B
604672.0590000005,5631959.0586,2399,Dv_A
604286.7956999987,5632272.680600001,2342,Dv_A
603941.0469999992,5632537.200200001,2222,Dv_A
603910.3577000005,5632558.0387,2222,Dv_A
603503.5843999995,5632811.4195,2260,Dv_A
603139.5822000008,5633013.585599999,2290,Dv_A
604726.6598999993,5631914.609699999,2523,Dv_A
