X,Y,Z,formation
600642.3376866371,5613197.383016261,1550.0,MITCHELL FAULT
600745.0522567697,5612997.978353196,1539.0,MITCHELL FAULT
600768.2518421083,5612952.93989025,1545.0,MITCHELL FAULT
600940.3139265929,5612614.213140869,1470.0,MITCHELL FAULT
601122.9045830466,5612355.87128942,1437.0,MITCHELL FAULT
601421.1492424125,5611933.120992161,1492.0,MITCHELL FAULT
601824.3878118513,5611449.755642579,1407.0,MITCHELL FAULT
602177.2896386879,5610956.630363926,1323.0,MITCHELL FAULT
602436.9268610325,5610533.229737053,1282.0,MITCHELL FAULT
602864.9743248002,5609987.898539826,1246.0,MITCHELL FAULT
603056.0742609738,5609753.4652944375,1257.0,MITCHELL FAULT
603197.4877055304,5609470.664604211,1285.0,MITCHELL FAULT
603299.3231384932,5609286.5279939035,1310.0,MITCHELL FAULT
603439.9810508944,5609029.328769842,1339.0,MITCHELL FAULT
591807.3554712909,5646741.877109401,2356.0,NUBLET THRUST
591809.0131735097,5646734.555577642,2356.0,NUBLET THRUST
591886.2540608997,5646547.395128035,2373.0,NUBLET THRUST
591972.4073926179,5646357.263728616,2383.0,NUBLET THRUST
592061.5315334066,5646184.957191748,2406.0,NUBLET THRUST
592123.918279852,5646113.657908377,2434.0,NUBLET THRUST
592177.3927896146,5646113.657916198,2441.0,NUBLET THRUST
592224.9256495106,5646140.395102136,2441.0,NUBLET THRUST
592269.4875867428,5646190.898726998,2450.0,NUBLET THRUST
592319.9913443178,5646285.964537181,2479.0,NUBLET THRUST
592352.670102527,5646392.913357288,2463.0,NUBLET THRUST
592394.2612956379,5646464.212641245,2448.0,NUBLET THRUST
592465.5606067707,5646517.687105073,2457.0,NUBLET THRUST
592557.6555294541,5646612.752662757,2383.0,NUBLET THRUST
592578.4510627093,5646630.577669655,2383.0,NUBLET THRUST
592599.2467110656,5646627.606817864,2338.0,NUBLET THRUST
592623.0130945065,5646600.869601741,2367.0,NUBLET THRUST
592643.8088156881,5646508.774706477,2379.0,NUBLET THRUST
592623.0130897913,5646398.854946043,2374.0,NUBLET THRUST
592560.626320415,5646294.876858978,2488.0,NUBLET THRUST
592581.4219193286,5646152.27827916,2499.0,NUBLET THRUST
592715.1080364222,5645867.081293005,2497.0,NUBLET THRUST
592836.9109190297,5645632.387968387,2524.0,NUBLET THRUST
592940.8889953338,5645403.636106103,2587.0,NUBLET THRUST
593050.8087401388,5645154.0886558425,2547.0,NUBLET THRUST
593169.6407463403,5644848.095952312,2544.0,NUBLET THRUST
593240.940070154,5644750.059555372,2563.0,NUBLET THRUST
593374.6262034639,5644663.906351138,2601.0,NUBLET THRUST
593469.6919353551,5644556.957325597,2535.0,NUBLET THRUST
593683.5897090018,5644236.110703551,2491.0,NUBLET THRUST
593777.3124527538,5644073.135066752,2492.0,NUBLET THRUST
593843.380530227,5643979.410680087,2489.0,NUBLET THRUST
593947.8601561994,5643854.9568652725,2584.0,NUBLET THRUST
594043.121192668,5643698.237289247,2528.0,NUBLET THRUST
594169.1113710351,5643506.17882556,2530.0,NUBLET THRUST
594308.9298690687,5643317.193496993,2526.0,NUBLET THRUST
594405.7272720335,5643206.567968817,2533.0,NUBLET THRUST
594497.915353524,5643109.770417823,2529.0,NUBLET THRUST
594567.05632945,5643022.191936806,2494.0,NUBLET THRUST
594602.3950187961,5642949.977991307,2495.0,NUBLET THRUST
594622.3691011068,5642876.227629369,2519.0,NUBLET THRUST
594620.8326263743,5642791.721905133,2491.0,NUBLET THRUST
594599.3221199035,5642697.997423625,2491.0,NUBLET THRUST
594605.4680502671,5642585.835436437,2488.0,NUBLET THRUST
594619.2962386642,5642452.162789447,2482.0,NUBLET THRUST
594657.7078121171,5642352.292489205,2501.0,NUBLET THRUST
594725.3123922722,5642249.349223325,2499.0,NUBLET THRUST
594794.4534190007,5642164.843692812,2502.0,NUBLET THRUST
594892.7871921577,5642089.556746943,2427.0,NUBLET THRUST
594935.8988010965,5642065.1053912835,2427.0,NUBLET THRUST
594995.730506565,5642031.171014422,2408.0,NUBLET THRUST
595006.4931428125,5642028.6386064375,2408.0,NUBLET THRUST
595073.9618015869,5642012.763593447,2396.0,NUBLET THRUST
595100.2101961849,5642006.587503909,2445.0,NUBLET THRUST
595156.519489873,5642000.812213018,2441.0,NUBLET THRUST
