formation,thickness median,thickness std,method
Cm_G,373.0,473.20559075786286,full
Cm_Na,77.0,311.58055809305876,full
Cm_Ca,240.0,494.7054506703721,full
Cm_Pk,280.0,427.3785063990586,full
Cm_T,229.0,344.7691397736458,full
Cm_Ar_uWf,486.0,197.69815719640675,full
Cm_rim,176.0,197.24060866745944,full
Cm_Su_l,74.0,345.855984868427,full
Cm_Su_s,68.0,435.0604720467812,full
Cm_Su_u,570.0,380.68044570600074,full
Cm_L,262.0,372.0253671190484,full
Cm_M,1643.0,1300.0304386993814,full
Cm_BC,131.0,521.819176195319,full
CmOd_SP,151.0,373.6143258791939,full
CmOd_MK_uc,286.0,nan,full
CmOd_MK_ua,410.0,341.89885722451396,full
Od_Tp,612.0,949.328064046083,full
Od_Gt,266.5,289.37029333825313,full
Od_Gl_m,649.0,409.2068547812952,full
Od_Sk,294.0,685.9865981950564,full
Od_OC,60.0,659.3829252454625,full
OdSl_B,164.0,385.8090476536137,full
Dv_A,42.0,583.870954409694,full
Dv_MH,1239.5,480.20843067586554,full
Dv_PMH,315.5,901.6070118573664,full
Dv_Ss,116.0,546.8697832121319,full
Dv_Pa,731.5,627.7350480142337,full
DvCb_EBf_l_lm,122.0,483.4499475238897,full
Cb_Bf_l_u,206.0,515.9154990518899,full
Cm_MD,1998.0,1084.9754432177697,min
Cm_La,1571.0,587.4387911377094,min
Cm_Ar_l,446.0,497.26233513914934,min
CmOd_MK_ub,774.0,1504.9396746190273,min
Cb_Bf_u_B,467.0,974.5234688885686,min
Cm_Ar_lw,283.0,nan,guess
