GROUP_,id,x,y,z,code
MISSISSIPPIAN,87,605208.07164914,5633404.715294843,2289,Cb_Bf_u_B
MISSISSIPPIAN,87,605208.010900001,5633404.789100002,2289,Cb_Bf_u_B
MISSISSIPPIAN,87,605195.8126999992,5633419.6088,2289,Cb_Bf_u_B
MISSISSIPPIAN,87,605183.6144000009,5633434.428599999,2289,Cb_Bf_u_B
MISSISSIPPIAN,87,605171.416199999,5633449.248400001,2289,Cb_Bf_u_B
MISSISSIPPIAN,87,605159.2179999994,5633464.068200001,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,605147.0197000011,5633478.888,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,605134.8214999993,5633493.707699998,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,605122.6232999997,5633508.527500001,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,605110.4251000001,5633523.3473,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,605098.2267999996,5633538.167099999,2276,Cb_Bf_u_B
MISSISSIPPIAN,87,605086.0286,5633552.986899999,2267,Cb_Bf_u_B
MISSISSIPPIAN,87,605073.8304000003,5633567.8066,2267,Cb_Bf_u_B
MISSISSIPPIAN,87,605061.6320999998,5633582.6263999995,2267,Cb_Bf_u_B
MISSISSIPPIAN,87,605049.4339000002,5633597.446200001,2267,Cb_Bf_u_B
MISSISSIPPIAN,87,605037.289200001,5633612.7475000005,2273,Cb_Bf_u_B
MISSISSIPPIAN,87,605025.1444999997,5633628.048800002,2273,Cb_Bf_u_B
MISSISSIPPIAN,87,605012.9996999997,5633643.3500999985,2274,Cb_Bf_u_B
MISSISSIPPIAN,87,605000.8550000006,5633658.651299999,2274,Cb_Bf_u_B
MISSISSIPPIAN,87,604988.7103000014,5633673.952600001,2281,Cb_Bf_u_B
MISSISSIPPIAN,87,604976.5654999991,5633689.253900001,2281,Cb_Bf_u_B
MISSISSIPPIAN,87,604964.4208,5633704.555199999,2281,Cb_Bf_u_B
MISSISSIPPIAN,87,604952.2761000008,5633719.856499999,2281,Cb_Bf_u_B
MISSISSIPPIAN,87,604940.1312999986,5633735.157800001,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,604927.9865999995,5633750.4591,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,604915.8419000003,5633765.760399999,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,604903.6971000002,5633781.0616,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,604891.5524000011,5633796.362899999,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,604879.4076999999,5633811.6642,2278,Cb_Bf_u_B
MISSISSIPPIAN,87,604867.2628999997,5633826.9655,2276,Cb_Bf_u_B
MISSISSIPPIAN,87,604855.1182000006,5633842.266799999,2276,Cb_Bf_u_B
MISSISSIPPIAN,87,604842.9734999993,5633857.568099999,2276,Cb_Bf_u_B
MISSISSIPPIAN,87,604830.8287000014,5633872.8694,2276,Cb_Bf_u_B
MISSISSIPPIAN,87,604819.5292999996,5633888.149299999,2287,Cb_Bf_u_B
MISSISSIPPIAN,87,604808.2299,5633903.429099999,2287,Cb_Bf_u_B
MISSISSIPPIAN,87,604796.9305000005,5633918.709,2274,Cb_Bf_u_B
MISSISSIPPIAN,87,604785.6311000008,5633933.988900001,2274,Cb_Bf_u_B
MISSISSIPPIAN,87,604774.3316000003,5633949.2688,2274,Cb_Bf_u_B
MISSISSIPPIAN,87,604763.0322000007,5633964.548699998,2296,Cb_Bf_u_B
MISSISSIPPIAN,87,604751.7328000012,5633979.8286000015,2296,Cb_Bf_u_B
MISSISSIPPIAN,87,604740.4334000016,5633995.1085,2296,Cb_Bf_u_B
MISSISSIPPIAN,87,604729.1339999997,5634010.388399999,2285,Cb_Bf_u_B
MISSISSIPPIAN,87,604717.8346000002,5634025.6683,2285,Cb_Bf_u_B
MISSISSIPPIAN,87,604706.5350999996,5634040.9482,2314,Cb_Bf_u_B
MISSISSIPPIAN,87,604695.2357000001,5634056.228000001,2314,Cb_Bf_u_B
MISSISSIPPIAN,87,604683.9363000004,5634071.5079,2314,Cb_Bf_u_B
MISSISSIPPIAN,87,604672.6369000009,5634086.787799998,2314,Cb_Bf_u_B
MISSISSIPPIAN,87,604661.3375000013,5634102.067700001,2314,Cb_Bf_u_B
MISSISSIPPIAN,87,604650.2628000006,5634117.636499998,2298,Cb_Bf_u_B
MISSISSIPPIAN,87,604639.1880999999,5634133.2053000005,2298,Cb_Bf_u_B
MISSISSIPPIAN,87,604628.1133999992,5634148.7741,2298,Cb_Bf_u_B
MISSISSIPPIAN,87,604617.0387000008,5634164.342900001,2298,Cb_Bf_u_B
MISSISSIPPIAN,87,604605.9640000002,5634179.911699999,2332,Cb_Bf_u_B
MISSISSIPPIAN,87,604594.8892999995,5634195.4805000005,2332,Cb_Bf_u_B
MISSISSIPPIAN,87,604582.3700999992,5634210.6136,2296,Cb_Bf_u_B
MISSISSIPPIAN,87,604569.8508000002,5634225.746800001,2296,Cb_Bf_u_B
MISSISSIPPIAN,87,604557.3315999999,5634240.8799,2296,Cb_Bf_u_B
MISSISSIPPIAN,87,604544.812300001,5634256.013100001,2326,Cb_Bf_u_B
MISSISSIPPIAN,87,604532.2931000007,5634271.1462,2326,Cb_Bf_u_B
MISSISSIPPIAN,87,604519.7737999995,5634286.2793,2326,Cb_Bf_u_B
MISSISSIPPIAN,87,604507.2545999993,5634301.4125,2310,Cb_Bf_u_B
MISSISSIPPIAN,87,604495.8589000002,5634316.820800001,2327,Cb_Bf_u_B
MISSISSIPPIAN,87,604484.463200001,5634332.228999999,2327,Cb_Bf_u_B
MISSISSIPPIAN,87,604473.0674999998,5634347.6373,2327,Cb_Bf_u_B
MISSISSIPPIAN,87,604461.6716999997,5634363.0456,2327,Cb_Bf_u_B
MISSISSIPPIAN,87,604450.2760000005,5634378.453900001,2327,Cb_Bf_u_B
MISSISSIPPIAN,87,604438.8802999993,5634393.862199998,2318,Cb_Bf_u_B
MISSISSIPPIAN,87,604426.8616000002,5634406.079700001,2318,Cb_Bf_u_B
MISSISSIPPIAN,87,604414.842899999,5634418.2972,2318,Cb_Bf_u_B
MISSISSIPPIAN,87,604402.8240999989,5634430.514799998,2318,Cb_Bf_u_B
MISSISSIPPIAN,87,604390.8053999998,5634442.732299999,2318,Cb_Bf_u_B
MISSISSIPPIAN,87,604201.4259999989,5634790.092599999,2289,Cb_Bf_u_B
MISSISSIPPIAN,87,604195.0465000003,5634807.822600001,2289,Cb_Bf_u_B
MISSISSIPPIAN,87,604188.6669000005,5634825.552500001,2294,Cb_Bf_u_B
MISSISSIPPIAN,87,604182.2873999996,5634843.282500001,2294,Cb_Bf_u_B
MISSISSIPPIAN,87,604175.9077999999,5634861.0125,2294,Cb_Bf_u_B
MISSISSIPPIAN,87,604169.5283000012,5634878.7425,2294,Cb_Bf_u_B
MISSISSIPPIAN,87,604162.3762999988,5634896.5393,2304,Cb_Bf_u_B
MISSISSIPPIAN,87,604155.2243000009,5634914.335999999,2263,Cb_Bf_u_B
MISSISSIPPIAN,87,604148.0723999996,5634932.132700001,2263,Cb_Bf_u_B
MISSISSIPPIAN,87,604140.9203999995,5634949.9295000015,2263,Cb_Bf_u_B
MISSISSIPPIAN,87,604133.7683999994,5634967.7261999985,2251,Cb_Bf_u_B
MISSISSIPPIAN,87,604126.6165000002,5634985.5229,2251,Cb_Bf_u_B
MISSISSIPPIAN,87,604119.4645,5635003.319700001,2251,Cb_Bf_u_B
MISSISSIPPIAN,87,604110.4413999993,5635020.7838,2251,Cb_Bf_u_B
MISSISSIPPIAN,87,604101.4183000007,5635038.2479,2245,Cb_Bf_u_B
MISSISSIPPIAN,87,604092.3952,5635055.711999999,2245,Cb_Bf_u_B
MISSISSIPPIAN,87,604083.3720000006,5635073.176,2202,Cb_Bf_u_B
MISSISSIPPIAN,87,604074.3488999997,5635090.6400999995,2202,Cb_Bf_u_B
MISSISSIPPIAN,87,604065.3257999991,5635108.104199999,2202,Cb_Bf_u_B
MISSISSIPPIAN,87,604056.3027000005,5635125.5682999985,2202,Cb_Bf_u_B
MISSISSIPPIAN,87,604047.2795999998,5635143.032400001,2202,Cb_Bf_u_B
MISSISSIPPIAN,87,604038.2565000012,5635160.4965,2202,Cb_Bf_u_B
MISSISSIPPIAN,87,604029.2332999995,5635177.9606,2202,Cb_Bf_u_B
MISSISSIPPIAN,87,604020.2101999987,5635195.424699999,2203,Cb_Bf_u_B
MISSISSIPPIAN,87,604011.1871000002,5635212.888800001,2165,Cb_Bf_u_B
MISSISSIPPIAN,87,604003.1665999999,5635228.8005,2165,Cb_Bf_u_B
MISSISSIPPIAN,87,603995.1460000008,5635244.712300001,2165,Cb_Bf_u_B
MISSISSIPPIAN,87,603987.1255000004,5635260.624,2175,Cb_Bf_u_B
MISSISSIPPIAN,87,603979.1048999991,5635276.535700001,2175,Cb_Bf_u_B
MISSISSIPPIAN,87,603971.084400001,5635292.4474,2175,Cb_Bf_u_B
MISSISSIPPIAN,87,603963.0637999997,5635308.3592,2175,Cb_Bf_u_B
MISSISSIPPIAN,87,603955.0432999993,5635324.270899999,2176,Cb_Bf_u_B
MISSISSIPPIAN,87,603947.0227000003,5635340.1826,2176,Cb_Bf_u_B
MISSISSIPPIAN,87,603939.0022,5635356.0944,2136,Cb_Bf_u_B
MISSISSIPPIAN,87,603931.0074999994,5635373.791300001,2136,Cb_Bf_u_B
MISSISSIPPIAN,87,603923.0128999997,5635391.488299998,2136,Cb_Bf_u_B
MISSISSIPPIAN,87,603915.0181999991,5635409.185199999,2136,Cb_Bf_u_B
MISSISSIPPIAN,87,603907.0235000007,5635426.882200001,2136,Cb_Bf_u_B
MISSISSIPPIAN,87,603899.0288000001,5635444.5791,2136,Cb_Bf_u_B
MISSISSIPPIAN,87,603891.0342000005,5635462.276099999,2136,Cb_Bf_u_B
MISSISSIPPIAN,87,603883.0394999998,5635479.973,2127,Cb_Bf_u_B
MISSISSIPPIAN,87,603875.0447999993,5635497.67,2127,Cb_Bf_u_B
MISSISSIPPIAN,87,603867.0500999987,5635515.3670000015,2049,Cb_Bf_u_B
MISSISSIPPIAN,87,603859.0554999991,5635533.0639,2049,Cb_Bf_u_B
MISSISSIPPIAN,87,603851.0608000007,5635550.7609,2070,Cb_Bf_u_B
MISSISSIPPIAN,87,603843.0661,5635568.457800001,2070,Cb_Bf_u_B
MISSISSIPPIAN,87,603835.0713999994,5635586.154800001,2070,Cb_Bf_u_B
MISSISSIPPIAN,87,603827.0767999998,5635603.851700001,2070,Cb_Bf_u_B
MISSISSIPPIAN,87,603819.0820999993,5635621.548699998,2066,Cb_Bf_u_B
MISSISSIPPIAN,87,603812.0964000002,5635638.8187,2066,Cb_Bf_u_B
MISSISSIPPIAN,87,603805.1107999998,5635656.0888,2066,Cb_Bf_u_B
MISSISSIPPIAN,87,603798.1251999995,5635673.358899999,2066,Cb_Bf_u_B
MISSISSIPPIAN,87,603791.1395000004,5635690.628900001,1977,Cb_Bf_u_B
MISSISSIPPIAN,87,603784.1539000002,5635707.899000001,1977,Cb_Bf_u_B
MISSISSIPPIAN,87,603777.168200001,5635725.169,1977,Cb_Bf_u_B
MISSISSIPPIAN,87,603770.1826000006,5635742.4391,1977,Cb_Bf_u_B
MISSISSIPPIAN,87,603763.1968999994,5635759.7091000015,1977,Cb_Bf_u_B
MISSISSIPPIAN,87,603756.211299999,5635776.979199999,1977,Cb_Bf_u_B
