X,Y,Z,formation
606006.7925623242,5632700.108948564,2419,Cb_Bf_u_B
605380.0500000006,5633200.141000002,2340,Cb_Bf_u_B
605073.8304000003,5633567.8066,2267,Cb_Bf_u_B
605025.1444999997,5633628.048800002,2273,Cb_Bf_u_B
604774.3316000003,5633949.2688,2274,Cb_Bf_u_B
604484.463200001,5634332.228999999,2327,Cb_Bf_u_B
604390.8053999998,5634442.732299999,2318,Cb_Bf_u_B
604201.4259999989,5634790.092599999,2289,Cb_Bf_u_B
604003.1665999999,5635228.8005,2165,Cb_Bf_u_B
603805.1107999998,5635656.0888,2066,Cb_Bf_u_B
603777.168200001,5635725.169,1977,Cb_Bf_u_B
603599.2664999994,5636045.715399999,1904,Cb_Bf_u_B
603280.4117999988,5636363.061200001,1957,Cb_Bf_u_B
603171.6243000006,5636473.085899998,2007,Cb_Bf_u_B
603767.5537272578,5636448.025762837,1934,Cb_Bf_u_B
603811.8880000003,5636317.862999999,1927,Cb_Bf_u_B
603910.5906999992,5636194.5769,1948,Cb_Bf_u_B
603009.4722000009,5636963.241000001,2179,Cb_Bf_u_B
602950.5447999993,5637324.248700001,2001,Cb_Bf_u_B
602951.8354000006,5637399.2898,1966,Cb_Bf_u_B
603021.5296000006,5637679.1724999985,1898,Cb_Bf_u_B
603122.7792000003,5636687.5026,2101,Cb_Bf_u_B
603088.8265000001,5636816.037799998,2143,Cb_Bf_u_B
603017.7911000004,5636948.267,2179,Cb_Bf_u_B
603148.5455999996,5636559.6205,2061,Cb_Bf_u_B
603137.9169999997,5636616.306500002,2061,Cb_Bf_u_B
603126.5637,5636669.703500002,2101,Cb_Bf_u_B
603158.0208000004,5636487.3269,2007,Cb_Bf_u_B
603155.6519999997,5636505.4003,2007,Cb_Bf_u_B
603150.9144000004,5636541.547100001,2040,Cb_Bf_u_B
604378.7867000009,5634454.949799999,2318,Cb_Bf_u_B
604306.4044000007,5634617.952400001,2347,Cb_Bf_u_B
604211.9984000006,5634775.250600002,2289,Cb_Bf_u_B
600472.8857000014,5638566.872099999,2758,Cb_Bf_u_B
600153.7475,5638357.380799999,2625,Cb_Bf_u_B
599988.5069999993,5638385.387599998,2646,Cb_Bf_u_B
599979.2647000008,5638424.0371,2680,Cb_Bf_u_B
600194.2865000007,5638595.8440000005,2719,Cb_Bf_u_B
600470.7851999998,5638581.995799999,2758,Cb_Bf_u_B
598716.5263000001,5641025.312500001,2375,Cb_Bf_u_B
599067.0323999992,5640811.2038,2446,Cb_Bf_u_B
599382.4148000004,5640491.065099999,2476,Cb_Bf_u_B
599618.0369000005,5640119.7042,2481,Cb_Bf_u_B
599513.0313999995,5639789.321200001,2416,Cb_Bf_u_B
599461.8092999996,5639712.487899999,2393,Cb_Bf_u_B
599341.437,5639284.7825,2400,Cb_Bf_u_B
598211.2051999996,5641062.429400001,2266,Cb_Bf_u_B
598450.2034999995,5641081.9958,2277,Cb_Bf_u_B
598698.5985000012,5641029.410300001,2375,Cb_Bf_u_B
599318.385900001,5638918.5449,2408,Cb_Bf_u_B
599034.9576000002,5639273.684399999,2358,Cb_Bf_u_B
598810.4336999999,5639704.8045000015,2358,Cb_Bf_u_B
598708.2027000007,5639952.9120000005,2334,Cb_Bf_u_B
598627.1008999994,5640144.2483,2334,Cb_Bf_u_B
598414.3154000002,5640562.7762,2303,Cb_Bf_u_B
598188.3466999996,5640979.055,2267,Cb_Bf_u_B
598155.6432999986,5641039.7828,2248,Cb_Bf_u_B
606100.2531938185,5632543.679599999,2331,Cb_Bf_l_u
605390.151300001,5632944.199,2343,Cb_Bf_l_u
605143.2509999999,5633218.6459,2271,Cb_Bf_l_u
605075.006400001,5633307.638599999,2260,Cb_Bf_l_u
604813.3452999997,5633640.748299999,2261,Cb_Bf_l_u
604669.5163000013,5633839.154800001,2254,Cb_Bf_l_u
604657.9035999995,5633851.523600002,2236,Cb_Bf_l_u
604514.7894999993,5634121.417400001,2255,Cb_Bf_l_u
604450.9778000002,5634255.687999999,2310,Cb_Bf_l_u
604384.9705000009,5634437.576199999,2318,Cb_Bf_l_u
603758.8613999988,5635336.676499999,2019,Cb_Bf_l_u
603563.1748000012,5635753.8100000005,1911,Cb_Bf_l_u
603542.6836000005,5635783.149700001,1911,Cb_Bf_l_u
603303.8360000006,5636085.6066,1906,Cb_Bf_l_u
603251.2017999995,5636138.8247,1906,Cb_Bf_l_u
603183.9241999998,5636353.221,1982,Cb_Bf_l_u
603171.9365999995,5636398.9911,1982,Cb_Bf_l_u
603160.5023000007,5636469.0512999995,1982,Cb_Bf_l_u
604201.4259999989,5634790.092599999,2289,Cb_Bf_l_u
603906.1568000006,5635130.250499999,2123,Cb_Bf_l_u
603894.9991999996,5635144.494200001,2123,Cb_Bf_l_u
603188.7603999991,5636334.911699999,1982,Cb_Bf_l_u
599151.4027000014,5641181.796399999,2482,Cb_Bf_l_u
599610.0335000005,5641167.518200002,2667,Cb_Bf_l_u
599936.4682000006,5640898.7084,2759,Cb_Bf_l_u
600207.0920000005,5640536.140699999,2807,Cb_Bf_l_u
600230.7824000007,5640244.558300001,2717,Cb_Bf_l_u
599897.1978000012,5639931.8895000005,2505,Cb_Bf_l_u
599651.7581999999,5639540.466600001,2418,Cb_Bf_l_u
599598.4017999995,5639090.1382,2408,Cb_Bf_l_u
599616.1160000005,5638750.1508,2480,Cb_Bf_l_u
599892.8439000007,5638702.3862,2500,Cb_Bf_l_u
600061.1088000003,5638716.216199999,2570,Cb_Bf_l_u
600513.7848999995,5638778.323000002,2698,Cb_Bf_l_u
600581.0141000003,5638424.2497,2721,Cb_Bf_l_u
600253.5580000003,5638149.845,2505,Cb_Bf_l_u
599902.3201000004,5638042.6444000015,2404,Cb_Bf_l_u
597764.8180000003,5641813.1099000005,2150,Cb_Bf_l_u
598123.2026000015,5641522.3386,2185,Cb_Bf_l_u
598531.6141999995,5641323.169600002,2266,Cb_Bf_l_u
598985.4428000002,5641197.931500001,2398,Cb_Bf_l_u
599132.9627000011,5641183.589199999,2482,Cb_Bf_l_u
599895.5201000009,5638447.3867,2667,Cb_Bf_l_u
599529.1297999993,5638685.117,2511,Cb_Bf_l_u
598140.0437999999,5641072.437000001,2248,Cb_Bf_l_u
598092.5467999986,5641180.003599999,2213,Cb_Bf_l_u
597886.7268000009,5641601.306099999,2154,Cb_Bf_l_u
597759.9519000007,5641806.7071,2146,Cb_Bf_l_u
606194.6725465895,5632385.645595631,2306,DvCb_EBf_l_lm
605956.6504999996,5632430.845000001,2401,DvCb_EBf_l_lm
605696.9179999991,5632473.424100001,2470,DvCb_EBf_l_lm
605626.3498999987,5632474.350299999,2497,DvCb_EBf_l_lm
605349.9919999995,5632834.167899999,2375,DvCb_EBf_l_lm
605122.6236000004,5633117.7709,2292,DvCb_EBf_l_lm
605049.4204,5633207.530599999,2279,DvCb_EBf_l_lm
604771.9356000015,5633602.614900001,2257,DvCb_EBf_l_lm
604665.6803999996,5633833.427699999,2254,DvCb_EBf_l_lm
603758.8613999988,5635336.676499999,2019,DvCb_EBf_l_lm
603480.9710999992,5635715.548299999,1901,DvCb_EBf_l_lm
603246.4355000006,5636116.5629,1906,DvCb_EBf_l_lm
603241.6864999996,5636134.541899999,1906,DvCb_EBf_l_lm
603009.4722000009,5636963.241000001,2179,DvCb_EBf_l_lm
602698.5567999993,5637299.211200001,1913,DvCb_EBf_l_lm
602714.2459000002,5637602.7444,1849,DvCb_EBf_l_lm
602718.2083999991,5637750.678499999,1807,DvCb_EBf_l_lm
602642.5907999999,5638215.3749,1813,DvCb_EBf_l_lm
602590.6224,5638407.658199999,1844,DvCb_EBf_l_lm
598797.7740000007,5641408.706499999,2345,DvCb_EBf_l_lm
599268.1654999993,5641419.782,2509,DvCb_EBf_l_lm
599686.5232999986,5641306.7292,2646,DvCb_EBf_l_lm
599990.5397999999,5641128.512700001,2759,DvCb_EBf_l_lm
600210.2021000006,5640743.137099999,2737,DvCb_EBf_l_lm
600472.0414000007,5640429.238199999,2786,DvCb_EBf_l_lm
600349.4595999988,5640053.995999999,2672,DvCb_EBf_l_lm
600000.6052999994,5639800.055699999,2495,DvCb_EBf_l_lm
599791.8442000004,5639396.3257,2427,DvCb_EBf_l_lm
599903.0162000014,5639021.8515,2419,DvCb_EBf_l_lm
600349.7156999995,5639095.7224,2544,DvCb_EBf_l_lm
600816.1626999998,5639150.2113,2733,DvCb_EBf_l_lm
600978.1667000008,5638947.2494,2771,DvCb_EBf_l_lm
600925.5063000004,5638857.287699999,2729,DvCb_EBf_l_lm
600687.0715000005,5638506.949499999,2618,DvCb_EBf_l_lm
600608.6660000004,5638100.0013999995,2515,DvCb_EBf_l_lm
600233.8992999992,5637905.450400001,2367,DvCb_EBf_l_lm
599865.4079999999,5637670.8373,2308,DvCb_EBf_l_lm
599775.7534999991,5638073.963799999,2454,DvCb_EBf_l_lm
597732.1929999995,5641854.754399999,2146,DvCb_EBf_l_lm
597504.4588999997,5642260.990599999,2145,DvCb_EBf_l_lm
597486.0487000011,5642415.8165,2159,DvCb_EBf_l_lm
597767.1968999988,5642042.9513,2164,DvCb_EBf_l_lm
598122.1741000003,5641725.714000001,2195,DvCb_EBf_l_lm
598542.1829000001,5641504.498400002,2266,DvCb_EBf_l_lm
