WKT	OBJECTID	FEATURE
"LINESTRING (595527.1223333064 5619853.85585279, 595766.9923898603 5619576.430961783, 595899.4648667213 5619471.718773173, 596201.7482707564 5619161.921349725, 596486.0127420212 5618863.703061258, 596688.4916477872 5618659.167914555, 597030.383061143 5618290.624560672, 597187.3643516654 5618141.76550924)"	"MITCHELL FAULT"	"fault"
"LINESTRING (597187.3643516654 5618141.76550924, 597495.1371821353 5617858.796313256, 597794.100711483 5617569.73750638, 598136.8425432839 5617150.707518487, 598157.7252722282 5617125.031642165, 598283.3649044516 5616986.967738387)"	"MITCHELL FAULT"	"fault"
"LINESTRING (600642.3376866371 5613197.383016261, 600745.0522567698 5612997.978353196, 600768.2518421083 5612952.93989025, 600940.3139265929 5612614.213140868, 601122.9045830466 5612355.87128942, 601421.1492424125 5611933.120992161, 601824.3878118513 5611449.755642579, 602177.2896386879 5610956.630363926, 602436.9268610325 5610533.229737053, 602864.9743248002 5609987.898539826, 603056.0742609738 5609753.465294437, 603197.4877055304 5609470.664604211, 603299.3231384933 5609286.527993903, 603439.9810508944 5609029.328769842)"	"MITCHELL FAULT"	"fault"
"LINESTRING (598283.3649044516 5616986.967738387, 598314.4560755551 5616952.802052924, 598565.2463046625 5616672.15579108, 598783.1948976908 5616430.322468312, 599019.0571629524 5616206.4025599, 599225.0633354799 5616009.353182294, 599362.4008703482 5615827.231737331, 599520.6375741656 5615549.571161409, 599595.277498543 5615355.507394979, 599762.4709350603 5614892.739639353, 599907.2729493354 5614509.912483642, 600065.2863010289 5614123.418613858, 600166.4415102506 5613937.971373467, 600331.4133617 5613667.450209923, 600465.5366377978 5613464.734332557, 600642.3376866371 5613197.383016261)"	"MITCHELL FAULT"	"fault"
"LINESTRING (603439.9810508944 5609029.328769842, 603539.844875937 5608688.400463657, 603662.8407650797 5608259.415014379, 603749.8377887541 5607944.425573751, 603846.1691134514 5607697.088388021)"	"SCHOFIELD THRUST"	"fault"
"LINESTRING (603439.9810508944 5609029.328769842, 603578.1969007759 5608722.193472812, 603669.7170126364 5608530.833271727, 603822.2505615228 5608145.339280064, 603974.7841257066 5607768.165480271, 603975.1579125533 5607767.122811425)"	"MITCHELL FAULT"	"fault"
"LINESTRING (604028.0161021858 5627716.250826102, 604084.7446767908 5627569.841857143, 604175.6641096614 5627365.737053332, 604244.3176229601 5627222.863579147, 604248.6952063735 5627212.261017918, 604249.9091851782 5627209.320485125)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (602523.3949445743 5637634.476281933, 602538.7485310435 5637581.329468045, 602594.3531886151 5637423.295126242, 602686.2443103911 5637313.20271788)"	"FATIGUE THRUST"	"fault"
"LINESTRING (602412.4924477424 5638135.90455419, 602415.8329445296 5638111.037067692, 602450.951710907 5637970.562105212, 602500.7032013464 5637713.02470847, 602523.3949445743 5637634.476281933)"	"FATIGUE THRUST"	"fault"
"LINESTRING (602322.8764688974 5638866.04839759, 602339.7423663845 5638722.688242242, 602371.9344972231 5638459.297747393, 602389.4939336351 5638307.116709446, 602412.4924477424 5638135.90455419)"	"FATIGUE THRUST"	"fault"
"LINESTRING (585938.4400027208 5637436.727926407, 585978.462965612 5637242.144568441)"	"MITCHELL FAULT"	"fault"
"LINESTRING (591807.3554712909 5646741.877109401, 591809.0131735097 5646734.555577642, 591886.2540608997 5646547.395128035, 591972.4073926179 5646357.263728616, 592061.5315334066 5646184.957191747, 592123.918279852 5646113.657908378, 592177.3927896146 5646113.657916198, 592224.9256495106 5646140.395102136, 592269.4875867428 5646190.898726997, 592319.9913443178 5646285.964537181, 592352.670102527 5646392.913357287, 592394.261295638 5646464.212641245, 592465.5606067707 5646517.687105073, 592557.6555294541 5646612.752662757, 592578.4510627094 5646630.577669655, 592599.2467110656 5646627.606817864, 592623.0130945065 5646600.869601741, 592643.8088156881 5646508.774706478, 592623.0130897913 5646398.854946044, 592560.6263204149 5646294.876858977, 592581.4219193286 5646152.27827916, 592715.1080364222 5645867.081293005, 592836.9109190297 5645632.387968387, 592940.8889953338 5645403.636106102, 593050.8087401388 5645154.088655843, 593169.6407463402 5644848.095952313, 593240.940070154 5644750.059555372, 593374.6262034638 5644663.906351137, 593469.6919353551 5644556.957325598, 593683.5897090018 5644236.110703551, 593777.3124527538 5644073.135066753, 593843.380530227 5643979.410680088, 593947.8601561994 5643854.956865272, 594043.121192668 5643698.237289247, 594169.1113710351 5643506.17882556, 594308.9298690687 5643317.193496993, 594405.7272720335 5643206.567968817, 594497.915353524 5643109.770417824, 594567.05632945 5643022.191936806, 594602.3950187961 5642949.977991307, 594622.3691011068 5642876.227629369, 594620.8326263744 5642791.721905133, 594599.3221199035 5642697.997423625, 594605.4680502671 5642585.835436438, 594619.2962386642 5642452.162789447, 594657.7078121171 5642352.292489205, 594725.3123922722 5642249.349223325, 594794.4534190008 5642164.843692812, 594892.7871921577 5642089.556746943, 594935.8988010965 5642065.105391284, 594995.730506565 5642031.171014421, 595006.4931428125 5642028.638606437, 595073.9618015869 5642012.763593447, 595100.2101961849 5642006.587503909, 595156.519489873 5642000.812213018, 595220.0545541957 5641994.295875968, 595313.7790944339 5641974.321641163, 595349.1161310337 5641957.223171465, 595409.0400077325 5641928.22765334, 595440.7861258966 5641911.633136026, 595476.644494276 5641892.888927485, 595507.3739202358 5641834.503259625, 595507.3739397377 5641785.336360407, 595471.0700545459 5641736.066846839, 595464.3527954983 5641726.950593267, 595396.7482920473 5641693.148340265, 595324.3119879753 5641676.747561486, 595315.3154707602 5641674.710694038, 595248.222911403 5641688.985667566, 595243.1016107223 5641690.075441549, 595197.2935157019 5641708.157596176, 595184.7159180369 5641713.122477829, 595086.8405672924 5641743.237997276, 595064.871469113 5641749.997591561, 595010.5953521414 5641752.711425724, 594972.6834730133 5641754.607034708, 594908.151936456 5641766.89873718, 594858.9849561744 5641802.237322547, 594806.7450498784 5641852.940788636, 594711.4841889995 5641883.670227383, 594659.2442813815 5641892.889086531, 594605.4679646003 5641889.81593978, 594574.7386032322 5641868.305469715, 594559.3740080812 5641836.039694204, 594576.275120058 5641783.799843251, 594608.5409291319 5641720.804678738, 594650.0255088517 5641622.470840331, 594706.5675390502 5641474.326621909, 594771.6685106086 5641267.561968044, 594817.9793377912 5641130.745690265, 594900.235262132 5640947.706057756, 594953.077967768 5640882.93680794, 594954.3489356067 5640881.378925153)"	"NUBLET THRUST"	"fault"
"LINESTRING (598448.063050417 5635533.380956226, 598482.3397032839 5635521.515879915, 598598.0460947504 5635499.684538466, 598801.0779531103 5635506.234027809, 598949.5315260919 5635506.23404032, 599065.2378932041 5635484.402615523, 599191.8598922066 5635429.824100745, 599317.4958112887 5635355.656403949, 599397.3600185126 5635318.576533455, 599455.0739088007 5635312.501421127, 599537.0884097974 5635306.426268942, 599774.0193234744 5635291.238370966, 599916.7853906306 5635282.125743161, 599995.7622873898 5635269.975409238, 600074.7392784535 5635236.562118769, 600171.9416547307 5635187.960920551, 600275.219280215 5635124.171784695, 600396.7223318914 5635051.269926112, 600521.2628602989 5634951.029996839, 600621.5028943523 5634865.97785324, 600724.7803670908 5634777.888158535, 600782.4944363296 5634711.061492187, 600849.3210113337 5634622.971791867, 600922.2227940124 5634501.468865601, 600982.9744061159 5634413.379077889, 601025.5003988786 5634334.40218185, 601064.9889060835 5634228.087003863, 601098.4021890481 5634127.846953868, 601134.8530823765 5634012.419149121, 601165.2288919538 5633827.127067202, 601204.7174248217 5633468.693224146, 601229.0179759793 5633152.78526937, 601262.4312953706 5632931.042336459, 601325.2064390638 5632693.869034135, 601379.6597777978 5632580.773320459, 601425.735891484 5632532.602951958, 601429.5561447841 5632528.635744009, 601429.7345994049 5632528.450353708, 601480.1893917562 5632476.055122689, 601547.208951551 5632427.88468063, 601689.6258318606 5632356.676335733, 601863.4581231477 5632262.42987032, 601976.5538285972 5632195.410212304, 602049.856564458 5632126.296220596)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (602049.856564458 5632126.296220596, 602049.9061003374 5632126.23516912)"	"SIMPSON PASS THRUST"	"fault"
