WKT	STATION_ID	DIP	STRIKE
"POINT (606784.4100000001 5614951.279999999)"	"06MBB006"	"18"	"10"
"POINT (610065.8200000003 5621257.960000001)"	"06MBB056"	"88"	"340"
"POINT (610208.1699999999 5621242.6)"	"06MBB057"	"84"	"342"
"POINT (610227.2199999997 5621527.039999999)"	"06MBB058"	"48"	"170"
"POINT (610288.46 5621697.23)"	"06MBB059"	"70"	"345"
"POINT (610554.46 5621731.040100001)"	"06MBB060"	"85"	"350"
"POINT (610449.9400000004 5622100.1799)"	"06MBB061"	"80"	"340"
"POINT (610753.3600000003 5622571.039999999)"	"06MBB062"	"55"	"350"
"POINT (610937.2000000002 5622732.720000001)"	"06MBB063"	"50"	"350"
"POINT (606526.5599999996 5611835.130100001)"	"06MBB101"	"25"	"323"
"POINT (606946.3899999997 5612084.880000001)"	"06MBB102"	"40"	"357"
"POINT (607147.5 5612117.91)"	"06MBB103"	"35"	"344"
"POINT (607147.5 5612117.91)"	"06MBB103"	"36"	"331"
"POINT (607546 5617186)"	"06MBB245"	"12"	"24"
"POINT (616278.8874000004 5616716.477700001)"	"155NE-1MS"	"43"	"352"
"POINT (616125.7471000003 5612662.0337)"	"208NE-1MS"	"12"	"127"
"POINT (616071.6375000002 5612721.367699999)"	"208NE-2MS"	"17"	"167"
"POINT (615895.3584000003 5613206.185699999)"	"208NE-3MS"	"33"	"150"
"POINT (615299.6989000002 5619604.5022)"	"255NE-1"	"71"	"340"
"POINT (614852.8816999998 5618877.0381)"	"255NE-2"	"52"	"161"
"POINT (614671.0286999997 5618946.723999999)"	"255NE-3"	"61"	"169"
"POINT (614472.0023999996 5618991.0603)"	"255NE-4"	"90"	"169"
"POINT (614450 5618335)"	"255NE-5"	"80"	"351"
"POINT (614212.1438999996 5618189.941199999)"	"255NE-6"	"24"	"347"
"POINT (615009.5458000004 5616907.4493)"	"255NE-7"	"71"	"162"
"POINT (611997.1443999996 5621935.877900001)"	"286NE-1MS"	"31"	"125"
"POINT (621196.9102999996 5620030.010600001)"	"PLP59"	"54"	"165"
"POINT (621355.1518999999 5621460.590399999)"	"PLP60"	"46"	"345"
"POINT (621624.4258000003 5620494.6731)"	"PLP62"	"70"	"341"
"POINT (621701.7534999996 5620651.9356)"	"PLP63"	"37"	"18"
"POINT (622109.1847999999 5618126.3837)"	"PLP71"	"56"	"346"
"POINT (621917.3505999995 5617894.0119)"	"PLP72"	"35"	"165"
"POINT (621716.4001000002 5617904.855699999)"	"PLP73"	"25"	"159"
"POINT (621402.1591999996 5618032.661699999)"	"PLP74"	"80"	"337"
"POINT (621922.8620999996 5618845.879799999)"	"PLP75"	"83"	"347"
"POINT (621504.8092999998 5616633.0976)"	"PLP126"	"76"	"341"
"POINT (621246.2138999999 5616524.8639)"	"PLP127"	"63"	"342"
"POINT (620813.9775 5616492.4767)"	"PLP128"	"75"	"349"
"POINT (620573.6573000001 5616507.877499999)"	"PLP129"	"75"	"340"
"POINT (622554.2304999996 5609975.899900001)"	"PLP173"	"69"	"160"
"POINT (622285.3509 5609895.564099999)"	"PLP174"	"78"	"338"
"POINT (622005.1571000004 5609909.337300001)"	"PLP175"	"62"	"331"
"POINT (621662.8997 5609802.530200001)"	"PLP176"	"67"	"172"
"POINT (620492.8085000003 5608476.656400001)"	"PLP205"	"30"	"211"
"POINT (620853.7209999999 5608668.343599999)"	"PLP207"	"50"	"194"
"POINT (621692.0859000003 5609084.8824)"	"PLP210"	"82"	"160"
"POINT (621844.5405000001 5609314.489700001)"	"PLP211"	"85"	"340"
"POINT (621580.2204 5617510.955499999)"	"PLP321"	"23"	"155"
"POINT (621643.0497000003 5616776.078199999)"	"PLP322"	"53"	"343"
"POINT (620373.7388000004 5609524.4811)"	"PLP395"	"42"	"185"
"POINT (620326.5898000002 5609238.549699999)"	"PLP396"	"37"	"190"
"POINT (622647 5615131)"	"11MBB179"	"7"	"285"
"POINT (620141 5616639)"	"11MBB180"	"75"	"166"
"POINT (621860 5616371)"	"11MBB181"	"37"	"346"
"POINT (623069 5613464)"	"11MBB182"	"70"	"331"
"POINT (624148 5612039)"	"11MBB183"	"47"	"354"
"POINT (620535 5612340)"	"11MBB186"	"69"	"177"
"POINT (621134 5611102)"	"11MBB187"	"85"	"192"
"POINT (615266.5555999996 5622621.6523)"	"PLP400"	"33"	"160"
"POINT (615343.6189999999 5622932.892000001)"	"88K8a"	"51"	"162"
"POINT (615002.8036000002 5622902.159700001)"	"88K8b"	"50"	"165"
"POINT (619930.8614999996 5609566.688200001)"	"88K42"	"52"	"350"
"POINT (609968.4352920725 5630209.87257151)"	"LDK220"	"90"	"340"
"POINT (609500.9536810921 5630436.67064077)"	"LDK220C"	"90"	"347"
"POINT (609408.3830904274 5630547.755304332)"	"LDK220D"	"90"	"335"
"POINT (609235.7979303974 5630640.325853853)"	"LDK220E"	"50"	"160"
"POINT (609139.9283798352 5630681.98256119)"	"LDK220F"	"50"	"180"
"POINT (609084.3859786264 5630890.266545887)"	"LDK220G"	"50"	"165"
"POINT (611315.5156797622 5637349.907653582)"	"LDK143"	"90"	"180"
"POINT (611150.1507991093 5637660.793753684)"	"LDK143a"	"82"	"200"
"POINT (610812.8064357687 5637978.294269556)"	"LDK143b"	"50"	"160"
"POINT (609620.5881739403 5635165.863849726)"	"LDP350A"	"47"	"145"
"POINT (611634.7329044729 5635546.203141007)"	"LDP355"	"70"	"160"
"POINT (611791.6730652702 5635657.318837609)"	"LDP356"	"51"	"163"
"POINT (611860.7865728963 5635698.062879524)"	"LDP357"	"80"	"170"
"POINT (611972.077303101 5635757.870209434)"	"LDP358"	"70"	"165"
"POINT (613761.6617217974 5633570.300635939)"	"MBB88K20a"	"65"	"132"
"POINT (613874.1097774677 5633232.956215258)"	"MBB88K20d"	"36"	"120"
"POINT (613933.641223136 5632902.226444308)"	"MBB88K20e"	"46"	"111"
"POINT (613510.3070045772 5633021.289059876)"	"MBB88K20f"	"30"	"145"
"POINT (612373.5833754685 5634517.633286998)"	"MBB02K15"	"62"	"137"
"POINT (611513.6858295921 5634749.144228806)"	"MBB02K18"	"22"	"290"
"POINT (611745.1967347545 5634967.425847134)"	"MBB02K20"	"85"	"350"
"POINT (611930.4053928618 5635106.332389556)"	"MBB02K22"	"60"	"145"
"POINT (612201.6038826555 5635628.885619132)"	"MBB02K23"	"60"	"130"
"POINT (612005.1503169433 5635883.547498944)"	"LDP359"	"80"	"165"
"POINT (614394.342581597 5623553.939533272)"	"MBB88K8g"	"50"	"155"
"POINT (614142.9879285572 5624823.942150481)"	"MBB88K8o"	"30"	"190"
"POINT (613851.9457159551 5624493.212164115)"	"MBB88K8m"	"45"	"145"
"POINT (614004.0813981312 5624142.638569225)"	"MBB88K8k"	"65"	"145"
"POINT (614222.3630763511 5624427.066349738)"	"MBB88K8p"	"37"	"152"
"POINT (614427.4155688994 5624486.597624599)"	"MBB88K8q"	"32"	"160"
"POINT (617254.4756745544 5626525.766862658)"	"PLP37"	"84"	"0"
"POINT (617087.7733792884 5626284.36944611)"	"PLP38"	"83"	"355"
"POINT (616891.9813349638 5626080.639868332)"	"PLP39"	"85"	"353"
"POINT (616796.7310963327 5625614.972312673)"	"MBB88K8u"	"70"	"345"
"POINT (615635.2079898035 5625831.931114659)"	"PLP40"	"67"	"170"
"POINT (615449.9992299755 5625752.555851037)"	"MBB88K8s2"	"65"	"160"
"POINT (615095.4568784438 5624461.386610304)"	"PLP41"	"5"	"295"
"POINT (614598.0391894258 5624426.990852039)"	"PLP42"	"18"	"180"
"POINT (614535.2005683383 5623679.541369179)"	"PLP44"	"43"	"160"
"POINT (614345.9666285977 5623991.411798275)"	"PLP43"	"50"	"145"
"POINT (608160.4421236445 5630006.669219415)"	"10MBB041"	"28"	"150"
"POINT (608277.417680994 5629018.534192421)"	"10MBB043"	"73"	"175"
"POINT (607962.2214078573 5628728.559921717)"	"10MBB044"	"85"	"151"
"POINT (606538.2802052322 5626843.639474813)"	"10MBB045"	"87"	"321"
"POINT (608518.39667088 5631327.139334011)"	"LDK220h"	"60"	"160"
"POINT (605966.0000141765 5609867.999991984)"	"08BCR_BM1"	"15"	"325"
"POINT (603593.8199982881 5607076.140029689)"	"08MBB343"	"77"	"338"
"POINT (603685.0000306073 5606885.880000657)"	"08MBB344"	"38"	"333"
"POINT (603685.0000306073 5606885.880000657)"	"08MBB344"	"15"	"15"
"POINT (603771.0099741125 5606903.52996747)"	"08MBB345"	"27"	"130"
"POINT (604080.3599738032 5606445.259998823)"	"08MBB346"	"28"	"313"
"POINT (603952.8799912761 5606001.319984867)"	"08MBB347"	"30"	"285"
"POINT (604046.8300018731 5606130.919968289)"	"08MBB348"	"75"	"330"
"POINT (603980.6599829048 5605617.749965274)"	"08MBB349"	"40"	"145"
"POINT (604138.6600339692 5605749.169969784)"	"08MBB350"	"83"	"325"
"POINT (604582.8600025964 5605321.229946308)"	"08MBB351"	"30"	"325"
