GROUP_,id,x,y,z,code
Rocklea Inlier metagranitic unit,16193,541358.46061301,7476431.07075229,450.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,541371.31022276,7476539.08924018,450.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,541320.76081938,7476749.09918989,450.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,541244.51028007,7476832.08961299,450.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,541098.2585868,7476864.09020998,450.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,540971.02066699,7476877.07989872,449.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,540742.25083941,7477011.57930945,449.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,540475.6499195,7477406.58921551,449.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,540373.95089942,7477483.58900413,449.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,540221.41166069,7477554.08997579,449.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,539598.27840591,7477765.57024949,500.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,539312.39028786,7477982.56887316,500.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,539166.26893613,7478154.56851037,500.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,539045.63096727,7478282.56859123,500.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,538613.51233685,7478595.06873279,500.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,538346.57870325,7478761.55831537,437.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,538028.76031789,7478915.06022148,437.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,537615.49093161,7479126.02918666,437.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,537354.91262049,7479273.02999683,437.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,536687.14899918,7479376.5112358,437.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,536413.60194539,7479358.50150807,420.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,536184.38157601,7479244.50081131,420.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,535967.83825329,7479002.98176593,420.,Rocklea_Inlier_metagranitic_unit
Rocklea Inlier metagranitic unit,16193,535852.94961626,7478761.46781788,420.,Rocklea_Inlier_metagranitic_unit
