X,Y,Z,formation
538523.47963673,7511559.70031612,661.,Weeli_Wolli_Formation
540057.37106246,7509681.66890129,637.,Weeli_Wolli_Formation
540348.21141577,7507671.65963982,639.,Weeli_Wolli_Formation
537068.6509274,7505741.16039321,622.,Weeli_Wolli_Formation
533603.88177167,7504709.62726154,609.,Weeli_Wolli_Formation
531101.5790886651,7503246.79215848,597.,Weeli_Wolli_Formation
530842.3050688059,7503487.7725408785,597.,Weeli_Wolli_Formation
527759.80993316,7502688.05957665,551.,Weeli_Wolli_Formation
527015.2964119801,7502589.0864156885,552.,Weeli_Wolli_Formation
527177.9123663193,7502379.396896681,565.,Weeli_Wolli_Formation
524294.11173178,7502249.52096834,577.,Weeli_Wolli_Formation
522534.18705220777,7501850.70980351,551.,Weeli_Wolli_Formation
522408.2518345801,7501922.654008511,554.,Weeli_Wolli_Formation
520358.734899254,7501713.4126037415,546.,Weeli_Wolli_Formation
520333.24271642976,7501711.867273416,546.,Weeli_Wolli_Formation
519121.28178131,7501534.94997543,537.,Weeli_Wolli_Formation
517884.1520700741,7501238.932180016,519.,Weeli_Wolli_Formation
517967.95286375773,7501114.266325987,520.,Weeli_Wolli_Formation
517828.95992034,7501072.4400907,520.,Weeli_Wolli_Formation
515687.3100586407,7500678.361180524,513.,Weeli_Wolli_Formation
515687.3100586407,7507785.320344283,648.,Weeli_Wolli_Formation
518760.52942642,7508556.97997184,685.,Weeli_Wolli_Formation
521049.46638255724,7509064.655564553,594.,Weeli_Wolli_Formation
521100.5061366483,7509072.195111302,594.,Weeli_Wolli_Formation
522005.95124403,7508998.02949473,560.,Weeli_Wolli_Formation
524456.68974623,7509487.55955939,599.,Weeli_Wolli_Formation
528658.28024117,7510422.63934068,664.,Weeli_Wolli_Formation
532641.34688511,7511793.76199431,628.,Weeli_Wolli_Formation
534344.7700695,7512432.71786348,703.,Weeli_Wolli_Formation
537981.21323065,7511781.5175656,640.,Weeli_Wolli_Formation
515780.96135891025,7509739.889473748,562.,Wittenoom_Formation
520343.94052664,7510754.50172674,622.,Wittenoom_Formation
522835.0200552533,7511572.344107556,568.,Wittenoom_Formation
522852.3463801091,7511582.4541240465,568.,Wittenoom_Formation
523243.70470521,7511810.81409958,598.,Wittenoom_Formation
525245.89078991,7513907.06973636,609.,Wittenoom_Formation
526541.70046453,7517513.58040743,624.,Wittenoom_Formation
527168.02810085,7518874.12957606,619.,Wittenoom_Formation
526736.17133459,7519608.1406348,618.,Wittenoom_Formation
527556.78819597,7520709.68960374,636.,Wittenoom_Formation
528158.6298356468,7521086.430736203,573.,Wittenoom_Formation
528621.0676306413,7520971.53857848,594.,Wittenoom_Formation
531184.70163067,7520213.25095723,602.,Wittenoom_Formation
531908.490881829,7520287.769630329,595.,Wittenoom_Formation
532174.0686764172,7520064.326625752,595.,Wittenoom_Formation
533967.78170362,7520124.74835486,611.,Wittenoom_Formation
534681.91066016,7521156.26056762,628.,Wittenoom_Formation
542420.3623627814,7521273.574077863,683.,Wittenoom_Formation
543039.41922454,7521209.20921065,663.,Wittenoom_Formation
548286.7300184887,7521273.574077863,633.,Wittenoom_Formation
550471.34029969,7519410.6682838,686.,Wittenoom_Formation
552137.58105841,7517321.11811441,655.,Wittenoom_Formation
552005.32053958,7516316.12023383,664.,Wittenoom_Formation
550048.0987868,7514861.13023338,645.,Wittenoom_Formation
547799.99984816,7513935.62943566,622.,Wittenoom_Formation
546647.5624028842,7512676.54185883,619.,Wittenoom_Formation
546631.1332037331,7512665.050680517,627.,Wittenoom_Formation
546213.10177981,7511581.63929355,645.,Wittenoom_Formation
546082.6082970671,7511385.9076061975,645.,Wittenoom_Formation
546071.5082771338,7511369.25830245,645.,Wittenoom_Formation
544626.18030774,7509862.65090161,642.,Wittenoom_Formation
543197.85999545,7506291.65104444,609.,Wittenoom_Formation
539204.18994819,7503038.64090269,591.,Wittenoom_Formation
536770.92103071,7502932.64054512,573.,Wittenoom_Formation
535871.59837798,7501240.11996504,545.,Wittenoom_Formation
532990.7747944555,7500985.70182247,544.,Wittenoom_Formation
532904.0695134036,7501128.961417044,544.,Wittenoom_Formation
532255.23953478,7501090.09199102,562.,Wittenoom_Formation
528449.42942169,7500976.55027108,558.,Wittenoom_Formation
530080.0286604895,7521273.574077863,588.,Marra_Mamba_Iron_Formation
530198.73958736,7521243.73099188,582.,Marra_Mamba_Iron_Formation
530605.66994639,7521228.73980529,591.,Marra_Mamba_Iron_Formation
531309.5308381636,7520984.046536085,580.,Marra_Mamba_Iron_Formation
532015.55944497,7520826.74196086,608.,Marra_Mamba_Iron_Formation
532499.43951752,7520951.25150972,634.,Marra_Mamba_Iron_Formation
532532.17868912,7521142.23957689,634.,Marra_Mamba_Iron_Formation
548640.9534642881,7521273.574077863,645.,Marra_Mamba_Iron_Formation
549808.75883146,7520736.17834299,662.,Marra_Mamba_Iron_Formation
551698.50204219,7519618.6714425,679.,Marra_Mamba_Iron_Formation
553365.7093298,7517646.13982642,659.,Marra_Mamba_Iron_Formation
552934.17124837,7516053.63207182,678.,Marra_Mamba_Iron_Formation
551731.07499245,7514759.2015266,681.,Marra_Mamba_Iron_Formation
549777.15792895,7514142.63051547,690.,Marra_Mamba_Iron_Formation
547744.1209063,7513230.63090327,660.,Marra_Mamba_Iron_Formation
547114.2637708104,7512140.900866585,635.,Marra_Mamba_Iron_Formation
547104.4526327184,7512122.394337149,635.,Marra_Mamba_Iron_Formation
547025.8510443,7511974.12992622,631.,Marra_Mamba_Iron_Formation
546762.4904998624,7510993.451111171,691.,Marra_Mamba_Iron_Formation
546758.3017795589,7510972.91567971,691.,Marra_Mamba_Iron_Formation
545584.70227058,7509837.14035942,692.,Marra_Mamba_Iron_Formation
544986.9678246,7508529.64070461,659.,Marra_Mamba_Iron_Formation
544743.64966899,7508180.64890768,657.,Marra_Mamba_Iron_Formation
543852.74140865,7506721.64924481,621.,Marra_Mamba_Iron_Formation
542628.15126791,7504653.14773858,617.,Marra_Mamba_Iron_Formation
