Fault,HorizontalRadius,VerticalRadius,InfluenceDistance
Fault_7436,12748.854541391791,25497.709082783582,6374.4272706958955
Fault_7439,22029.86870536662,44059.73741073324,11014.93435268331
Fault_2235,10482.43875555442,20964.87751110884,5241.21937777721
Fault_2248,4609.83284019074,9219.66568038148,2304.91642009537
Fault_2843,5250.770253594978,10501.540507189957,2625.385126797489
Fault_2997,9193.775171089808,18387.550342179617,4596.887585544904
Fault_3496,13798.770008863541,27597.540017727082,6899.3850044317705
Fault_3498,9801.101917761947,19602.203835523895,4900.550958880974
Fault_5993,4699.922836087481,9399.845672174963,2349.9614180437407
Fault_7099,4216.509623737605,8433.01924747521,2108.2548118688023
Fault_10762,4465.834175975496,8931.668351950992,2232.917087987748
Fault_12647,11865.977304425049,23731.954608850097,5932.988652212524
Fault_12658,9500.029068343514,19000.05813668703,4750.014534171757
Fault_12660,3403.758862713234,6807.517725426468,1701.879431356617
Fault_14378,6442.079915318573,12884.159830637145,3221.0399576592863
Fault_16769,3942.091326324776,7884.182652649552,1971.045663162388
