X,Y,Z,formation
524699.2827292278,7480174.155008053,384.,Rocklea_Inlier_greenstones
524891.1676745227,7480249.410287203,393.,Rocklea_Inlier_greenstones
525153.1778773193,7480358.41934749,387.,Rocklea_Inlier_greenstones
525424.9967054642,7480480.6683668,386.,Rocklea_Inlier_greenstones
525932.6373831483,7480666.262526748,388.,Rocklea_Inlier_greenstones
526506.0488794583,7480853.013490588,416.,Rocklea_Inlier_greenstones
527983.6938084228,7481246.811854083,397.,Rocklea_Inlier_greenstones
529543.6566209077,7481645.571796718,427.,Rocklea_Inlier_greenstones
529847.395335943,7481341.7934706295,411.,Rocklea_Inlier_greenstones
529993.6896175651,7480976.4840293145,425.,Rocklea_Inlier_greenstones
530823.7883929851,7481016.483623585,424.,Rocklea_Inlier_greenstones
531806.8962332222,7481089.949800946,413.,Rocklea_Inlier_greenstones
532605.4771803021,7481193.7057554955,414.,Rocklea_Inlier_greenstones
533537.3726860682,7481265.002048976,432.,Rocklea_Inlier_greenstones
534291.0430875282,7481280.005443216,433.,Rocklea_Inlier_greenstones
535333.0626050847,7481164.751419228,445.,Rocklea_Inlier_greenstones
536257.6168196447,7481013.263198073,444.,Rocklea_Inlier_greenstones
537109.8329580075,7480845.698354871,438.,Rocklea_Inlier_greenstones
537846.475021263,7480689.59753134,444.,Rocklea_Inlier_greenstones
538192.640220228,7480595.60643463,436.,Rocklea_Inlier_greenstones
538552.3191492296,7480575.302590458,438.,Rocklea_Inlier_greenstones
538769.1980775296,7480714.058998982,444.,Rocklea_Inlier_greenstones
539064.349304898,7480873.10082235,459.,Rocklea_Inlier_greenstones
539338.373912348,7480998.859907815,489.,Rocklea_Inlier_greenstones
539706.5927276649,7481078.792285521,471.,Rocklea_Inlier_greenstones
540027.9524920249,7481115.2985193,472.,Rocklea_Inlier_greenstones
540496.9202810844,7481079.117280268,460.,Rocklea_Inlier_greenstones
540964.8282670849,7481007.536269844,463.,Rocklea_Inlier_greenstones
541278.98228475,7480869.040023679,462.,Rocklea_Inlier_greenstones
541625.8834835812,7480704.014644401,451.,Rocklea_Inlier_greenstones
541863.6998704512,7480569.010972236,460.,Rocklea_Inlier_greenstones
542247.5263241073,7480399.1049451055,464.,Rocklea_Inlier_greenstones
542650.6499727523,7480250.360827071,465.,Rocklea_Inlier_greenstones
542997.451009919,7480110.968181851,467.,Rocklea_Inlier_greenstones
543229.082081474,7480011.222632191,473.,Rocklea_Inlier_greenstones
543409.5964390386,7479884.844224086,474.,Rocklea_Inlier_greenstones
543573.4150080554,7479758.108103949,472.,Rocklea_Inlier_greenstones
543728.6946985153,7479652.107328459,472.,Rocklea_Inlier_greenstones
543947.7693602097,7479496.688305261,479.,Rocklea_Inlier_greenstones
544184.4790174296,7479320.440123916,467.,Rocklea_Inlier_greenstones
544529.8795024985,7479025.033963751,467.,Rocklea_Inlier_greenstones
544868.1299788286,7478709.528694226,462.,Rocklea_Inlier_greenstones
544996.665159834,7478589.636691808,462.,Hardey_Formation
524702.9338686303,7480164.845379647,384.,Rocklea_Inlier_metagranitic_unit
