X,Y,Z,azimuth,dip,polarity,formation,group
533692.9439753034,7474924.944541784,420.,189.3765251776307,19,1,Rocklea_Inlier_greenstones,Rocklea Inlier greenstones
533937.3265810466,7476404.903035125,413.,369.3765251776307,19,1,Rocklea_Inlier_metagranitic_unit,Rocklea Inlier metagranitic unit
542009.7993570467,7518127.605963393,738.,524.92138143553,1,1,Brockman_Iron_Formation,Hamersley Group
542400.0156553431,7516679.251296696,732.,704.92138143553,1,1,Brockman_Iron_Formation,Hamersley Group
539002.9227054811,7516849.335139928,756.,505.4109770105045,1,1,Brockman_Iron_Formation,Hamersley Group
539854.4517565889,7515614.467424292,694.,685.4109770105044,1,1,Brockman_Iron_Formation,Hamersley Group
526741.8505289167,7507201.891681332,559.,528.7225917579666,15,1,Turee_Creek_Group,Turee Creek Group
527035.1897370833,7505730.853915349,555.,708.7225917579666,15,1,Turee_Creek_Group,Turee Creek Group
522190.15733918804,7506320.6929681925,535.,529.3977787216321,27,1,Turee_Creek_Group,Turee Creek Group
522466.14152547193,7504846.300642886,528.,709.3977787216321,27,1,Turee_Creek_Group,Turee Creek Group
517811.93840665603,7505502.833320676,514.,529.4397965787639,33,1,Turee_Creek_Group,Turee Creek Group
518086.84127328405,7504028.238998865,512.,709.4397965787639,33,1,Turee_Creek_Group,Turee Creek Group
552716.685917467,7504594.753341875,545.,123.63780976438358,1,1,Bunjinah_Formation,Fortescue Group
551467.8521070731,7505425.664958124,548.,303.6378097643836,1,1,Bunjinah_Formation,Fortescue Group
541781.2786855048,7514519.41708718,868.,206.07197858192893,3,1,Brockman_Iron_Formation,Hamersley Group
541122.0288017553,7513172.053145709,709.,386.07197858192893,3,1,Brockman_Iron_Formation,Hamersley Group
538817.7483400619,7515669.568259824,706.,193.2664664136522,0,1,Brockman_Iron_Formation,Hamersley Group
538473.5281541082,7514209.598238356,693.,373.2664664136522,0,1,Brockman_Iron_Formation,Hamersley Group
536618.8364886608,7516136.3068856355,773.,190.6448516179064,1,1,Brockman_Iron_Formation,Hamersley Group
536341.7553723193,7514662.120311635,688.,370.6448516179064,1,1,Brockman_Iron_Formation,Hamersley Group
534651.1539453255,7516548.871973088,777.,193.1928789599466,1,1,Brockman_Iron_Formation,Hamersley Group
534308.8091455546,7515088.461058972,752.,373.1928789599466,1,1,Brockman_Iron_Formation,Hamersley Group
