X,Y,Z,code,type
515687.3100586407,7477866.48313489,403.,FA_11202,anticline exposed
523200.72366834,7476936.22951294,378.,FA_11202,anticline exposed
531451.83360457,7476055.1710986,409.,FA_11202,anticline exposed
536178.43695178,7475274.67647831,439.,FA_11202,anticline exposed
541885.32397475,7474297.53104524,451.,FA_11202,anticline exposed
544706.7302270622,7473446.765934078,444.,FA_11202,anticline exposed
557303.57008435,7518646.23233708,625.,FA_13532,syncline exposed
551803.31045058,7518577.31819701,687.,FA_13532,syncline exposed
548000.26972082,7518349.00319854,661.,FA_13532,syncline exposed
543973.02046132,7517879.79433534,757.,FA_13532,syncline exposed
540436.79455107,7516927.06292475,707.,FA_13532,syncline exposed
538420.579911,7515536.73963947,755.,FA_13532,syncline exposed
537657.9311702,7514576.22413741,765.,FA_13532,syncline exposed
536308.10023412,7512203.9301557,647.,FA_13532,syncline exposed
536084.81931818,7511211.59673895,635.,FA_13532,syncline exposed
535051.97675225,7509241.06543418,620.,FA_13532,syncline exposed
532813.95312872,7507946.76468704,593.,FA_13532,syncline exposed
529280.63631529,7506943.38398254,571.,FA_13532,syncline exposed
524496.40395071,7505989.36161414,542.,FA_13532,syncline exposed
520159.89491395,7505177.63199694,527.,FA_13532,syncline exposed
515738.88476599,7504353.4403226,502.,FA_13532,syncline exposed
515738.88476599,7504353.4403226,502.,FA_13533,syncline exposed
515687.3100586407,7504343.326162951,502.,FA_13533,syncline exposed
562666.8601065436,7481210.397266979,726.,FA_13632,syncline exposed
562505.17547973,7481882.8514842,658.,FA_13632,syncline exposed
537771.61272498,7490461.123314,510.,FA_13665,syncline exposed
543574.24616962,7489729.16950817,843.,FA_13665,syncline exposed
548918.77998097,7489260.22972542,574.,FA_13665,syncline exposed
549509.90711465,7489232.4564331,560.,FA_13665,syncline exposed
550322.42980757,7489129.23044624,558.,FA_13665,syncline exposed
553456.67940539,7488789.94788847,533.,FA_13665,syncline exposed
560570.27235221,7488266.23657935,568.,FA_13665,syncline exposed
562666.8601065436,7487926.782956516,573.,FA_13665,syncline exposed
535081.8073639,7495154.8115613,491.,FA_9633,anticline exposed
539420.74387274,7496089.78824517,489.,FA_9633,anticline exposed
547063.67123121,7499084.1822681,506.,FA_9633,anticline exposed
549125.65918336,7501291.06209152,514.,FA_9633,anticline exposed
550833.2808557,7503117.98987413,526.,FA_9633,anticline exposed
553351.25716884,7506902.42842587,578.,FA_9633,anticline exposed
561579.97078749,7508810.31414454,664.,FA_9633,anticline exposed
562666.8601065436,7508994.442862981,654.,FA_9633,anticline exposed
544915.70350359,7511860.65243866,648.,FA_11909,syncline exposed
543156.74154043,7513011.45501051,811.,FA_11909,syncline exposed
539746.56594683,7514680.01522238,696.,FA_11909,syncline exposed
537544.71054734,7515199.1512758,740.,FA_11909,syncline exposed
535415.88131364,7515599.27592147,792.,FA_11909,syncline exposed
533544.08177724,7516038.05711059,712.,FA_11909,syncline exposed
528700.81934533,7518181.29181889,606.,FA_11909,syncline exposed
526017.56870408,7519325.11088907,641.,FA_11909,syncline exposed
522597.24570733885,7521273.574077863,577.,FA_11909,syncline exposed
