X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
519922.855516935,7510700.49570857,Wittenoom_Formation,1076.0922560665056,394,-0.9918754954299422,-0.12721242693073118,520558.9176515887,7505741.11823142,519286.7933822813,7515659.873185719,21.505547318551166,full
523048.0255426596,7511696.634111812,Wittenoom_Formation,1157.9640501583688,172,-0.863713942471405,-0.5039823663388459,525567.9373743539,7507378.064399456,520528.1137109654,7516015.203824169,8.57665162206736,full
524965.16076637,7513561.55955241,Wittenoom_Formation,1821.7176338899146,242,-0.6305966829919901,-0.7761107030569152,528845.7142816546,7510408.57613745,521084.60725108546,7516714.54296737,7.648190236681955,full
526487.730267925,7517135.579473835,Wittenoom_Formation,3216.325150361614,235,-0.14134452137080442,-0.989960467028082,531437.5326030654,7516428.856866982,521537.92793278454,7517842.302080689,4.20097380837214,full
530849.995220055,7520256.246672455,Wittenoom_Formation,2340.832324581237,202,-0.99184999905089,0.1274110646009571,530212.9398970501,7515296.9966772,531487.0505430598,7525215.49666771,4.974529831442339,full
533742.970656035,7520098.24971456,Wittenoom_Formation,1610.9786834640515,166,-0.993124804606108,-0.11706033690400912,534328.2723405551,7515132.625691529,533157.6689715149,7525063.87373759,5.936668098414188,full
534812.2681826733,7521214.917322743,Wittenoom_Formation,2845.107288857264,329,-0.9119323168325691,-0.41034065057752106,536863.9714355608,7516655.25573858,532760.5649297857,7525774.578906906,6.654519339112667,full
549386.979920835,7520323.1789416,Wittenoom_Formation,2661.863462067159,1144,-0.9255694473683044,0.3785778626627969,547494.090607521,7515695.331704758,551279.869234149,7524951.026178442,25.46833494455535,full
548897.613677515,7514319.135195435,Wittenoom_Formation,2260.720079834403,251,0.9745929779906228,0.2239833191364246,547777.6970818328,7519192.100085388,550017.5302731971,7509446.170305482,6.375039850712923,full
546966.843348305,7512983.390460685,Wittenoom_Formation,2385.2599994312973,354,0.5998155505342558,0.8001383038808275,542966.1518289008,7515982.468213356,550967.5348677092,7509984.312708014,8.544722779333625,full
