X,Y,Z,azimuth,dip,polarity,formation
544642.29382006,7487591.03977592,608.,385.0,40,1,Marra_Mamba_Iron_Formation
542483.22581806,7481908.32718671,473.,365.0,60,1,Hardey_Formation
545142.14967586,7476403.27956483,481.,435.0,35,1,Hardey_Formation
544589.0465898,7474660.25852222,461.,180.0,45,1,Rocklea_Inlier_greenstones
542937.75226114,7480363.89112035,467.,385.0,65,1,Rocklea_Inlier_greenstones
530515.15279646,7485813.61808323,421.,370.0,60,1,Hardey_Formation
535257.61161618,7499029.61466975,508.,360.0,40,1,Jeerinah_Formation
529653.28479411,7489335.50974713,478.,380.0,33,1,Pyradie_Formation
534215.35909713,7482401.7956682,437.,368.0,58,1,Rocklea_Inlier_greenstones
534647.38303052,7483231.0647016,456.,378.0,62,1,Hardey_Formation
542798.44862517,7481931.79983939,473.,388.0,60,1,Hardey_Formation
521454.19247432,7476047.70487103,373.,245.0,18,1,Hardey_Formation
530225.44994657,7485223.06415469,414.,365.0,55,1,Hardey_Formation
529573.78256421,7483273.83183819,422.,335.0,30,1,Rocklea_Inlier_greenstones
531138.18012836,7486699.0561047,416.,400.0,70,1,Boongal_Formation
548279.32061205,7493304.27929258,549.,190.0,50,1,Jeerinah_Formation
548279.32061205,7493304.27929258,549.,190.0,55,1,Jeerinah_Formation
541013.16039186,7493387.43930108,523.,150.0,28,1,Bunjinah_Formation
523931.74116463,7473700.519519,385.,420.0,30,1,Hardey_Formation
523931.74116463,7473700.519519,385.,235.0,29,1,Hardey_Formation
536742.23216759,7490698.33941677,515.,110.0,28,1,Bunjinah_Formation
548249.15588261,7493512.48955459,549.,190.0,50,1,Jeerinah_Formation
548249.15588261,7493512.48955459,549.,190.0,55,1,Jeerinah_Formation
523989.54366251,7500823.54711461,603.,355.0,63,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544816.76522296,7476376.5664788,482.,435.0,21,1,Hardey_Formation
537199.09563866,7490607.57099584,492.,110.0,28,1,Jeerinah_Formation
532678.47755966,7488131.60125304,476.,385.0,25,1,Pyradie_Formation
543234.97739865,7505326.76715363,627.,330.0,15,1,Jeerinah_Formation
543754.18068029,7504599.12601575,548.,330.0,15,1,Jeerinah_Formation
530221.47809184,7485474.50627725,435.,368.0,55,1,Hardey_Formation
532604.36997523,7483996.51451291,422.,370.0,40,1,Hardey_Formation
522143.04755332,7478175.84114015,400.,93.0,30,1,Hardey_Formation
522441.04068434,7500496.57253559,584.,163.0,29,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
521969.86148165,7509447.16831663,571.,365.0,52,1,Brockman_Iron_Formation
530017.15473598,7517395.42335177,642.,391.0,24,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
536743.75189579,7516699.94325734,738.,169.0,25,1,Brockman_Iron_Formation
536864.3112146,7516486.44006065,713.,381.0,54,1,Brockman_Iron_Formation
537236.7510334,7516781.94098479,717.,393.0,19,1,Brockman_Iron_Formation
535856.33026169,7512629.90191351,665.,383.0,32,1,Brockman_Iron_Formation
538825.16687886,7511863.37365568,673.,371.0,9,1,Brockman_Iron_Formation
541065.40971783,7507289.30875077,671.,137.0,26,1,Brockman_Iron_Formation
528702.09351822,7500732.15020471,568.,110.0,41,1,Jeerinah_Formation
535346.60929794,7499105.69666818,507.,175.0,40,1,Jeerinah_Formation
542840.13190584,7483390.16323959,496.,374.0,35,1,Boongal_Formation
525820.9460544,7481790.42211218,403.,151.0,20,1,Hardey_Formation
545223.01655008,7475727.05264709,504.,436.0,35,1,Hardey_Formation
547742.67588526,7479703.67071575,487.,409.0,25,1,Hardey_Formation
545836.49343094,7478148.11843409,459.,428.0,15,1,Hardey_Formation
550629.45033249,7482157.73377273,518.,390.0,46,1,Pyradie_Formation
553784.61691641,7482787.75940606,519.,390.0,40,1,Jeerinah_Formation
555570.30909452,7486441.29580547,598.,382.0,50,1,Boolgeeda_Iron_Formation
554912.99402906,7485625.28562051,575.,384.0,70,1,Weeli_Wolli_Formation
544406.7446958,7485143.19779223,530.,379.0,50,1,Bunjinah_Formation
559180.0624804,7491409.85808041,582.,168.0,48,1,Weeli_Wolli_Formation
554304.93348599,7496947.32598323,572.,168.0,35,1,Jeerinah_Formation
545557.03288211,7494696.21808249,520.,362.0,15,1,Jeerinah_Formation
562663.9448064,7506741.50979555,807.,430.0,11,1,Bunjinah_Formation
544921.82941261,7514333.36252441,838.,440.0,35,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544708.19918899,7514108.86119291,936.,400.0,33,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547332.06601078,7516113.86829699,832.,127.0,28,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547704.52567933,7513884.34170986,622.,365.0,34,1,Wittenoom_Formation
554929.61134409,7515160.85629446,632.,150.0,15,1,Jeerinah_Formation
548756.28656105,7517165.36829682,651.,172.0,25,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
552049.052402,7487780.78569838,566.,390.0,28,1,Boolgeeda_Iron_Formation
547640.63848022,7513734.467746,671.,184.0,34,1,Marra_Mamba_Iron_Formation
538617.61984384,7511806.72349882,661.,191.0,9,1,Brockman_Iron_Formation
538806.02756515,7483993.09306394,492.,370.0,63,1,Hardey_Formation
548578.04664895,7517242.93275268,653.,174.0,25,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
562613.59447835,7506579.00298373,826.,250.0,11,1,Bunjinah_Formation
535859.02692715,7512398.30549352,665.,201.0,32,1,Brockman_Iron_Formation
542344.84155478,7481763.35785815,465.,365.0,60,1,Hardey_Formation
552049.052402,7487780.78569838,566.,390.0,80,1,Boolgeeda_Iron_Formation
545003.74120558,7476258.34758436,482.,435.0,35,1,Hardey_Formation
547242.81740116,7516046.24923983,862.,305.0,28,1,Wittenoom_Formation
552075.59216311,7487793.53622728,566.,390.0,28,1,Boolgeeda_Iron_Formation
534509.05712922,7483086.09249821,456.,378.0,62,1,Rocklea_Inlier_greenstones
536729.5649796,7516597.33613236,713.,348.0,25,1,Brockman_Iron_Formation
546137.8575609,7494606.69912057,532.,360.0,15,1,Jeerinah_Formation
540038.91207275,7506751.82918475,654.,338.0,28,1,Brockman_Iron_Formation
529955.11858467,7517212.37448649,660.,211.0,24,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
537101.10259263,7516513.64798743,713.,388.0,19,1,Brockman_Iron_Formation
552075.59216311,7487793.53622728,566.,390.0,80,1,Boolgeeda_Iron_Formation
521796.72185923,7509376.56236277,597.,181.0,52,1,Brockman_Iron_Formation
553087.89226931,7484583.49215226,516.,420.0,64,1,Marra_Mamba_Iron_Formation
544671.5774674,7513917.04057533,812.,219.0,33,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
539933.7822252,7483374.35640366,472.,385.0,60,1,Hardey_Formation
521993.39933415,7508834.9892679,550.,171.0,60,1,Weeli_Wolli_Formation
542660.06207832,7481786.83007108,469.,388.0,60,1,Hardey_Formation
544608.89803516,7514084.37259684,812.,442.0,35,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
