GROUP_,id,x,y,z,code
Hamersley Group,17014,516489.10989085,7497660.42043624,597.,Marra_Mamba_Iron_Formation
Hamersley Group,17014,516265.41816958,7497432.42149587,570.,Marra_Mamba_Iron_Formation
Hamersley Group,17014,515863.18009091,7497103.4211183,576.,Marra_Mamba_Iron_Formation
Hamersley Group,17014,515793.12893132,7497078.39958474,576.,Marra_Mamba_Iron_Formation
Hamersley Group,17014,515754.79905719,7497040.40949866,576.,Marra_Mamba_Iron_Formation
Hamersley Group,17014,516885.9020886,7498199.42979174,564.,Marra_Mamba_Iron_Formation
Hamersley Group,17014,516642.61860186,7497850.43077794,585.,Marra_Mamba_Iron_Formation
Hamersley Group,17014,515687.3100586407,7509097.518641549,548.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,515748.54034869,7509100.438181,548.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,516262.53936959,7509100.43806853,556.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,516923.33080682,7509295.9608854,562.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,517412.83945165,7509467.4519531,582.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,517524.07836862,7509517.96063803,582.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,517746.86032914,7509496.46857439,580.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,516446.69074214,7498643.43120897,571.,Wittenoom_Formation
Hamersley Group,17014,516091.26101893,7498037.4066574,536.,Wittenoom_Formation
Hamersley Group,17014,515870.97036341,7497621.41056542,530.,Wittenoom_Formation
Fortescue Group,17014,515687.3100586407,7512669.795848977,544.,Jeerinah_Formation
Fortescue Group,17014,515874.1115062,7512722.42905915,544.,Jeerinah_Formation
Fortescue Group,17014,516218.10093416,7512841.92869326,549.,Jeerinah_Formation
Fortescue Group,17014,516581.10958154,7512947.94203716,557.,Jeerinah_Formation
Fortescue Group,17014,516950.17910833,7512996.9382229,550.,Jeerinah_Formation
Fortescue Group,17014,517211.34105542,7513084.44139818,554.,Jeerinah_Formation
Fortescue Group,17014,517453.79081256,7513254.94145467,555.,Jeerinah_Formation
Fortescue Group,17014,517536.82159765,7513324.44956408,555.,Jeerinah_Formation
Fortescue Group,17014,517568.77865671,7513362.4408889,555.,Jeerinah_Formation
