X,Y,Z,formation
516489.10989085,7497660.42043624,597.,Marra_Mamba_Iron_Formation
515793.12893132,7497078.39958474,576.,Marra_Mamba_Iron_Formation
516885.9020886,7498199.42979174,564.,Marra_Mamba_Iron_Formation
516642.61860186,7497850.43077794,585.,Marra_Mamba_Iron_Formation
515687.3100586407,7509097.518641549,548.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
516923.33080682,7509295.9608854,562.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
517524.07836862,7509517.96063803,582.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
517746.86032914,7509496.46857439,580.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
516446.69074214,7498643.43120897,571.,Wittenoom_Formation
516091.26101893,7498037.4066574,536.,Wittenoom_Formation
515870.97036341,7497621.41056542,530.,Wittenoom_Formation
515687.3100586407,7512669.795848977,544.,Jeerinah_Formation
516950.17910833,7512996.9382229,550.,Jeerinah_Formation
517211.34105542,7513084.44139818,554.,Jeerinah_Formation
517568.77865671,7513362.4408889,555.,Jeerinah_Formation
561550.4680921193,7473446.765934078,601.,Wittenoom_Formation
561219.8783506,7475276.85005153,656.,Wittenoom_Formation
560638.07073543,7476334.83234116,675.,Wittenoom_Formation
560690.94948686,7477048.84036277,679.,Wittenoom_Formation
559447.810752,7479693.82096476,629.,Wittenoom_Formation
558495.6914021,7480910.31282782,589.,Wittenoom_Formation
558460.4115287344,7521273.574077863,622.,Jeerinah_Formation
556557.54147843,7520906.2903723,629.,Jeerinah_Formation
555625.09894718,7520574.75992317,630.,Jeerinah_Formation
555395.219437,7519909.72907962,639.,Jeerinah_Formation
555819.4014992,7519212.70787919,641.,Jeerinah_Formation
555679.38094591,7518139.15930049,641.,Jeerinah_Formation
555453.0096935,7517472.13077479,649.,Jeerinah_Formation
555224.83058385,7516302.63943003,627.,Jeerinah_Formation
554707.61186787,7514542.12978529,603.,Jeerinah_Formation
551514.23113611,7513032.11907498,608.,Jeerinah_Formation
549303.43178106,7512159.1309947,597.,Jeerinah_Formation
548292.19772578,7510834.63064114,576.,Jeerinah_Formation
548034.69859791,7510174.13019728,589.,Jeerinah_Formation
547768.50052133,7510360.13911111,570.,Jeerinah_Formation
547123.42154846,7509784.1305715,581.,Jeerinah_Formation
546760.17189473,7508297.15162212,576.,Jeerinah_Formation
546098.20918874,7506843.14860294,559.,Jeerinah_Formation
544943.52183298,7504761.65970015,544.,Jeerinah_Formation
543357.14034919,7502835.65126185,528.,Jeerinah_Formation
540434.9686215,7500840.14040923,525.,Jeerinah_Formation
538476.5108094,7499571.63122786,507.,Jeerinah_Formation
536808.48900075,7499179.61140207,527.,Jeerinah_Formation
536356.47019615,7499080.11950446,499.,Jeerinah_Formation
534340.19805361,7498999.5989172,516.,Jeerinah_Formation
531560.67008621,7499404.59241221,520.,Jeerinah_Formation
530210.29977782,7499647.07079912,515.,Jeerinah_Formation
528920.51883495,7499359.06107732,504.,Jeerinah_Formation
525476.20094206,7499040.01085423,503.,Jeerinah_Formation
521526.32992318,7497779.45848245,495.,Jeerinah_Formation
519433.31787936,7496282.44009631,513.,Jeerinah_Formation
523609.87046645,7498706.48913864,506.,Jeerinah_Formation
518852.32142054,7513132.95880111,568.,Jeerinah_Formation
518893.28909021,7517244.00420769,629.,Jeerinah_Formation
518936.51331348,7517553.43311151,628.,Jeerinah_Formation
519207.27766308,7518718.59367696,618.,Jeerinah_Formation
518968.77945902,7513552.45823161,584.,Jeerinah_Formation
554484.204992703,7473446.765934078,493.,Bunjinah_Formation
554478.16147654,7475877.81037785,499.,Bunjinah_Formation
554389.22145929,7477240.2996971,490.,Bunjinah_Formation
553837.62161263,7479125.27873433,498.,Bunjinah_Formation
551497.37110772,7482212.77111285,511.,Bunjinah_Formation
550352.17914837,7482812.24802343,502.,Bunjinah_Formation
546830.22148008,7484390.74797113,546.,Bunjinah_Formation
544290.29140334,7485193.69958059,530.,Bunjinah_Formation
540764.83150374,7486034.15000151,531.,Bunjinah_Formation
537391.73050708,7486822.60918291,485.,Bunjinah_Formation
534166.78231125,7487998.07999773,475.,Bunjinah_Formation
531498.79136816,7489954.05097008,489.,Bunjinah_Formation
530511.51126209,7490958.54154063,533.,Bunjinah_Formation
528666.19739018,7492063.53078777,481.,Bunjinah_Formation
529824.50979417,7489587.52044702,481.,Bunjinah_Formation
528554.6395949,7490014.51940574,466.,Bunjinah_Formation
526392.79139247,7491426.50838176,478.,Bunjinah_Formation
524274.67169755,7490005.97948745,596.,Bunjinah_Formation
522249.71084465,7489450.45967088,581.,Bunjinah_Formation
520331.96820239,7488696.93913393,602.,Bunjinah_Formation
519045.7715252,7487029.90596829,636.,Bunjinah_Formation
517660.50771919,7485929.89164389,692.,Bunjinah_Formation
516449.4184881,7485350.8806053,644.,Bunjinah_Formation
516217.31076563,7484683.87072337,690.,Bunjinah_Formation
515834.79877428,7484482.36205701,680.,Bunjinah_Formation
552540.0091778752,7473446.765934078,520.,Pyradie_Formation
552463.40880971,7476130.77100544,477.,Pyradie_Formation
551316.65383862,7478607.31837984,480.,Pyradie_Formation
550041.8907363,7480414.74912372,511.,Pyradie_Formation
547772.80132693,7482011.73133292,555.,Pyradie_Formation
545114.68132238,7483362.71041151,516.,Pyradie_Formation
542099.17025394,7484467.17209348,535.,Pyradie_Formation
539113.88994429,7485221.62924456,558.,Pyradie_Formation
535251.89892778,7486184.58033152,521.,Pyradie_Formation
532692.36994089,7486873.05937609,426.,Pyradie_Formation
530722.38189573,7487373.53002932,428.,Pyradie_Formation
530307.55864121,7487508.03051495,443.,Pyradie_Formation
528731.3410245,7488476.02152234,445.,Pyradie_Formation
526194.06134344,7488429.49052612,463.,Pyradie_Formation
524378.96076118,7487872.97914276,649.,Pyradie_Formation
522285.26004105,7487566.45121266,501.,Pyradie_Formation
520717.04126368,7485442.44229646,598.,Pyradie_Formation
519765.13985533,7484531.41029633,495.,Pyradie_Formation
518884.34867892,7483861.39804448,534.,Pyradie_Formation
517131.75097797,7480408.35881572,432.,Pyradie_Formation
516561.03917996,7478088.36019212,412.,Pyradie_Formation
517221.15078182,7475150.46037102,413.,Pyradie_Formation
517862.69032987,7473658.00039338,371.,Pyradie_Formation
551080.2128464291,7473446.765934078,473.,Boongal_Formation
550646.82084981,7477780.75099863,477.,Boongal_Formation
547456.00104757,7481145.72171337,491.,Boongal_Formation
543923.8592843,7483031.69197105,495.,Boongal_Formation
539071.75108129,7484388.11847154,579.,Boongal_Formation
534092.21032827,7485720.06834342,453.,Boongal_Formation
531685.15031442,7486369.53840248,439.,Boongal_Formation
529422.97116457,7487328.51025386,435.,Boongal_Formation
529120.14927414,7487076.00799185,443.,Boongal_Formation
528795.16153468,7487111.00950742,421.,Boongal_Formation
527662.33870103,7486932.50066382,479.,Boongal_Formation
523577.77848075,7485223.46214201,434.,Boongal_Formation
522123.33027704,7484282.94212998,488.,Boongal_Formation
521784.48057864,7483902.93974873,471.,Boongal_Formation
520531.61956516,7482560.4102036,475.,Boongal_Formation
518713.41029028,7480024.37147263,456.,Boongal_Formation
518142.21022189,7477602.39121125,437.,Boongal_Formation
518995.00958063,7475058.43823664,522.,Boongal_Formation
520045.07999524,7473894.42837771,395.,Boongal_Formation
517847.87960707,7497213.92048381,520.,Jeerinah_Formation
518588.7601342,7495217.43062645,529.,Jeerinah_Formation
518184.84046494,7494525.92007635,519.,Jeerinah_Formation
517804.77017997,7494846.41931664,522.,Jeerinah_Formation
516401.34070648,7495261.40963032,543.,Jeerinah_Formation
515749.42953324,7494583.89837128,568.,Jeerinah_Formation
540987.83044232,7489984.63975446,554.,Marra_Mamba_Iron_Formation
541209.80132492,7491327.14014326,556.,Marra_Mamba_Iron_Formation
542203.4287173,7491646.14739406,566.,Marra_Mamba_Iron_Formation
542707.38878293,7491974.64940241,574.,Marra_Mamba_Iron_Formation
