X,Y,Z,angle,lsx,lsy,formation,group
538787.93391317,7511414.190376366,652.,118.82078771913541,-0.8761318353254226,0.4820715788441657,Weeli_Wolli_Formation,Hamersley_Group
540176.3702598349,7509536.418059699,689.,140.67337433051785,-0.6337404121023255,0.7735457905440211,Weeli_Wolli_Formation,Hamersley_Group
540136.6306451501,7507380.908688376,633.,36.04354988472525,0.5884000072601714,0.8085699916867001,Weeli_Wolli_Formation,Hamersley_Group
536619.020546295,7505701.410906535,618.,84.94791178147065,0.9961150521968459,0.08806135807989154,Weeli_Wolli_Formation,Hamersley_Group
533418.7666028601,7504511.129494435,610.,43.002008008368556,0.6820239909269032,0.7313297996117343,Weeli_Wolli_Formation,Hamersley_Group
530567.311552138,7503401.93587108,597.,72.66473193543074,0.9545775713635327,0.2979625148398695,Weeli_Wolli_Formation,Hamersley_Group
527496.4746117699,7502647.560212821,555.,81.25676294075134,0.9883794595552071,0.15200672330313747,Weeli_Wolli_Formation,Hamersley_Group
523870.945712385,7502170.26538658,564.,79.39186164124635,0.9829092105714613,0.1840909660298048,Weeli_Wolli_Formation,Hamersley_Group
519985.0720591949,7501672.912742423,545.,83.61610040535004,0.9937992032609978,0.1111896739711298,Weeli_Wolli_Formation,Hamersley_Group
517718.81477603,7501047.941254555,520.,77.4602191317983,0.9761454962471767,0.21711741099311463,Weeli_Wolli_Formation,Hamersley_Group
515915.3888998054,7507821.880215287,618.,80.89325005408209,-0.9873951674897964,-0.15827439217320377,Weeli_Wolli_Formation,Hamersley_Group
518983.319499755,7508600.48432351,685.,78.95085537756296,-0.9814631587276647,-0.19165090153796463,Weeli_Wolli_Formation,Hamersley_Group
522165.14586458495,7509041.525225464,583.,74.7184147815496,-0.9646421770590518,-0.2635630289679737,Weeli_Wolli_Formation,Hamersley_Group
524798.5644314501,7509492.065014159,596.,89.24496135208122,-0.9999131725954582,-0.013177528982529167,Weeli_Wolli_Formation,Hamersley_Group
529055.035170825,7510594.404529645,620.,66.59099980033723,-0.9176922291326409,-0.39729204949201335,Weeli_Wolli_Formation,Hamersley_Group
532673.18441653,7511808.991150855,659.,64.43635715269322,-0.9021065257076714,-0.431513402197005,Weeli_Wolli_Formation,Hamersley_Group
534820.8249658099,7512406.219417799,705.,93.18594349626026,-0.9984544289514286,0.0555765535750186,Weeli_Wolli_Formation,Hamersley_Group
538252.34643369,7511670.60894086,646.,112.24730322172904,-0.9255583250967453,0.37860505390724475,Weeli_Wolli_Formation,Hamersley_Group
519922.855516935,7510700.49570857,625.,82.69146134213429,-0.9918754954299422,-0.12721242693073118,Wittenoom_Formation,Hamersley_Group
523048.02554265957,7511696.634111813,587.,59.73617715173238,-0.863713942471405,-0.5039823663388459,Wittenoom_Formation,Hamersley_Group
524965.16076637,7513561.55955241,604.,39.09415845677671,-0.6305966829919901,-0.7761107030569152,Wittenoom_Formation,Hamersley_Group
526487.730267925,7517135.579473835,623.,8.125655370550277,-0.14134452137080442,-0.9899604670280819,Wittenoom_Formation,Hamersley_Group
526854.92044841,7519500.1347884,622.,132.28745104992444,0.7397784807722383,-0.6728505029992314,Wittenoom_Formation,Hamersley_Group
527168.08479123,7520569.174671875,623.,70.12525262434609,-0.9404380550516351,-0.3399650932238452,Wittenoom_Formation,Hamersley_Group
530849.995220055,7520256.246672455,600.,97.320013128653,-0.9918499990508901,0.1274110646009571,Wittenoom_Formation,Hamersley_Group
533742.970656035,7520098.24971456,609.,83.27752356108533,-0.9931248046061079,-0.11706033690400913,Wittenoom_Formation,Hamersley_Group
534812.2681826733,7521214.917322742,625.,65.77376426732825,-0.911932316832569,-0.41034065057752106,Wittenoom_Formation,Hamersley_Group
549386.979920835,7520323.1789416,704.,112.2456199845483,-0.9255694473683045,0.3785778626627969,Wittenoom_Formation,Hamersley_Group
551132.528754255,7518167.384741275,695.,140.20475978273956,-0.6400458729826267,0.7683366973390685,Wittenoom_Formation,Hamersley_Group
552137.580130485,7517003.61910557,645.,26.51301113581992,0.4464010297052676,0.8948330127337037,Wittenoom_Formation,Hamersley_Group
551780.478009565,7515456.36944638,638.,40.93624890906099,0.6552188830337317,0.7554390877602436,Wittenoom_Formation,Hamersley_Group
548897.613677515,7514319.135195435,637.,77.05689911742682,0.9745929779906228,0.2239833191364246,Wittenoom_Formation,Hamersley_Group
546966.843348305,7512983.390460685,613.,36.85668856779353,0.5998155505342558,0.8001383038808275,Wittenoom_Formation,Hamersley_Group
546318.865985385,7512018.13350736,640.,8.750621994330036,0.15213411568425572,0.9883598589810138,Wittenoom_Formation,Hamersley_Group
545498.939821435,7510616.14618635,647.,47.108005728477686,0.7326380062588067,0.6806185067900525,Wittenoom_Formation,Hamersley_Group
544388.08989391,7508248.899835629,631.,19.659101322619282,0.3364231353149178,0.941710929120439,Wittenoom_Formation,Hamersley_Group
541663.86921207,7504453.40099267,597.,55.84147553008513,0.8274872410183591,0.5614845197793293,Wittenoom_Formation,Hamersley_Group
537696.580005585,7503038.644540605,593.,108.468672991861,0.9484970027640711,-0.3167861040948193,Wittenoom_Formation,Hamersley_Group
536651.8741216101,7501808.884078665,559.,14.746564626327528,0.2545439650450517,0.9670612027473461,Wittenoom_Formation,Hamersley_Group
534231.799758695,7501134.369183125,565.,82.2440043110936,0.990851780551845,0.1349546182138213,Wittenoom_Formation,Hamersley_Group
530103.16582268,7501135.069330821,547.,90.00000903738186,0.9999999999999877,-1.5773206920549912e-07,Wittenoom_Formation,Hamersley_Group
530402.2047668749,7521236.235398585,582.,92.10980441405337,-0.9993221087015913,0.03681471255089396,Marra_Mamba_Iron_Formation,Hamersley_Group
