#ID,SiteCode,SiteCommo,PositionX,PositionY,DistanceToContact,ContainingPolygonID,NeighbourPolygonID,ContainingPolygonCode,NeighbourPolygonCode,ContactType,FaultID
0,S0000717,Au_Cu_Ag,417996.2036422644,7598002.753121963,911.21,29,22,P_-LA-xs-k,P_-LA-xs-k,Strat,-1
1,S0000732,Au_Cu_Ag,417996.2036422644,7598002.753121963,911.21,29,22,P_-LA-xs-k,P_-LA-xs-k,Strat,-1
2,S0000735,Au,415846.3906303714,7597385.551918537,560.04,29,22,P_-LA-xs-k,P_-LA-xs-k,Strat,-1
3,S0000937,Au_Cu_Co,423098.9134602695,7635450.138565433,1231.14,182,211,P_-LA-xs-k,P_-LA-xs-k,Strat,-1
4,S0000938,Au,411302.3825116735,7592319.965207774,1704.71,22,82,P_-LA-xs-k,CP-se-CA,Strat,-1
5,S0000940,Au,408530.2747554723,7608838.088571608,1239.40,22,2,P_-LA-xs-k,P_-LA-xs-k,Strat,-1
6,S0000963,U,405217.2466515374,7529755.549899044,711.36,143,144,TOL,P_-mgn-PTRO,Igneous,-1
7,S0001100,Au,417920.7909664512,7596189.658159128,200.85,22,29,P_-LA-xs-k,P_-LA-xs-k,Strat,-1
8,S0001241,Mn,314123.5472726891,7551549.594625317,0.59,39,43,TOL,P_-ML-xs-k,Strat,-1
9,S0001406,Cu,352114.0156051719,7604402.504340578,1099.96,59,59,P_-TH-xs-kx,P_-TH-xs-kx,Fault,157
10,S0001517,Mn,316194.1101954475,7613547.197679967,438.85,267,248,A-HAL-xkt-ci,P_-TA-sk,Strat,-1
11,S0001518,Mn,318304.3952477472,7599365.790676976,787.26,294,111,TOL,CP-se-CA,Strat,-1
12,S0001678,Mn,297198.7197737694,7582038.429430963,551.68,39,262,TOL,A-HAL-xkt-ci,Strat,-1
13,S0001949,Mn,315884.1840757588,7609008.103884192,347.39,248,295,P_-TA-sk,TOL,Strat,-1
14,S0002305,Cu_Co,428265.6794006443,7545486.327586365,67.76,126,124,P_-TH-xs-kx,TOL,Strat,-1
15,S0002386,Au,417544.1998824574,7597682.07875003,465.89,29,22,P_-LA-xs-k,P_-LA-xs-k,Strat,-1
16,S0002884,Au,412733.9689262011,7608596.545744843,1434.36,2,22,P_-LA-xs-k,P_-LA-xs-k,Strat,-1
17,S0003046,Cu,351761.0904720135,7604480.184319656,1332.40,59,59,P_-TH-xs-kx,P_-TH-xs-kx,Fault,157
18,S0003154,U,404571.0072980496,7529450.473060588,249.10,143,143,TOL,TOL,Fault,47
