GROUP_,id,x,y,z,code
Talbot and Connaughton Domains Rudall Complex,12,451273.6200000001,7458389.8801,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451427.4502999997,7458603.8701,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451473.13989999983,7458699.9101,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451499.19010000024,7458796.2701,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451511.6799999997,7458904.5701,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451520.8903000001,7459088.19,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451492.66000000015,7459537.2601,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451522.2001,7459735.6999,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451552.65979999956,7459850.7599,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451593.1500000004,7459946.0899,481.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451627.47979999986,7459997.9001,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451664.45999999996,7460039.0501,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451751.31989999954,7460108.5099,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451800.8200000003,7460137.07,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451881.6897999998,7460161.4,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,451918.53000000026,7460160.4701,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,452075.4899000004,7460130.7599,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,452206.3800999997,7460083.6301,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,452464.4302000003,7459954.51,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,452766.0697999997,7459785.56,445.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453024.13999999966,7459623.8601,425.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453484.88999999966,7459378.3999,425.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453655.7399000004,7459303.86,425.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454047.2198999999,7459096.9398,425.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454303.6500000004,7458971.4199,425.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454671.86000000034,7458800.3198,441.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454868.02990000043,7458717.1299,441.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,455200.66000000015,7458544.2599,443.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,455005.0011,7458785.0841,443.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454670.52969999984,7459196.74,443.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454304.4298999999,7459728.1301,431.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454127.2899000002,7459962.46,431.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453937.1501000002,7460184.13,431.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453780.6403000001,7460412.02,431.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453474.9801000003,7460816.37,431.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453283.2399000004,7461098.8399,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453168.66000000015,7461286.2601,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453241.4099000003,7461407.8399,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453273.0099999998,7461448.5701,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453313.9900000002,7461475.59,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453362.67980000004,7461486.9301,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453413.53000000026,7461489.27,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453463.1997999996,7461483.84,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453640.87009999994,7461442.9899,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,453725.86010000017,7461414.37,423.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454048.1199000003,7461262.8101,426.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454251.5900999997,7461188.51,426.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454329.91000000015,7461151.89,426.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,454704.2000000002,7460920.69,426.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,455107.6599000003,7460644.35,426.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,455330.4299999997,7460520.48,436.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,455792.4801000003,7460279.4601,436.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,456008.4199999999,7460134.0,436.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,456244.1900000004,7459955.37,436.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,12,456369.8901000004,7459869.02,436.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,19,432899.82990000024,7501802.6801,362.,P__mgnu_PTRO
Talbot and Connaughton Domains Rudall Complex,19,432597.70999999996,7502203.72,362.,P__mgnu_PTRO
