X,Y,Z,formation
307450.0508000003,7611445.2558,264.,AP___pj_ccx
306850.02020000014,7611442.5612,264.,AP___pj_ccx
307179.7675000001,7610845.3041,291.,AP___pj_ccx
306954.7849000003,7610528.9922,291.,AP___pj_ccx
307115.17179999966,7609912.6321,291.,AP___pj_ccx
306719.9994999999,7609306.1504,291.,AP___pj_ccx
306160.8069000002,7609269.3677,316.,AP___pj_ccx
306217.36149999965,7609829.1665,290.,AP___pj_ccx
306291.0401999997,7610548.1702,290.,AP___pj_ccx
305762.6094000004,7611263.4475,267.,AP___pj_ccx
305050.44489999954,7613232.0591,270.,AP___pj_ccx
304202.9034000002,7613926.0606,270.,AP___pj_ccx
303244.81010000035,7614214.7141,243.,AP___pj_ccx
303060.4523,7614740.2146,243.,AP___pj_ccx
303100.8041000003,7614901.7047,243.,AP___pj_ccx
303668.93479999993,7614900.5555,272.,AP___pj_ccx
303962.8531999998,7614455.3266,272.,AP___pj_ccx
304385.01350000035,7615298.4135,272.,AP___pj_ccx
304268.30979999993,7615924.4725,279.,AP___pj_ccx
304477.6621000003,7616664.8154,279.,AP___pj_ccx
304440.7746000001,7617236.2677,278.,AP___pj_ccx
304056.64109999966,7616765.2846,279.,AP___pj_ccx
303523.4996999996,7616008.5493,279.,AP___pj_ccx
302851.17899999954,7616537.8609,268.,AP___pj_ccx
302640.1490000002,7617132.4526,294.,AP___pj_ccx
303364.17289999966,7617544.2873,294.,AP___pj_ccx
304000.5658,7618183.7922,278.,AP___pj_ccx
304649.0581,7618539.6259,278.,AP___pj_ccx
307450.0508000003,7611445.2558,264.,P__TAa_kt
307544.76049999986,7611493.8266,264.,P__TAa_kt
307715.1020999998,7611563.9465,264.,P__TAa_kt
307763.1206,7605583.9857,268.,P__TAa_kt
307902.6656999998,7606288.7558,279.,P__TAa_kt
308631.7592000002,7606798.5477,254.,P__TAa_kt
307773.81230000034,7607096.0239,279.,P__TAa_kt
307411.7659,7607565.7732,279.,P__TAa_kt
307392.0460000001,7607785.7532,284.,P__TAa_kt
307897.60890000034,7605182.1986,268.,P__TAa_kt
307763.1206,7605583.9857,268.,P__TAa_kt
307897.60890000034,7605182.1986,268.,P__TAa_kt
307366.56680000015,7607863.0125,284.,P__TAa_kt
307221.70150000043,7608520.5224,284.,P__TAa_kt
307231.59300000034,7608745.1331,284.,P__TAa_kt
307950.2642999999,7608915.2368,284.,P__TAa_kt
308231.6961000003,7609126.3585,250.,P__TAa_kt
307914.87210000027,7610045.6856,291.,P__TAa_kt
307508.91509999987,7610633.4949,291.,P__TAa_kt
311709.4620000003,7603185.8726,266.,P__TAa_kt
310866.7878999999,7603799.8185,261.,P__TAa_kt
310240.8035089288,7604534.14984464,261.,P__TAa_kt
310469.52610000037,7603992.4279,261.,P__TAa_kt
311709.4620000003,7603185.8726,266.,P__TAa_kt
312010.4157999996,7602860.8414,284.,P__TAa_kt
314634.7433000002,7601127.3512,276.,P__TAa_kt
332479.66420373856,7586627.440194114,373.,A_FOh_xs_f
332540.7056835503,7586650.478027566,373.,A_FOh_xs_f
305984.04140000045,7606062.7305,319.,AP___pj_ccx
306001.5362999998,7605607.7778,319.,AP___pj_ccx
