index,X,Y,Z,formation
0,451273.62000000005,7458389.8801,481.0,P__mgnu_PTRO
1,451520.8903000001,7459088.19,481.0,P__mgnu_PTRO
2,451627.4797999999,7459997.9001,445.0,P__mgnu_PTRO
3,451918.53000000026,7460160.4701,445.0,P__mgnu_PTRO
4,453024.13999999966,7459623.8601,425.0,P__mgnu_PTRO
5,454671.86000000034,7458800.3198,441.0,P__mgnu_PTRO
6,455200.6600000002,7458544.2599,443.0,P__mgnu_PTRO
7,454304.42989999993,7459728.1301,431.0,P__mgnu_PTRO
8,453283.2399000004,7461098.8399,423.0,P__mgnu_PTRO
9,453362.6798,7461486.9301,423.0,P__mgnu_PTRO
10,454048.11990000034,7461262.8101,426.0,P__mgnu_PTRO
11,455330.4299999997,7460520.48,436.0,P__mgnu_PTRO
12,456369.89010000037,7459869.02,436.0,P__mgnu_PTRO
13,432899.8299000001,7501802.6801,362.0,P__mgnu_PTRO
14,431844.86010000017,7503028.1701,363.0,P__mgnu_PTRO
15,430622.0400999999,7503951.4699,376.0,P__mgnu_PTRO
16,430271.3300999999,7504017.8501,376.0,P__mgnu_PTRO
17,429921.98020000005,7503792.2,376.0,P__mgnu_PTRO
18,429570.0199999996,7503806.18,376.0,P__mgnu_PTRO
19,428790.79,7504483.8,376.0,P__mgnu_PTRO
20,428560.61990000034,7504343.6301,376.0,P__mgnu_PTRO
21,428386.45000000024,7504588.13,376.0,P__mgnu_PTRO
22,428173.5599999996,7504614.04,376.0,P__mgnu_PTRO
23,427638.82010000007,7504649.79,376.0,P__mgnu_PTRO
24,426591.41000000015,7504958.56,380.0,P__mgnu_PTRO
25,426358.11029999977,7505003.8499,380.0,P__mgnu_PTRO
26,426421.4698999999,7504777.81,380.0,P__mgnu_PTRO
27,426529.62000000005,7504434.3,367.0,P__mgnu_PTRO
28,426243.9099000003,7504421.79,367.0,P__mgnu_PTRO
29,425597.79,7504523.4699,367.0,P__mgnu_PTRO
30,425412.7899000002,7504709.47,386.98917,P__mgnu_PTRO
31,430627.1199400002,7509153.8,355.0,P__mgnu_PTRO
32,431769.75,7507621.0297,357.0,P__mgnu_PTRO
33,431351.3200000003,7507701.2597,355.0,P__mgnu_PTRO
34,431029.25004000025,7507701.979999999,355.0,P__mgnu_PTRO
35,430817.0399000002,7507741.28,355.0,P__mgnu_PTRO
36,434740.2900400003,7504021.13,358.0,P__mgnu_PTRO
37,434902.48000000045,7503516.8502,347.0,P__mgnu_PTRO
38,434497.28000000026,7503404.2599,358.0,P__mgnu_PTRO
39,434128.45000000024,7503509.96,358.0,P__mgnu_PTRO
40,432667.7899000002,7504257.4701,363.0,P__mgnu_PTRO
41,425551.66000000015,7505140.0401,380.0,P__mgnu_PTRO
42,425684.1700400003,7505668.4601,380.0,P__mgnu_PTRO
43,425297.4499000004,7505661.3998,386.98917,P__mgnu_PTRO
44,424977.9199000001,7505632.0002,386.98917,P__mgnu_PTRO
45,424410.8998999996,7505437.9699,386.98917,P__mgnu_PTRO
46,421633.5999999996,7506696.7299,384.0433,P__mgnu_PTRO
47,421153.6500000004,7506698.2901,384.0433,P__mgnu_PTRO
48,420524.26014000026,7506811.79,393.21848,P__mgnu_PTRO
49,420214.6898999997,7506821.84,393.21848,P__mgnu_PTRO
50,419479.9497999996,7507258.91,393.21848,P__mgnu_PTRO
51,419805.53014000034,7503796.5801,366.72893999999997,P__mgnu_PTRO
52,422128.2900999999,7500284.16,387.093,P__mgnu_PTRO
53,421633.44994000025,7500345.640099999,387.093,P__mgnu_PTRO
54,416276.7900999999,7510544.4701,418.1557,P__mgnu_PTRO
55,417555.9198000002,7509948.22,418.1557,P__mgnu_PTRO
56,418251.9803,7509649.0537,442.1219,P__mgnu_PTRO
57,419340.2847999996,7508864.3691,388.08844,P__mgnu_PTRO
58,419992.1297000004,7508771.12,388.08844,P__mgnu_PTRO
59,420546.48000000045,7508340.0401,388.08844,P__mgnu_PTRO
60,420784.5799000001,7507846.0198,423.00272,P__mgnu_PTRO
61,421595.21,7507490.2801,384.0433,P__mgnu_PTRO
62,422302.96,7507611.06,394.92712,P__mgnu_PTRO
63,423348.8000999997,7507590.2701,394.92712,P__mgnu_PTRO
64,424104.3903000001,7507360.27,434.00552000000005,P__mgnu_PTRO
65,425049.0999999996,7507097.35,434.00552000000005,P__mgnu_PTRO
66,425326.6799999997,7507218.4301,434.00552000000005,P__mgnu_PTRO
67,425796.7899000002,7507368.4699,383.0,P__mgnu_PTRO
68,424971.61990000034,7507692.4701,434.00552000000005,P__mgnu_PTRO
69,424598.2199999997,7508401.5999,427.00177,P__mgnu_PTRO
70,424868.11990000034,7508299.7499,427.00177,P__mgnu_PTRO
71,425350.4099000003,7507979.88,427.00177,P__mgnu_PTRO
72,427301.25,7507407.6301,377.0,P__mgnu_PTRO
73,426090.74990000017,7508317.89,430.0,P__mgnu_PTRO
74,425375.9699999997,7508809.1099,427.00177,P__mgnu_PTRO
75,425713.8998999996,7508871.18,430.0,P__mgnu_PTRO
76,426285.6999000004,7508834.08,430.0,P__mgnu_PTRO
77,428072.79,7510447.47,435.94266,P__mgnu_PTRO
78,428107.79,7510745.47,435.94266,P__mgnu_PTRO
79,416718.5299000004,7509688.6501,418.1557,P__mgnu_PTRO
80,416502.11990000034,7510334.73,418.1557,P__mgnu_PTRO
81,413583.0400999999,7509385.62,399.8216,P__mgnu_PTRO
82,413708.12990000006,7508926.94,387.12427,P__mgnu_PTRO
83,414254.79,7508804.3,387.12427,P__mgnu_PTRO
