fault_id,Fault_16,Fault_75,Fault_202,Fault_78,Fault_93,Fault_103,Fault_203,Fault_99,Fault_105,Fault_110,Fault_132,Fault_136,Fault_111,Fault_128,Fault_129,Fault_141,Fault_143,Fault_146,Fault_97,Fault_157,Fault_181
Fault_16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_78,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fault_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_110,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Fault_132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fault_143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fault_97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fault_181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
