Fault,HorizontalRadius,VerticalRadius,InfluenceDistance
Fault_1,88121.50608722086,176243.0121744417,44060.75304361043
Fault_16,56880.598047230604,113761.19609446121,28440.299023615302
Fault_17_0,110542.62714382749,221085.25428765497,55271.31357191374
Fault_75,158675.80379216876,317351.60758433753,79337.90189608438
Fault_78,121892.69799186074,243785.39598372148,60946.34899593037
Fault_79,95947.52328338759,191895.04656677519,47973.761641693796
Fault_80,41627.423884175376,83254.84776835075,20813.711942087688
Fault_81,81029.86297939086,162059.72595878172,40514.93148969543
Fault_93,39392.06340553021,78784.12681106041,19696.031702765104
Fault_97,37301.477286937305,74602.95457387461,18650.738643468652
Fault_99,31785.053784705633,63570.107569411266,15892.526892352817
Fault_103,32367.118294825923,64734.236589651846,16183.559147412961
Fault_105,33631.89283593013,67263.78567186026,16815.946417965064
Fault_110,89323.69957932722,178647.39915865444,44661.84978966361
Fault_111,45656.33652119094,91312.67304238188,22828.16826059547
Fault_128,55533.91310365814,111067.82620731628,27766.95655182907
Fault_129,48373.03463788583,96746.06927577166,24186.517318942915
Fault_132,66343.35480230614,132686.7096046123,33171.67740115307
Fault_135,33579.9808517518,67159.9617035036,16789.9904258759
Fault_136,52087.36249529445,104174.7249905889,26043.681247647226
Fault_141,42672.61218332176,85345.22436664352,21336.30609166088
Fault_143,88595.14356897844,177190.28713795688,44297.57178448922
Fault_146,47352.25573739514,94704.51147479028,23676.12786869757
Fault_157,99840.7036741133,199681.4073482266,49920.35183705665
Fault_181,49250.18752921799,98500.37505843598,24625.093764608995
Fault_201,44619.71056027802,89239.42112055604,22309.85528013901
Fault_202,72027.70948987137,144055.41897974274,36013.854744935685
Fault_203,43345.37068486455,86690.7413697291,21672.685342432276
