X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
424033.5537911033,7650475.665240071,Fault_1,-353,1821,0.0
417037.25442361954,7654427.921573977,Fault_1,9,3,180.0
397421.42754882545,7669351.910838292,Fault_1,10,6,180.0
386254.91040687164,7684545.659297032,Fault_1,9,3,0.0
372551.03973874176,7699561.876934609,Fault_1,-31,0,180.0
366727.4133333849,7707989.377372456,Fault_1,47,2,0.0
447212.87247187877,7532650.68879813,Fault_16,-5387,10094,0.0
366148.29266214115,7536089.176507094,Fault_17_0,411,145,0.0
517512.2621297613,7509812.585742761,Fault_75,9,1,180.0
500164.584559549,7564049.249730685,Fault_75,45750,7832,180.0
497098.00222706253,7591573.123441311,Fault_75,-12324,3291,0.0
495072.5823506736,7618644.932459973,Fault_75,9,4,0.0
479844.9555338468,7677847.927607331,Fault_75,-3303,2163,180.0
477207.7977769133,7684517.789802146,Fault_75,-36142,23677,180.0
476213.3466628934,7687818.6151869595,Fault_75,7310,4682,0.0
439352.1572273399,7468458.869673131,Fault_78,52270,7299,0.0
550483.2266986484,7435802.076643707,Fault_78,10,3,180.0
377703.99023465934,7604003.808718316,Fault_79,100,57,0.0
346996.5252360167,7665521.047642365,Fault_79,9,3,180.0
344995.63847482804,7681765.550364752,Fault_79,-183,17,0.0
335238.4291202762,7695332.596605684,Fault_79,14,1,0.0
414306.8213287667,7675257.622445026,Fault_80,14,0,0.0
396835.80208300543,7705599.532945866,Fault_80,10,0,0.0
434775.78884827293,7572704.838114818,Fault_81,-36355,76585,0.0
410167.1585403399,7584888.912186242,Fault_81,-11681,7541,180.0
403047.4760635474,7590457.27336376,Fault_81,36355,67701,0.0
403047.4760635474,7590457.27336376,Fault_81,16480,23449,0.0
403047.4760635474,7590457.27336376,Fault_81,7581,9391,0.0
401098.59130890056,7592254.366382738,Fault_81,20982,1555,0.0
401098.59130890056,7592254.366382738,Fault_81,11681,589,0.0
401098.59130890056,7592254.366382738,Fault_81,4885,146,0.0
414511.32866694854,7495522.833253631,Fault_93,-33558,22748,180.0
414364.51902674703,7495871.219703364,Fault_93,-11168,8409,180.0
406058.1030048565,7514409.2339945845,Fault_93,10012,4737,0.0
400921.743583862,7525782.138452305,Fault_93,-387,148,0.0
464284.4436422147,7432580.504834255,Fault_105,-11039,1469,0.0
459938.85486522387,7439443.3942177,Fault_105,-13931,1654,0.0
440676.3079895292,7466178.086773866,Fault_105,1936,68,0.0
439616.78153923305,7467172.868036459,Fault_105,654,40,0.0
289864.22402664414,7691295.859049052,Fault_110,-5816,659,180.0
292379.4666528011,7685202.165797819,Fault_110,-5528,1019,0.0
296782.3534376531,7678624.08766237,Fault_110,-80450,6453,180.0
305965.10991638753,7660619.59752062,Fault_110,-88361,7002,180.0
306648.77630735276,7657557.363977955,Fault_110,-57231,186,180.0
321313.8132328493,7624801.485548842,Fault_110,-49688,1567,180.0
321447.79029442894,7624044.400113588,Fault_110,-20728,755,180.0
447212.87247187656,7532650.68879813,Fault_111,-5387,10094,0.0
561375.5360660094,7442815.954315037,Fault_129,43,13,180.0
556415.8142631372,7444760.9905726155,Fault_129,179,35,180.0
552395.6319872299,7446008.27843378,Fault_129,-188,58,180.0
552192.3516148034,7445988.246578207,Fault_129,-19,2,180.0
549317.3964161308,7445684.693285951,Fault_129,10,3,180.0
545417.138944964,7446349.328557363,Fault_129,141,12,180.0
545417.138944964,7446349.328557363,Fault_129,-1285,141,0.0
545417.138944964,7446349.328557363,Fault_129,-2205,260,0.0
545417.138944964,7446349.328557363,Fault_129,-7813,1111,0.0
545417.138944964,7446349.328557363,Fault_129,-34190,3102,0.0
544791.6403306291,7446610.254844557,Fault_129,-16,3,180.0
544791.6403306291,7446610.254844557,Fault_129,-937,75,180.0
544791.6403306291,7446610.254844557,Fault_129,-3305,357,180.0
544791.6403306291,7446610.254844557,Fault_129,-32387,1850,180.0
544791.6403306291,7446610.254844557,Fault_129,-33701,1954,180.0
544230.8823392153,7446845.689184633,Fault_129,1427,31,0.0
544230.8823392153,7446845.689184633,Fault_129,10,2,0.0
544230.8823392153,7446845.689184633,Fault_129,-922,43,180.0
544230.8823392153,7446845.689184633,Fault_129,-6542,421,180.0
544230.8823392153,7446845.689184633,Fault_129,-32907,209,180.0
543965.7307765284,7446962.955655532,Fault_129,884,1,0.0
543965.7307765284,7446962.955655532,Fault_129,-40,2,180.0
543965.7307765284,7446962.955655532,Fault_129,-2417,99,180.0
543965.7307765284,7446962.955655532,Fault_129,-31492,578,180.0
543965.7307765284,7446962.955655532,Fault_129,-32806,575,180.0
543252.1205065547,7447377.89478408,Fault_129,2537,79,0.0
543252.1205065547,7447377.89478408,Fault_129,1113,22,0.0
543252.1205065547,7447377.89478408,Fault_129,191,1,0.0
543252.1205065547,7447377.89478408,Fault_129,-5431,3,180.0
543252.1205065547,7447377.89478408,Fault_129,-31810,1817,180.0
541931.4832609519,7448269.293461033,Fault_129,3291,201,0.0
541931.4832609519,7448269.293461033,Fault_129,2376,126,0.0
541931.4832609519,7448269.293461033,Fault_129,9,1,0.0
541931.4832609519,7448269.293461033,Fault_129,-29155,2872,180.0
541931.4832609519,7448269.293461033,Fault_129,-30466,2978,180.0
310272.98529780266,7677276.649387878,Fault_132,3164,330,180.0
310272.98529780266,7677276.649387878,Fault_132,-11,24,0.0
524050.30442112364,7506878.055650592,Fault_135,-6769,2653,0.0
529942.4055542268,7505231.655712826,Fault_135,-89,38,0.0
533901.2638878879,7505122.249878401,Fault_135,10,2,180.0
538294.9839065736,7505507.455786248,Fault_135,9,1,180.0
559670.9479649486,7504956.387561251,Fault_135,9,2,0.0
322608.2050522125,7609960.788856628,Fault_136,-13571,6233,180.0
316932.1840274021,7587801.027365888,Fault_141,-4431,1412,0.0
316932.1840274021,7587801.027365888,Fault_141,-5835,1854,0.0
316932.1840274021,7587801.027365888,Fault_141,-15333,5118,0.0
316932.1840274021,7587801.027365888,Fault_141,-28524,10200,0.0
315701.4692972923,7589045.16968134,Fault_141,-147,56,180.0
315701.4692972923,7589045.16968134,Fault_141,-3420,1215,180.0
315701.4692972923,7589045.16968134,Fault_141,-11351,4115,180.0
315701.4692972923,7589045.16968134,Fault_141,-17886,6983,180.0
314464.4810309369,7590391.167778661,Fault_141,-854,52,0.0
314464.4810309369,7590391.167778661,Fault_141,-2258,131,0.0
314464.4810309369,7590391.167778661,Fault_141,-11762,767,0.0
314464.4810309369,7590391.167778661,Fault_141,-24976,1845,0.0
313808.8896247393,7591098.459147067,Fault_141,2645,42,180.0
313808.8896247393,7591098.459147067,Fault_141,-628,8,0.0
313808.8896247393,7591098.459147067,Fault_141,-8559,149,0.0
313808.8896247393,7591098.459147067,Fault_141,-15108,354,0.0
