X,Y,id,left_fm,right_fm,min_offset,strat_offset
457677.6445216718,7627812.140045406,Fault_1,K__ca_sp,K__ca_sp,0.0,000
453233.59884628234,7629985.995213816,Fault_1,K__ca_sp,K__ca_sp,0.0,000
450293.3344058171,7631926.206235658,Fault_1,K__ca_sp,K__ca_sp,0.0,000
448241.13208570983,7633605.358256399,Fault_1,K__ca_sp,K__ca_sp,0.0,000
446213.62122080335,7635126.277827739,Fault_1,K__ca_sp,K__ca_sp,0.0,000
444407.269813878,7636805.77827565,Fault_1,K__ca_sp,K__ca_sp,0.0,000
443316.6353259296,7638303.206558123,Fault_1,K__ca_sp,K__ca_sp,0.0,000
442078.0164755606,7639721.015168821,Fault_1,K__ca_sp,K__ca_sp,0.0,000
439777.9229086484,7641187.485332411,Fault_1,K__ca_sp,K__ca_sp,0.0,000
436812.0854819077,7642414.112528097,Fault_1,K__ca_sp,K__ca_sp,0.0,000
433945.1145550781,7643482.58384212,Fault_1,K__ca_sp,K__ca_sp,0.0,000
430699.6606331221,7644696.141288231,Fault_1,K__ca_sp,K__ca_sp,0.0,000
428161.32760288706,7645877.921113652,Fault_1,P__LAp_kd,P___cr_g,4302.0,003
427381.02998212306,7646463.965055479,Fault_1,P__LAp_kd,P___cr_g,4302.0,003
426672.6249943529,7647117.435068775,Fault_1,P__LAp_kd,P___cr_g,4302.0,003
425936.5500683901,7647809.3850414585,Fault_1,P__LAp_kd,P___cr_g,4302.0,003
425736.3050998477,7648048.06499392,Fault_1,P__LAp_kd,P___cr_g,4302.0,003
424803.1061474094,7649376.460759088,Fault_1,P___cr_g,P___cr_g,0.0,000
422899.6506935959,7651360.979673995,Fault_1,P__LAp_kd,P__LAp_kd,0.0,000
420770.56364077283,7652747.498991145,Fault_1,P__LAp_kd,P__LAp_kd,0.0,000
418493.85848173546,7653831.94495656,Fault_1,P__LAp_kd,P__LAp_kd,0.0,000
416167.509445284,7654794.735406341,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
414339.8745302423,7655478.698671623,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
412781.9715935611,7656601.04780902,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
410993.44380260585,7658461.43642176,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
408931.8770771036,7660478.164149711,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
407068.56406417163,7662311.428848421,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
405503.3080083416,7663803.795509297,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
403616.1615297529,7665346.80995873,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
401976.50319561176,7666785.781155947,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
400486.7218779805,7667909.402698613,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
398498.22561069066,7668887.220973489,Fault_1,CP__pa_sepg,CP__pa_sepg,0.0,000
397308.46186453523,7669406.677896403,Fault_1,K__ca_sp,K__ca_sp,0.0,000
396294.8887459147,7670201.434918659,Fault_1,K__ca_sp,K__ca_sp,0.0,000
394579.7277414808,7671665.5599799175,Fault_1,K__ca_sp,K__ca_sp,0.0,000
393184.68881352246,7673289.627436198,Fault_1,K__ca_sp,K__ca_sp,0.0,000
391983.40870276187,7675494.284292381,Fault_1,K__ca_sp,K__ca_sp,0.0,000
390506.9903846602,7678118.46832038,Fault_1,K__ca_sp,K__ca_sp,0.0,000
388883.4846592555,7680478.177481003,Fault_1,K__ca_sp,K__ca_sp,0.0,000
387133.9905401473,7683100.273125708,Fault_1,K__ca_sp,K__ca_sp,0.0,000
385134.9216491869,7685957.540475863,Fault_1,K__an_st,K__an_st,0.0,000
382789.57149196044,7688680.465598729,Fault_1,K__an_st,K__an_st,0.0,000
379997.92211305257,7691399.899554184,Fault_1,K__an_st,K__an_st,0.0,000
376959.1423489903,7693932.73382454,Fault_1,K__an_st,K__an_st,0.0,000
374739.2184982174,7696128.846190329,Fault_1,K__an_st,K__an_st,0.0,000
373286.1233747802,7698356.784853289,Fault_1,K__an_st,K__an_st,0.0,000
371508.66127734585,7700845.526606683,Fault_1,K__ca_sp,K__ca_sp,0.0,000
369306.247274003,7703752.245671423,Fault_1,K__ca_sp,K__ca_sp,0.0,000
366997.3656715038,7707500.768999159,Fault_1,K__ca_sp,K__ca_sp,0.0,000
365217.12719401484,7710120.64653844,Fault_1,K__pr_sf,K__pr_sf,0.0,000
363917.1635055435,7711506.240750795,Fault_1,K__pr_sf,K__pr_sf,0.0,000
362133.6912428206,7714389.175431404,Fault_1,K__pr_sf,K__pr_sf,0.0,000
360700.7270792504,7716963.10836266,Fault_1,K__pr_sf,K__pr_sf,0.0,000
359693.68101878604,7718798.604755186,Fault_1,K__pr_sf,K__pr_sf,0.0,000
358348.3261643105,7721666.803445925,Fault_1,K__pr_sf,K__pr_sf,0.0,000
442689.52005887916,7534564.344938893,Fault_16,P__THb_shh,P__THb_shh,0.0,000
453636.48506716266,7530188.769969514,Fault_16,P__THc_stq,P__THc_stq,0.0,000
465894.1550552645,7525647.594964156,Fault_16,P__THc_stq,P__xg_mn_PTRT,-1,004
478905.79498777166,7520923.454933761,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
487845.2099436447,7517751.909932568,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
491183.0099688559,7516571.309888143,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
492195.34002600284,7516307.5799516775,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
493167.47996836156,7516070.139989011,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
493622.6849403302,7515984.774961276,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
493661.9450019933,7516324.499966223,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
493882.27502803365,7516545.974930032,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
494536.685043741,7516322.589990877,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
496650.96502060536,7515925.240032269,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
498779.7200395232,7515550.990025289,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
499622.4100134168,7515499.250072573,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
501141.1399932853,7515458.755025169,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
502069.2899520872,7515451.7799789915,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
502303.8049731776,7515430.435020065,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
503394.24504771596,7515249.91006664,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
504523.8949983809,7515055.835030939,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
504754.02004252514,7515007.184964204,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
504996.0301085571,7514925.309977662,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
505686.4918449251,7514666.224758489,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
506958.1217573546,7514183.539763559,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
510788.3049639049,7512657.849945199,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
515707.4637230849,7510581.068617795,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
517677.05372031545,7509686.448676971,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
518587.22001054,7509267.705034923,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
519507.9950917321,7508847.840036813,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
521247.9523500176,7508216.372489947,Fault_16,P__THb_shh,P__xg_mn_PTRT,-1,003
325395.06808283133,7662563.837773527,Fault_17_0,P__THb_shh,P__TAg_sg,20315.0,026
325250.882798309,7660879.1462233225,Fault_17_0,P__THb_shh,P__TAg_sg,20315.0,026
325152.22970425384,7659740.841174913,Fault_17_0,P__THb_shh,P__TAg_sg,20315.0,026
325304.00368337054,7658534.237782832,Fault_17_0,P__THb_shh,P__TAg_sg,20315.0,026
325524.0759923225,7657115.150738559,Fault_17_0,P__THb_shh,P__TAg_sg,20315.0,026
325804.85791854886,7655749.184612062,Fault_17_0,P__THb_shh,P__TAg_sg,20315.0,026
326229.8251392478,7654314.92018586,Fault_17_0,P__THb_shh,P__TAg_sg,20315.0,026
326633.74820172973,7653259.7833906915,Fault_17_0,P__THb_shh,P__TAg_sg,20315.0,026
327697.29030169966,7650457.455799567,Fault_17_0,P__THb_shh,P__TAg_sg,20315.0,026
329282.88791924017,7646012.625733625,Fault_17_0,P__THb_shh,P__TAw_ktsv,20647.0,027
330358.8686893792,7642749.40002622,Fault_17_0,P__THb_shh,P__TAw_ktsv,20647.0,027
331275.63285940513,7639697.893057946,Fault_17_0,P__THb_shh,P__TAw_ktsv,20647.0,027
331919.07780763414,7637420.9331092965,Fault_17_0,P__THb_shh,P__TAb_st,21045.0,028
332084.1805077982,7636825.264943837,Fault_17_0,P__THb_shh,P__TAb_st,21045.0,028
332336.08043410815,7636012.44510372,Fault_17_0,P__THb_shh,P__TAb_st,21045.0,028
332592.6251535625,7635235.265002402,Fault_17_0,P__THb_shh,P__TAb_st,21045.0,028
332711.11509798886,7634916.449799128,Fault_17_0,P__THb_shh,P__TAb_st,21045.0,028
332869.9002772956,7634427.834979366,Fault_17_0,P__THb_shh,P__TAw_ktsv,20647.0,027
333023.9152438659,7633913.74997362,Fault_17_0,P__THb_shh,P__TAw_ktsv,20647.0,027
333216.19010224706,7633189.165277642,Fault_17_0,P__THb_shh,P__TAw_ktsv,20647.0,027
333445.92984812055,7632317.620165848,Fault_17_0,P__THb_shh,P__TAw_ktsv,20647.0,027
333617.33966742875,7631633.454648965,Fault_17_0,P__THb_shh,P__TAw_ktsv,20647.0,027
333738.0897986321,7631134.214882698,Fault_17_0,P__THb_shh,P__TAw_ktsv,20647.0,027
333826.53511055466,7630776.915315231,Fault_17_0,P__THb_shh,P__TAb_st,21045.0,028
