X,Y,Z,formation
459847.7998355857,7626801.95501654,326.01385,K__ca_sp
457132.4799775446,7628059.014608225,304.88983,K__ca_sp
454268.4917297335,7629431.500607018,306.08456,K__ca_sp
452539.76591238513,7630348.296183743,313.02832,K__ca_sp
450774.7233282645,7631513.020433963,291.96478,K__ca_sp
449563.1847051476,7632536.4358790815,284.0321,K__ca_sp
448406.1896110303,7633470.268472711,292.90216,K__ca_sp
447565.5259140399,7634126.005048332,292.90216,K__ca_sp
446210.67586322967,7635122.2374232095,296.9939,K__ca_sp
444898.8938611609,7636151.296968205,305.79245,K__ca_sp
444279.3896221517,7636965.614420397,305.79245,K__ca_sp
443595.1974658029,7637890.501316239,328.1215,K__ca_sp
443124.06721686374,7638573.612146521,328.1215,K__ca_sp
442381.5543820899,7639423.524206942,313.15955,K__ca_sp
441614.06578066,7640158.221987359,313.15955,K__ca_sp
440082.2895300969,7641036.618796069,301.86188,K__ca_sp
438549.68456461455,7641768.39117924,306.11447,K__ca_sp
436810.4536520979,7642409.386310637,302.14783,K__ca_sp
435090.24803609395,7643019.048392696,312.036,K__ca_sp
433656.50957052264,7643592.6648942055,318.01166,K__ca_sp
431785.02462174173,7644307.462188072,313.79196,K__ca_sp
429973.30916535703,7644947.403132673,309.919,K__ca_sp
428448.985674007,7645657.177303902,313.186,P__LAp_kd
427722.36810015666,7646199.016184721,313.186,P__LAp_kd
427388.5875424939,7646451.264320246,313.186,P__LAp_kd
427334.9074955802,7646495.469381254,313.186,P__LAp_kd
426669.21881983685,7647113.774744313,302.17938,P__LAp_kd
425998.06586588395,7647739.730382099,302.17938,P__LAp_kd
425916.71588077757,7647822.415402494,302.17938,P__LAp_kd
425803.66544383595,7647951.43714603,302.17938,P__LAp_kd
425684.7704604,7648107.432078097,302.17938,P__LAp_kd
425124.72110956645,7648904.648123714,285.68756,P___cr_g
424310.4171405641,7650077.048956816,279.72418,P___cr_g
423114.49217975617,7651194.547690137,271.2406,P__LAp_kd
422025.34069494496,7652006.66577194,269.26093,P__LAp_kd
420768.1461774841,7652743.122249063,269.26093,P__LAp_kd
419481.3678919317,7653419.2868178245,261.6778,P__LAp_kd
418244.59830090613,7653929.331547891,262.376,P__LAp_kd
416819.3385345343,7654518.47071792,258.53387,CP__pa_sepg
415729.75908910844,7654971.216437635,258.1751,CP__pa_sepg
414633.6019557403,7655381.440313383,258.1751,CP__pa_sepg
413895.54648612445,7655612.65785895,258.7568,CP__pa_sepg
412942.26144508825,7656419.436193681,261.16632,CP__pa_sepg
412122.41397802293,7657310.567785511,259.86163,CP__pa_sepg
410989.90721674205,7658457.901940125,260.03043,CP__pa_sepg
409802.7264628444,7659636.577843102,264.36237,CP__pa_sepg
408709.8400612321,7660684.048550141,263.54803,CP__pa_sepg
407527.2497584051,7661836.452002896,263.85367,CP__pa_sepg
406756.82314708544,7662622.245994566,282.38626,CP__pa_sepg
405817.9178156559,7663517.429529512,272.63507,CP__pa_sepg
405023.0883711455,7664224.002198718,306.0127,CP__pa_sepg
403831.5850711968,7665175.551814462,306.0127,CP__pa_sepg
402739.2680371185,7666011.993594689,308.1719,CP__pa_sepg
401972.80223371414,7666782.419180184,305.02664,CP__pa_sepg
401238.2545011877,7667488.153321219,313.09647,CP__pa_sepg
400295.8144836193,7668009.245446894,297.81143,CP__pa_sepg
399123.85866224935,7668608.603013088,297.81143,CP__pa_sepg
398077.8024125279,7669065.329162288,293.74197,CP__pa_sepg
397363.9445502518,7669377.003147777,293.74197,K__ca_sp
397220.23705381784,7669439.733921491,294.12424,K__ca_sp
396465.64245824725,7670051.204046687,294.12424,K__ca_sp
395595.7768360607,7670783.23029523,272.0919,K__ca_sp
394576.45434144954,7671661.7804492265,272.0919,K__ca_sp
393620.2271482037,7672573.429128184,268.85056,K__ca_sp
393070.48360249266,7673465.39777175,265.06454,K__ca_sp
392369.85196406965,7674704.448428495,260.8776,K__ca_sp
391718.3153990201,7676017.136641112,261.7423,K__ca_sp
390832.71064915106,7677591.207950026,263.9079,K__ca_sp
390007.82889609894,7678902.703765408,281.8173,K__ca_sp
389039.2322681162,7680265.504631329,290.09174,K__ca_sp
388240.6082957636,7681313.717976569,284.8496,K__ca_sp
387129.71094188676,7683097.687581524,296.11023,K__ca_sp
385969.6081331546,7684927.66957972,292.19403,K__an_st
384921.40938894975,7686211.05463041,294.93185,K__an_st
383564.14787809714,7687813.394500829,291.8537,K__an_st
382266.9964650755,7689252.934573006,293.66522,K__an_st
380592.468960598,7690884.144331551,294.0421,K__an_st
379097.97099471174,7692164.038214829,287.97125,K__an_st
377264.84845504386,7693678.262977188,287.80304,K__an_st
375720.56665686786,7694931.203364267,283.02704,K__an_st
374735.15380486904,7696125.9344437765,277.98886,K__an_st
373903.80808200396,7697326.3829040155,276.0603,K__an_st
373126.3550111636,7698611.149588265,273.41165,K__an_st
372104.8204016292,7700119.946875796,270.4496,K__ca_sp
371104.8113750352,7701323.92194494,270.4496,K__ca_sp
369783.12495437905,7703068.263907936,264.32007,K__ca_sp
368580.7199776302,7704771.007903532,264.75546,K__ca_sp
367214.2630487151,7707089.234466314,266.84766,K__ca_sp
366107.78642296477,7709135.013798455,249.66397,K__pr_sf
365213.88436119276,7710116.840748734,264.89465,K__pr_sf
364414.1665134173,7710853.989346412,263.01205,K__pr_sf
363787.96467668464,7711665.485351627,276.2778,K__pr_sf
362823.68851340225,7713143.873598307,282.2575,K__pr_sf
361666.418087412,7715215.312273702,284.20132,K__pr_sf
360806.6209991757,7716759.705609528,267.50592,K__pr_sf
360530.92726159573,7717262.19986539,267.1177,K__pr_sf
359835.56790825626,7718529.599277066,267.1177,K__pr_sf
359104.2155853719,7719862.6014137305,268.53854,K__pr_sf
358343.6837015163,7721664.946690905,265.78857,K__pr_sf
357741.961220557,7723169.439313899,257.88306,K__pr_sf
459852.0009806237,7626811.029727576,326.01385,K__ca_sp
457136.6811225826,7628068.089319261,304.88983,K__ca_sp
454273.17694364925,7629440.335128543,306.08456,K__ca_sp
452544.4511263009,7630357.130705267,313.02832,K__ca_sp
450781.17638186325,7631520.65968126,291.96478,K__ca_sp
449569.63775874634,7632544.075126378,284.0321,K__ca_sp
448412.3400391855,7633478.153409839,292.90216,K__ca_sp
447571.67634219513,7634133.88998546,292.90216,K__ca_sp
446216.56657837704,7635130.318232268,296.9939,K__ca_sp
444906.8525490099,7636157.351659587,305.79245,K__ca_sp
444287.34831000067,7636971.669111779,305.79245,K__ca_sp
443603.4294847833,7637896.178803668,328.1215,K__ca_sp
443132.29923584417,7638579.28963395,328.1215,K__ca_sp
442388.4694501752,7639430.747906366,313.15955,K__ca_sp
441620.9808487453,7640165.445686784,313.15955,K__ca_sp
440086.59827339277,7641045.642915484,301.86188,K__ca_sp
438553.9933079104,7641777.415298655,306.11447,K__ca_sp
436813.7173117175,7642418.838745555,302.14783,K__ca_sp
435093.9626189763,7643028.3328891285,312.036,K__ca_sp
433660.224153405,7643601.949390638,318.01166,K__ca_sp
431788.3551921641,7644316.891254869,313.79196,K__ca_sp
429976.6397357794,7644956.832199471,309.919,K__ca_sp
428454.96359084744,7645665.193818747,313.186,P___cr_g
427728.3460169971,7646207.032699566,313.186,P___cr_g
427394.94444051775,7646458.983766309,313.186,P___cr_g
427341.26439360407,7646503.188827317,313.186,P___cr_g
426676.031168869,7647121.095393237,302.17938,P___cr_g
426005.1942470664,7647746.743668185,302.17938,P___cr_g
425923.84426196,7647829.42868858,302.17938,P___cr_g
425811.6187359826,7647957.49892333,302.17938,P___cr_g
425692.72375254665,7648113.493855396,302.17938,P___cr_g
425132.93436045427,7648910.352727982,285.68756,P___cr_g
424318.63039145194,7650082.753561084,279.72418,P___cr_g
423120.46980136004,7651202.56442513,271.2406,P__LAp_kd
422031.31831654883,7652014.682506933,269.26093,P__LAp_kd
420772.9811040616,7652751.875733227,269.26093,P__LAp_kd
419485.18041718006,7653428.53152719,261.6778,P__LAp_kd
418248.4108261545,7653938.576257256,262.376,P__LAp_kd
416823.17569054477,7654527.705231104,258.53387,CP__pa_sepg
415733.5962451189,7654980.450950819,258.1751,CP__pa_sepg
414636.5914804369,7655390.98299341,258.1751,CP__pa_sepg
413898.53601082106,7655622.200538977,258.7568,CP__pa_sepg
412949.6207288601,7656426.206787626,261.16632,CP__pa_sepg
412129.77326179476,7657317.338379456,259.86163,CP__pa_sepg
410996.98038846964,7658464.970903396,260.03043,CP__pa_sepg
409809.6459339425,7659643.797325058,264.36237,CP__pa_sepg
408716.7595323302,7660691.268032097,263.54803,CP__pa_sepg
407534.3903035217,7661843.452903941,263.85367,CP__pa_sepg
406763.96369220206,7662629.246895611,282.38626,CP__pa_sepg
405824.5617566356,7663524.903353717,272.63507,CP__pa_sepg
405029.7323121252,7664231.476022922,306.0127,CP__pa_sepg
403837.6648019403,7665183.491390905,306.0127,CP__pa_sepg
402745.347767862,7666019.933171133,308.1719,CP__pa_sepg
401980.2041575094,7666789.14313171,305.02664,CP__pa_sepg
401243.0932828828,7667496.904674926,313.09647,CP__pa_sepg
400300.6532653144,7668017.9968006015,297.81143,CP__pa_sepg
399127.8600587977,7668617.767554848,297.81143,CP__pa_sepg
398081.80380907626,7669074.493704049,293.74197,CP__pa_sepg
397367.9451759658,7669386.168026058,293.74197,K__ca_sp
397224.2376795318,7669448.898799771,294.12424,K__ca_sp
396472.08128245675,7670058.855291214,294.12424,K__ca_sp
395602.2156602702,7670790.881539756,272.0919,K__ca_sp
394583.00114151207,7671669.339510607,272.0919,K__ca_sp
393628.74015197885,7672578.675914508,268.85056,K__ca_sp
393078.9966062678,7673470.644558074,265.06454,K__ca_sp
392378.8093195135,7674708.894301126,260.8776,K__ca_sp
391727.27275446395,7676021.582513743,261.7423,K__ca_sp
390841.17552261107,7677596.532038428,263.9079,K__ca_sp
390016.29376955895,7678908.02785381,281.8173,K__ca_sp
389047.1866393358,7680271.564992581,290.09174,K__ca_sp
388248.5626669832,7681319.77833782,284.8496,K__ca_sp
387138.2701384078,7683102.858669892,296.11023,K__ca_sp
385977.35315594694,7684933.9952909015,292.19403,K__an_st
384929.1544117421,7686217.380341591,294.93185,K__an_st
383571.57680144964,7687820.088610018,291.8537,K__an_st
382274.42538842803,7689259.628682194,293.66522,K__an_st
380598.97363821615,7690891.739670194,294.0421,K__an_st
379104.4756723299,7692171.633553471,287.97125,K__an_st
377271.14896220714,7693686.02851706,284.2249,K__an_st
375726.86716403114,7694938.968904139,283.02704,K__an_st
374743.2831915658,7696131.757936881,277.98886,K__an_st
373912.36358090094,7697331.560107762,276.0603,K__an_st
373134.9105100606,7698616.326792012,273.41165,K__an_st
372112.51298497524,7700126.336254597,270.4496,K__ca_sp
371112.50395838125,7701330.311323741,270.4496,K__ca_sp
369791.293575026,7703074.032238434,264.32007,K__ca_sp
368588.8885982771,7704776.77623403,264.75546,K__ca_sp
367223.0589445927,7707093.99179915,266.84766,K__ca_sp
366116.5823188424,7709139.77113129,249.66397,K__pr_sf
365220.3700268369,7710124.452328146,264.89465,K__pr_sf
364422.0834364419,7710860.098546836,263.01205,K__pr_sf
363795.8815997092,7711671.59455205,276.2778,K__pr_sf
362832.41848342714,7713148.750854028,282.2575,K__pr_sf
361675.1480574369,7715220.189529423,284.20132,K__pr_sf
360815.38814938907,7716764.515711101,267.50592,K__pr_sf
360539.6944118091,7717267.009966962,267.1177,K__pr_sf
359844.3350584696,7718534.4093786385,267.1177,K__pr_sf
359112.98273558525,7719867.411515303,268.53854,K__pr_sf
358352.9686271047,7721668.660200945,265.78857,K__pr_sf
357751.2461461454,7723173.152823939,257.88306,K__pr_sf
437932.10489947814,7536588.16783285,305.125,P__THb_shh
443881.31488178624,7534064.142810593,303.06,P__THb_shh
450639.56906022737,7531304.388519763,302.08206,P__THc_stq
455637.3240862028,7529452.83857264,293.0766,P__THc_stq
462991.9260781536,7526728.133569763,290.99908,P__THc_stq
470251.84104028,7524038.508511529,288.02716,P__THc_stq
477757.11736923625,7521335.071722716,280.0421,P__THb_shh
483508.842339617,7519300.5567505555,275.99088,P__THb_shh
487846.8897509601,7517756.61931123,275.03845,P__THb_shh
491064.3156836292,7516610.967719962,268.05566,P__THb_shh
491214.4257233481,7516567.397704571,268.95813,P__THb_shh
491679.2450300955,7516444.520467769,268.95813,P__THb_shh
492541.46504752355,7516224.360546695,268.95813,P__THb_shh
493124.2884906045,7516081.9913436435,268.98538,P__THb_shh
493234.20841553516,7516064.711302052,268.98538,P__THb_shh
493554.59522939654,7516003.297499622,268.98538,P__THb_shh
493899.88027643453,7515935.2125134785,268.98538,P__THb_shh
493657.9457905412,7516321.4989151135,268.98538,P__THb_shh
493462.8595991832,7516699.756320064,268.98538,P__THb_shh
493989.2146105984,7516513.421292781,268.98538,P__THb_shh
494461.24168638367,7516349.622946033,280.9608,P__THb_shh
494589.29669067584,7516312.573034162,280.9608,P__THb_shh
495857.3674644055,7516074.279762708,265.98315,P__THb_shh
497843.59243697766,7515713.979715972,267.06644,P__THb_shh
498751.7010721624,7515558.756239819,267.06644,P__THb_shh
498894.2311185081,7515544.806279575,260.99612,P__THb_shh
499622.6794880573,7515504.242805635,258.98804,P__THb_shh
500486.3004743895,7515465.919041813,260.9975,P__THb_shh
501304.8705267101,7515463.213986882,260.9975,P__THb_shh
502003.736695037,7515459.338182005,260.9975,P__THb_shh
502113.3166015183,7515455.068190758,260.,P__THb_shh
502254.5079866604,7515442.218954116,260.,P__THb_shh
502379.4431012695,7515425.143986437,260.,P__THb_shh
503201.97862938466,7515287.5299204625,260.,P__THb_shh
504167.4835893139,7515124.079934716,260.,P__THb_shh
504524.81203982525,7515060.750215065,260.,P__THb_shh
504702.55365900835,7515026.428231116,260.,P__THb_shh
504768.5337124169,7515008.4032143345,260.,P__THb_shh
504892.11702012323,7514968.320305328,260.,P__THb_shh
505068.14703274664,7514904.470335567,260.,P__THb_shh
505482.4932684428,7514748.993526479,274.,P__THb_shh
505996.9249921874,7514553.758277067,274.,P__THb_shh
506808.4566678487,7514245.704215692,261.,P__THb_shh
507565.65485653357,7513958.254470173,261.,P__THb_shh
510790.1736803394,7512662.487606127,258.,P__THb_shh
514232.5924599907,7511256.4540375965,261.0036,P__THb_shh
516078.76620130526,7510417.912783035,269.9606,P__THb_shh
517605.072381966,7509724.647993579,269.9606,P__THb_shh
517728.488637882,7509668.569307315,266.9972,P__THb_shh
518274.6131442417,7509417.311802836,266.9972,P__THb_shh
519061.3631785502,7509054.646847052,275.07547,P__THb_shh
519483.15274086385,7508863.878737655,264.9705,P__THb_shh
519617.17778774747,7508806.678695329,264.9705,P__THb_shh
521249.6359046284,7508221.08053029,261.98233,P__THb_shh
522823.4494718022,7507658.29837584,261.98944,P__THb_shh
437928.19924658723,7536578.962080546,305.125,P__THb_shh
443877.4092288953,7534054.93705829,303.06,P__THb_shh
450636.0950429274,7531295.011355811,302.08206,P__THb_shh
455633.85006890283,7529443.461408688,293.0766,P__THc_stq
462988.4520626743,7526718.756405137,290.99908,P__xg_mn_PTRT
470248.3670248007,7524029.131346903,288.02716,P__xg_mn_PTRT
477753.7826181547,7521325.64413367,280.0421,P__xg_mn_PTRT
483505.5075885355,7519291.12916151,275.99088,P__xg_mn_PTRT
487843.5301363293,7517747.200553905,275.03845,P__xg_mn_PTRT
491061.5281905323,7516601.364080952,268.05566,P__xg_mn_PTRT
491211.6382302512,7516557.79406556,268.95813,P__xg_mn_PTRT
491676.7710009965,7516434.831340874,268.95813,P__xg_mn_PTRT
492538.99101842457,7516214.671419799,268.95813,P__xg_mn_PTRT
493122.73550617404,7516072.112667652,268.98538,P__xg_mn_PTRT
493232.6554311047,7516054.832626061,268.98538,P__xg_mn_PTRT
493552.6606324487,7515993.486417386,268.98538,P__xg_mn_PTRT
493897.9456794867,7515925.401431242,268.98538,P__xg_mn_PTRT
493665.9442134455,7516327.501017332,268.98538,P__xg_mn_PTRT
493459.52243861975,7516690.329583653,268.98538,P__xg_mn_PTRT
493985.87745003495,7516503.99455637,268.98538,P__xg_mn_PTRT
494458.4623959477,7516340.016929967,280.9608,P__xg_mn_PTRT
494586.5174002399,7516302.967018096,280.9608,P__xg_mn_PTRT
495855.58259874745,7516064.440339219,265.98315,P__xg_mn_PTRT
497841.80757131963,7515704.140292483,267.06644,P__xg_mn_PTRT
498750.7269883457,7515548.803794858,267.06644,P__xg_mn_PTRT
498893.25703469134,7515534.853834614,260.99612,P__xg_mn_PTRT
499622.14053877624,7515494.257339512,258.98804,P__xg_mn_PTRT
500486.26742846816,7515455.919096415,260.9975,P__xg_mn_PTRT
501304.83748078876,7515453.214041484,260.9975,P__xg_mn_PTRT
502003.3473213599,7515449.345765474,260.9975,P__xg_mn_PTRT
502112.9272278412,7515445.075774227,260.,P__xg_mn_PTRT
502253.15386800753,7515432.311060159,260.,P__xg_mn_PTRT
502378.0889826166,7515415.236092479,260.,P__xg_mn_PTRT
503200.3094820755,7515277.670207117,260.,P__xg_mn_PTRT
504165.8144420048,7515114.22022137,260.,P__xg_mn_PTRT
504522.9779569366,7515050.919846814,260.,P__xg_mn_PTRT
504699.9183405882,7515016.781724142,260.,P__xg_mn_PTRT
504765.89839399676,7514998.75670736,260.,P__xg_mn_PTRT
504888.7071818428,7514958.919613709,260.,P__xg_mn_PTRT
505064.73719446623,7514895.069643948,260.,P__xg_mn_PTRT
505478.9450424117,7514739.64419003,274.,P__xg_mn_PTRT
505993.3767661563,7514544.408940618,274.,P__xg_mn_PTRT
506804.9075713865,7514236.355209634,261.,P__xg_mn_PTRT
507562.10576007137,7513948.905464115,260.,P__xg_mn_PTRT
510786.4362474704,7512653.212284271,258.,P__xg_mn_PTRT
514228.4570000758,7511247.349205292,261.0036,P__xg_mn_PTRT
516074.63074139034,7510408.80795073,269.9606,P__xg_mn_PTRT
517600.93555156566,7509715.54378388,269.9606,P__xg_mn_PTRT
517724.35180748167,7509659.465097616,266.9972,P__xg_mn_PTRT
518270.4268493915,7509408.230231637,266.9972,P__xg_mn_PTRT
519057.1768837,7509045.565275853,275.07547,P__xg_mn_PTRT
519479.22742384695,7508854.6813529,264.9705,P__xg_mn_PTRT
519613.2524707306,7508797.481310575,264.9705,P__xg_mn_PTRT
521246.26879540685,7508211.664449604,261.98233,P__xg_mn_PTRT
522820.0823625807,7507648.882295155,261.98944,P__xg_mn_PTRT
325418.2793113847,7663274.012009101,255.31442,P__THb_shh
325395.5132221386,7662386.134010972,262.39172,P__THb_shh
325328.67725736427,7661356.481144453,262.39172,P__THb_shh
325207.25806208805,7660559.667592377,277.7892,P__THb_shh
325148.11218955327,7659877.77036852,277.7892,P__THb_shh
325170.87829077436,7659536.278872186,277.7892,P__THb_shh
325283.147424147,7658707.997621231,267.6251,P__THb_shh
325412.1553020426,7657842.885725485,275.5964,P__THb_shh
325529.009776382,7657115.96177176,270.2013,P__THb_shh
325657.9527926378,7656399.9149808,270.2013,P__THb_shh
325847.67028780776,7655587.924002831,273.13165,P__THb_shh
326093.35224523017,7654690.052366809,273.13165,P__THb_shh
326328.60197075916,7654067.778918576,274.14648,P__THb_shh
326570.9376618682,7653434.744116449,274.14648,P__THb_shh
326739.61099882115,7653001.880769514,279.82248,P__THb_shh
327522.9940806441,7650933.115198324,272.0321,P__THb_shh
328417.8628436611,7648563.650954135,277.8288,P__THb_shh
329287.6320619858,7646014.20469202,277.6784,P__THb_shh
330055.42327091005,7643701.230458453,282.22913,P__THb_shh
330440.67518652556,7642513.370572799,279.85468,P__THb_shh
330961.5337790804,7640817.452627059,285.83264,P__THb_shh
331493.0460334908,7638953.80554444,290.152,P__THb_shh
331879.13088025496,7637587.565265559,290.93997,P__THb_shh
331991.06357407355,7637174.252399528,297.34238,P__THb_shh
332078.3466264852,7636863.13559238,297.34238,P__THb_shh
332131.51663283067,7636680.780292951,297.34238,P__THb_shh
332340.84913768945,7636013.948255792,297.34238,P__THb_shh
332551.0251638742,7635354.4705609605,296.06378,P__THb_shh
332608.8399633641,7635207.755000331,296.06378,P__THb_shh
332679.425529166,7635021.372079431,296.06378,P__THb_shh
332740.10067410243,7634849.2724367855,296.06378,P__THb_shh
332835.4320914448,7634555.921410943,296.06378,P__THb_shh
332933.5421258151,7634239.406233827,293.65054,P__THb_shh
333017.5453582014,7633954.6253023865,293.65054,P__THb_shh
333073.45029040135,7633757.055473758,293.65054,P__THb_shh
333221.0306742806,7633190.417820012,307.32925,P__THb_shh
333376.0599137085,7632594.55221583,293.99466,P__THb_shh
333469.4297334008,7632250.021971386,293.99466,P__THb_shh
333575.38868203486,7631838.355513681,293.99466,P__THb_shh
333653.4286816507,7631498.720241242,293.99466,P__THb_shh
333725.8357967604,7631199.349200876,293.99466,P__THb_shh
333768.54592834786,7631039.744707049,299.66003,P__THb_shh
333822.2594183838,7630817.581276562,299.66003,P__THb_shh
333867.99459871894,7630619.886202922,299.66003,P__THb_shh
333901.87125829473,7630438.040936327,299.66003,P__THb_shh
333932.99792272435,7630265.771985013,299.66003,P__THb_shh
333965.4384763709,7630113.667066148,299.66003,P__THb_shh
334013.23157104733,7629875.209394498,299.66003,P__THb_shh
334067.7712810526,7629583.584471217,308.3055,P__THb_shh
334119.67506806,7629334.448342884,308.3055,P__THb_shh
334151.76478563907,7629210.292985194,308.3055,P__THb_shh
334192.1492806135,7629069.664722663,308.3055,P__THb_shh
334226.6543971922,7628955.709814729,308.3055,P__THb_shh
334334.91225689364,7628562.935889135,308.3055,P__THb_shh
334452.6179032053,7628140.582365403,308.3055,P__THb_shh
334534.79302666633,7627877.247715283,305.34277,P__THb_shh
334660.27440216485,7627518.233842876,305.34277,P__THb_shh
334809.9645615574,7627146.423725254,305.82034,P__THb_shh
334934.2946129352,7626844.595469754,305.82034,P__THb_shh
334991.91919171804,7626713.125383893,305.82034,P__THb_shh
335177.86549695773,7626326.889403715,307.791,P__THb_shh
335381.5939738267,7625909.596471473,307.791,P__THb_shh
335531.8059935428,7625611.892244023,307.791,P__THb_shh
335677.094923846,7625335.178597239,307.791,P__THb_shh
335856.58007199696,7625022.183439791,307.791,P__THb_shh
336047.1893225595,7624681.69725658,313.13647,P__THb_shh
336164.50412067666,7624456.906966552,313.13647,P__THb_shh
336304.9345190882,7624204.172866113,313.13647,P__THb_shh
336421.8941161719,7624007.338335342,315.79855,P__THb_shh
336512.4831393422,7623849.709082561,315.79855,P__THb_shh
336567.148335754,7623751.2486647265,315.79855,P__THb_shh
336625.3130436897,7623630.140437528,315.79855,P__THb_shh
336693.443950599,7623478.792941926,315.79855,P__THb_shh
336798.35349855566,7623228.442805822,311.85342,P__THb_shh
336899.3299189359,7622977.186987466,311.85342,P__THb_shh
336941.62496658694,7622850.6171157155,311.85342,P__THb_shh
336991.9176499598,7622715.512932475,311.85342,P__THb_shh
337033.66668787005,7622616.317638541,311.85342,P__THb_shh
337084.489863861,7622485.74907635,311.85342,P__THb_shh
337127.0535923081,7622372.363991773,311.85342,P__THb_shh
337193.0635985859,7622214.5221028635,311.85342,P__THb_shh
337273.61731665104,7622034.248534091,311.85342,P__THb_shh
337389.24611619336,7621808.1082072,311.85342,P__THb_shh
337493.06943914987,7621585.963412472,310.09076,P__THb_shh
337520.437462036,7621485.2935415795,310.09076,P__THb_shh
337576.9020470093,7621321.940934833,310.09076,P__THb_shh
337643.91586008586,7621149.523683318,310.09076,P__THb_shh
337744.7764602114,7620910.390244896,310.09076,P__THb_shh
337837.43987590645,7620697.452377742,310.09076,P__THb_shh
338023.42165465245,7620249.137569895,301.9208,P__THb_shh
338223.2058304942,7619770.616807521,299.99747,P__THb_shh
338385.32841977733,7619405.600619898,299.99747,P__THb_shh
338550.8144828561,7619047.036311163,299.99747,P__THb_shh
338640.6980821602,7618879.813739497,299.99747,P__THb_shh
338824.22046798706,7618520.868869088,303.,P__THb_shh
339040.0974068493,7618090.06206936,303.,P__THb_shh
339274.1104606927,7617664.710622496,303.,P__THb_shh
339458.8778699182,7617348.074714355,303.,P__THb_shh
339811.2832687695,7616770.696160451,305.,P__THb_shh
340163.803084533,7616193.126785747,305.,P__THb_shh
340348.5731858181,7615876.488147398,305.,P__THb_shh
340562.1436901423,7615506.580088235,312.,P__THb_shh
340726.4380433094,7615215.247066433,312.,P__THb_shh
340866.64084432955,7614964.385601396,312.,P__THb_shh
340935.9662530397,7614837.709010407,312.,P__THb_shh
341060.5788297722,7614575.840385492,313.,P__THb_shh
341181.48357431113,7614312.237725512,313.,P__THb_shh
341262.47362719785,7614114.732230265,313.,P__THb_shh
341329.40502648416,7613946.534864779,312.,P__THb_shh
341380.8900399696,7613827.393835756,312.,P__THb_shh
341451.091739838,7613651.658854101,312.,P__THb_shh
341523.3417307162,7613451.321304249,312.,P__THb_shh
341590.27308488113,7613228.531262793,312.,P__THb_shh
341629.29230191594,7613058.515125512,312.,P__THb_shh
341758.7410081194,7612601.153390174,312.,P__THb_shh
341901.13503253576,7612114.1035031155,309.,P__THb_shh
341966.0811058154,7611861.649075073,309.,P__THb_shh
342014.05284816294,7611642.643150978,309.,P__THb_shh
342071.6478459629,7611322.835104426,309.,P__THb_shh
342156.91710974625,7610770.230154054,308.,P__THb_shh
342254.8099486984,7610028.912934117,308.,P__THb_shh
342329.2223792558,7609496.013770004,308.,P__THb_shh
342355.40730855823,7609348.797363368,308.,P__THb_shh
342417.7798781248,7609077.084889857,313.,P__THb_shh
342482.73441041703,7608810.666564816,313.,P__THb_shh
342588.62479883427,7608476.238827663,313.,P__THb_shh
342689.3260706423,7608173.548422938,307.,P__THb_shh
342728.0256659451,7608067.042191919,307.,P__THb_shh
342785.44758984,7607930.732787706,307.,P__THb_shh
342852.2474139977,7607801.500826491,307.,P__THb_shh
342979.06270815054,7607512.117025568,312.,P__THb_shh
343123.31230979686,7607159.712325139,312.,P__THb_shh
343508.22790982435,7606290.920629499,312.,P__THb_shh
343917.33137393976,7605380.938242426,315.,P__THb_shh
344089.13680625265,7605006.3815740775,315.,P__THb_shh
344194.4823643768,7604784.027780559,311.924,P__THb_shh
344271.56219325564,7604634.5206472315,311.924,P__THb_shh
344370.10810748104,7604449.203996324,313.9368,P__THb_shh
344462.5229315226,7604284.536991408,313.9368,P__THb_shh
344602.57213352073,7603980.791205088,313.9368,P__THb_shh
344743.13636640005,7603640.115247004,313.9368,P__THb_shh
344912.9649548705,7603266.9979313435,313.9368,P__THb_shh
345055.11072816304,7602970.62031273,321.08154,P__THb_shh
345239.0026945481,7602288.074457633,321.08154,P__THc_stq
345439.23567307723,7601480.452676639,321.08154,P__THc_stq
345664.770046471,7600554.063678363,324.08615,P__THc_stq
345901.01818454295,7599184.523764571,317.8907,P__THc_stq
346040.26395996223,7597615.303949086,323.1986,P__THc_stq
346124.5415676583,7595665.884557656,325.15228,P__THc_stq
346125.72585787834,7593986.802746165,320.81616,P__THc_stq
346133.33763158956,7593254.699283151,327.81992,P__THc_stq
346142.30289033457,7593178.386035156,327.81992,P__THc_stq
346242.9263562131,7592025.367673177,332.1325,P__THc_stq
