X,Y,Z,azimuth,dip,polarity,formation,group
334666.0854638085,7546699.778367231,409.,439.4881310061835,36,1,P__TAc_sg,Officer Basin
336140.91116755,7546973.437175939,463.,619.4881310061835,36,1,P__TAc_sg,Officer Basin
405013.30875984335,7500149.042054325,433.36115,41.03016704215872,20,1,P__mgnu_PTRO,Talbot and Connaughton Domains Rudall Complex
404028.62430480926,7499017.495977484,423.92596,221.03016704215872,20,1,P__THb_shh,Throssell Range Group of Yeneena Basin
404054.39059813553,7500860.205478273,433.36115,34.42029177964662,20,1,P__mgnu_PTRO,Talbot and Connaughton Domains Rudall Complex
403206.50181488204,7499622.835440155,422.83054,214.42029177964662,20,1,P__THc_stq,Throssell Range Group of Yeneena Basin
402039.38373955863,7502711.04125232,415.91257,37.065869961545786,6,1,P__mgnu_PTRO,Talbot and Connaughton Domains Rudall Complex
401135.284577469,7501514.1265915735,426.82016,217.0658699615458,6,1,P__THb_shh,Throssell Range Group of Yeneena Basin
400330.1202078666,7503559.905156282,436.7911,19.997547414350095,35,1,P__mgnu_PTRO,Talbot and Connaughton Domains Rudall Complex
399817.15032964136,7502150.34426578,429.7369,199.9975474143501,35,1,P__THb_shh,Throssell Range Group of Yeneena Basin
398130.8103852293,7504589.367495578,433.68607,40.77308513016584,12,1,P__mgnu_PTRO,Talbot and Connaughton Domains Rudall Complex
397151.2129885233,7503453.414617872,436.0413,220.77308513016584,12,1,P__THc_stq,Throssell Range Group of Yeneena Basin
397237.1789288641,7505274.455325919,448.3273,31.598932941714907,11,1,P__md_PTRB,Talbot and Connaughton Domains Rudall Complex
396451.2238634805,7503996.850287107,436.0413,211.5989329417149,11,1,P__THc_stq,Throssell Range Group of Yeneena Basin
429191.8115400771,7531179.321539933,336.02887,220.96229194746826,27,1,P__THb_shh,Throssell Range Group of Yeneena Basin
428208.4682548108,7530046.609756945,344.35617,400.96229194746826,27,1,P__THc_stq,Throssell Range Group of Yeneena Basin
427721.25474209676,7532313.076983142,349.32446,213.69006231496866,29,1,P__THb_shh,Throssell Range Group of Yeneena Basin
426889.20456127054,7531065.00146596,396.73636,393.69006231496866,29,1,P__THc_stq,Throssell Range Group of Yeneena Basin
426444.80726006586,7533197.964980745,352.0969,215.81116820086908,18,1,P__THb_shh,Throssell Range Group of Yeneena Basin
425567.1336231329,7531981.5403069435,366.0809,395.8111682008691,18,1,P__THb_shh,Throssell Range Group of Yeneena Basin
424383.0773982443,7534562.208039276,358.12012,212.38637351989985,7,1,P__THb_shh,Throssell Range Group of Yeneena Basin
423579.63843439776,7533295.525035769,364.7002,392.38637351989985,7,1,P__THb_shh,Throssell Range Group of Yeneena Basin
422443.05644781917,7535892.003356959,367.039,218.8408350198725,19,1,P__THb_shh,Throssell Range Group of Yeneena Basin
421502.31781181943,7534723.666582421,375.7072,398.8408350198725,19,1,P__THb_shh,Throssell Range Group of Yeneena Basin
420675.0279807103,7537466.251281717,375.97183,223.0250646508053,24,1,P__THb_shh,Throssell Range Group of Yeneena Basin
419651.5506307843,7536369.668355445,386.26706,403.0250646508053,24,1,P__THb_shh,Throssell Range Group of Yeneena Basin
418488.2171419897,7539512.999509931,375.039,223.20127050903523,7,1,P__THb_shh,Throssell Range Group of Yeneena Basin
417461.37223650486,7538419.56933837,385.88736,403.2012705090352,7,1,P__THb_shh,Throssell Range Group of Yeneena Basin
417024.6042413853,7540826.776255748,363.,218.80367224996832,21,1,P__THb_shh,Throssell Range Group of Yeneena Basin
416084.6236012788,7539657.82955199,374.97128,398.8036722499683,21,1,P__THb_shh,Throssell Range Group of Yeneena Basin
423770.0651170319,7621447.602680711,248.81175,410.7161142481616,-999,1,P__LAw_stq,Lamil Group of Yeneena Basin
424931.0925901182,7622397.3474920895,256.85397,590.7161142481616,-999,1,P__LAw_stq,Lamil Group of Yeneena Basin
