X,Y,Z,code,type
335419.0911447778,7559330.976041619,416.,FA_4,syncline exposed
335296.35810541385,7557917.44994748,423.,FA_4,syncline exposed
335173.8071318609,7554510.593514208,415.,FA_4,syncline exposed
335004.00149068853,7553580.679129155,415.,FA_4,syncline exposed
334837.92702906026,7552938.148533622,410.,FA_4,syncline exposed
334822.0620226676,7549970.134494409,416.,FA_4,syncline exposed
335984.9346086909,7543703.081048761,458.,FA_4,syncline exposed
404780.6534618456,7499357.286452837,423.92596,FA_5,anticline exposed
404261.279602807,7499809.251578972,423.92596,FA_5,anticline exposed
402999.6128102106,7500673.789339457,425.9117,FA_5,anticline exposed
402531.59097411856,7501025.044919157,425.9117,FA_5,anticline exposed
402443.83594913647,7501438.596284062,425.9117,FA_5,anticline exposed
402324.45057898376,7501605.199344779,415.91257,FA_5,anticline exposed
402076.9995670428,7501742.711198289,415.91257,FA_5,anticline exposed
401097.66874998476,7502482.456645603,426.82016,FA_5,anticline exposed
399049.6017875232,7503227.792776458,436.7911,FA_5,anticline exposed
398143.00113043597,7503588.49673361,433.87695,FA_5,anticline exposed
397139.0222433166,7504454.28537984,436.0413,FA_5,anticline exposed
396549.38054902793,7504817.020233186,448.3273,FA_5,anticline exposed
430249.0579411515,7529058.393316345,368.38956,FA_7,syncline exposed
429425.4931701084,7529983.263299763,341.5968,FA_7,syncline exposed
427974.78662477946,7531242.667997114,349.32446,FA_7,syncline exposed
426635.67267858784,7532135.410451988,366.0809,FA_7,syncline exposed
425376.2682046109,7533044.0948357,361.20096,FA_7,syncline exposed
422586.4476280312,7534813.638239345,373.90353,FA_7,syncline exposed
421358.92663160735,7535802.031700035,375.7072,FA_7,syncline exposed
418967.6519798873,7538033.887937129,374.97675,FA_7,syncline exposed
416981.9373986073,7539898.680911172,374.97128,FA_7,syncline exposed
416127.29044405685,7540585.924896566,363.,FA_7,syncline exposed
414538.27317830874,7541522.840947046,361.,FA_7,syncline exposed
412152.31936536724,7542151.750196623,355.,FA_7,syncline exposed
409885.1383469961,7542971.93259658,355.,FA_7,syncline exposed
417754.8120540576,7628870.254621743,248.20972,FA_9,syncline exposed
423551.2856628755,7622899.5810861755,252.2571,FA_9,syncline exposed
425149.8720442746,7620945.369086624,252.10022,FA_9,syncline exposed
427298.25246867817,7617984.447396267,245.00464,FA_9,syncline exposed
424807.8850986191,7633809.687703991,282.18365,FA_10,anticline exposed
421340.4840087254,7636093.348525438,268.74847,FA_10,anticline exposed
