X,Y,Z,formation
451273.6200000001,7458389.8801,481.,P__mgnu_PTRO
451520.8903000001,7459088.19,481.,P__mgnu_PTRO
451627.47979999986,7459997.9001,445.,P__mgnu_PTRO
451918.53000000026,7460160.4701,445.,P__mgnu_PTRO
453024.13999999966,7459623.8601,425.,P__mgnu_PTRO
454671.86000000034,7458800.3198,441.,P__mgnu_PTRO
455200.66000000015,7458544.2599,443.,P__mgnu_PTRO
454304.4298999999,7459728.1301,431.,P__mgnu_PTRO
453283.2399000004,7461098.8399,423.,P__mgnu_PTRO
453362.67980000004,7461486.9301,423.,P__mgnu_PTRO
454048.1199000003,7461262.8101,426.,P__mgnu_PTRO
455330.4299999997,7460520.48,436.,P__mgnu_PTRO
456369.8901000004,7459869.02,436.,P__mgnu_PTRO
432899.82990000024,7501802.6801,362.,P__mgnu_PTRO
431844.86010000017,7503028.1701,363.,P__mgnu_PTRO
430622.04009999987,7503951.4699,376.,P__mgnu_PTRO
430271.3300999999,7504017.8501,376.,P__mgnu_PTRO
429921.9802000001,7503792.2,376.,P__mgnu_PTRO
429570.01999999955,7503806.18,376.,P__mgnu_PTRO
428790.79000000004,7504483.8,376.,P__mgnu_PTRO
428560.6199000003,7504343.6301,376.,P__mgnu_PTRO
428386.4500000002,7504588.13,376.,P__mgnu_PTRO
428173.5599999996,7504614.04,376.,P__mgnu_PTRO
427638.8201000001,7504649.79,376.,P__mgnu_PTRO
426591.41000000015,7504958.56,380.,P__mgnu_PTRO
426358.1102999998,7505003.8499,380.,P__mgnu_PTRO
426421.4698999999,7504777.81,380.,P__mgnu_PTRO
426529.6200000001,7504434.3,367.,P__mgnu_PTRO
426243.9099000003,7504421.79,367.,P__mgnu_PTRO
425597.79000000004,7504523.4699,367.,P__mgnu_PTRO
425412.7899000002,7504709.47,386.98917,P__mgnu_PTRO
430627.11994000024,7509153.8,355.,P__mgnu_PTRO
431769.75,7507621.0297,357.,P__mgnu_PTRO
431351.3200000003,7507701.2597,355.,P__mgnu_PTRO
431029.25004000025,7507701.9799999995,355.,P__mgnu_PTRO
430817.0399000002,7507741.28,355.,P__mgnu_PTRO
434740.2900400003,7504021.13,358.,P__mgnu_PTRO
434902.48000000045,7503516.8502,347.,P__mgnu_PTRO
434497.28000000026,7503404.2599,358.,P__mgnu_PTRO
434128.4500000002,7503509.96,358.,P__mgnu_PTRO
432667.7899000002,7504257.4701,363.,P__mgnu_PTRO
425551.66000000015,7505140.0401,380.,P__mgnu_PTRO
425684.1700400003,7505668.4601,380.,P__mgnu_PTRO
425297.44990000036,7505661.3998,386.98917,P__mgnu_PTRO
424977.9199000001,7505632.0002,386.98917,P__mgnu_PTRO
424410.8998999996,7505437.9699,386.98917,P__mgnu_PTRO
421633.5999999996,7506696.7299,384.0433,P__mgnu_PTRO
421153.6500000004,7506698.2901,384.0433,P__mgnu_PTRO
420524.26014000026,7506811.79,393.21848,P__mgnu_PTRO
420214.68989999965,7506821.84,393.21848,P__mgnu_PTRO
419479.9497999996,7507258.91,393.21848,P__mgnu_PTRO
419805.5301400003,7503796.5801,366.72894,P__mgnu_PTRO
