X,Y,Z,azimuth,dip,polarity,formation
317584.33920000034,7613384.5147,305.0,324.0,90.0,1,A_FOj_xs_b
319007.70249999966,7584787.4148,340.0,279.0,10.0,1,AP___pj_ccx
319225.1523000002,7566717.2475,356.0,327.0,35.0,1,P__MNw_sf
323582.4463999998,7588722.4686,345.0,327.0,8.0,1,A_FOh_xs_f
329680.30289999954,7589288.3303,347.0,289.0,45.0,1,A_FOh_xs_f
319938.71719999984,7567677.755,336.0,289.0,35.0,1,P__MNw_sf
327921.9199000001,7569663.2149,362.0,234.0,20.0,1,P__MNw_sf
327074.35969999986,7592175.9757,367.0,331.0,27.0,1,A_FOh_xs_f
316160.3006999996,7612376.5101,324.0,286.0,40.0,1,P__TAa_kt
296439.85529999994,7596564.0087,315.0,215.0,10.0,1,A_FOj_xs_b
315249.66330000013,7607122.5337,265.0,324.0,35.0,1,P__TAa_kt
317955.1941,7574524.8356,370.0,505.0,10.0,1,A_HAc_kds
326162.43900000025,7590319.949,337.0,419.0,5.0,1,A_FOh_xs_f
329315.32660000026,7592512.4504,373.0,489.0,30.0,1,A_FOh_xs_f
341721.0318,7590917.2316,336.0,534.0,18.0,1,P__TAg_sg
344208.5614,7568549.0988,383.07867000000005,512.0,20.0,1,P__TAg_sg
342400.25079999963,7578262.1448,378.0,499.0,38.0,1,P__TAg_sg
336405.91500000004,7614279.821,317.0,512.0,45.0,1,P__TAg_sg
322488.6681000004,7608474.011,335.0,498.0,30.0,1,A_FOm_b
327524.4134999998,7595943.0175,378.0,515.0,10.0,1,A_FOh_xs_f
338683.79260000034,7606274.7346,341.0,517.0,20.0,1,P__TAg_sg
303022.04499999987,7615735.9438,268.0,519.0,10.0,1,A_HAc_kds
314591.9234999996,7607958.025,267.0,469.0,50.0,1,P__TAa_kt
319491.89570000017,7612884.0167,324.0,479.0,35.0,1,A_FOm_b
319557.2103000004,7626672.9427,320.0287,520.0,5.0,1,A_FOk_b
330537.69460000005,7629628.8916,312.6636,180.0,55.0,1,P__TAg_sg
339140.0368999997,7634392.2969,291.31683,500.0,70.0,1,P__THb_shh
318354.65600000037,7675178.7211,237.9733,505.0,70.0,1,P__TAg_sg
343369.9742999999,7657230.6956,267.95772999999997,522.0,70.0,1,P__LAm_stq
