GROUP_,id,x,y,z,code
Canning Basin,312,376366.6782999998,7717239.997,252.94406,K__fz_st
Canning Basin,312,378025.4480999997,7718710.3267,237.96523,K__fz_st
Canning Basin,312,379360.98000000045,7719875.8066,227.36006,K__fz_st
Canning Basin,312,380704.01570000034,7721031.6426,229.74617,K__fz_st
Canning Basin,312,382393.26910000015,7722462.7946,226.56458,K__fz_st
Canning Basin,312,576400.0,7675159.46155932,250.88524,K__fz_st
Canning Basin,312,576101.7122999998,7675114.3642,250.88524,K__fz_st
Canning Basin,312,575390.4806000004,7675015.1592,256.1382,K__fz_st
Canning Basin,312,574440.9061000003,7674893.7741,257.9694,K__fz_st
Canning Basin,312,573014.1228,7674735.0642,262.9188,K__fz_st
Canning Basin,312,572061.5286999997,7674644.8593,265.08975,K__fz_st
Canning Basin,312,571107.9779000003,7674567.1517,265.08975,K__fz_st
Canning Basin,312,570153.6138000004,7674501.9532,270.05078,K__fz_st
Canning Basin,312,569198.5806,7674449.2738,262.99454,K__fz_st
Canning Basin,312,568243.0215999996,7674409.1211,262.99454,K__fz_st
Canning Basin,312,567287.0810000002,7674381.5012,280.99475,K__fz_st
Canning Basin,312,566330.9029000001,7674366.418,280.99475,K__fz_st
Canning Basin,312,565374.6310999999,7674363.874,272.005,K__fz_st
Canning Basin,312,564418.4097999996,7674373.8695,264.153,K__fz_st
Canning Basin,312,563701.3635,7674389.5942,264.153,K__fz_st
Canning Basin,312,562267.8417999996,7674442.1954,264.04605,K__fz_st
Canning Basin,312,560887.6370000001,7674430.4517,265.1505,K__fz_st
Canning Basin,312,559507.3973000003,7674431.0133,267.0202,K__fz_st
Canning Basin,312,557782.1944000004,7674449.0197,271.2737,K__fz_st
Canning Basin,312,556402.2253999999,7674477.267,278.16498,K__fz_st
Canning Basin,312,555022.5314999996,7674517.816,288.3575,K__fz_st
Canning Basin,312,553643.2081000004,7674570.6642,288.3575,K__fz_st
Canning Basin,312,551919.7202000003,7674654.0142,273.49304,K__fz_st
Canning Basin,312,550541.5788000003,7674734.5204,273.49304,K__fz_st
Canning Basin,312,548819.8696999997,7674852.4265,288.16678,K__fz_st
Canning Basin,312,547443.3925999999,7674960.562,275.94733,K__fz_st
Canning Basin,312,545724.0647999998,7675112.9824,269.4162,K__fz_st
Canning Basin,312,544006.3197999997,7675284.5549,262.5281,K__fz_st
Canning Basin,312,542290.3431000002,7675475.2608,260.0875,K__fz_st
Canning Basin,312,540576.3202,7675685.0794,260.06403,K__fz_st
Canning Basin,312,538864.4360999996,7675913.9878,256.84225,K__fz_st
Canning Basin,312,537496.5931000002,7676110.8424,254.91582,K__fz_st
Canning Basin,312,536447.9529999997,7676136.6028,254.91582,K__fz_st
Canning Basin,312,535574.7866000002,7676179.6594,256.96478,K__fz_st
Canning Basin,312,534702.6699000001,7676242.3228,252.87238,K__fz_st
Canning Basin,312,533831.9897999996,7676324.5654,252.87238,K__fz_st
Canning Basin,312,533136.7396999998,7676404.4321,249.13063,K__fz_st
Canning Basin,312,532442.8535000002,7676496.7835,247.09312,K__fz_st
Canning Basin,312,531750.5285,7676601.5932,247.09312,K__fz_st
Canning Basin,312,531059.9609000003,7676718.8315,247.70644,K__fz_st
Canning Basin,312,530371.3470000001,7676848.4651,247.70644,K__fz_st
Canning Basin,312,529513.625,7677027.8812,247.97278,K__fz_st
Canning Basin,312,528830.1209000004,7677185.264,247.97278,K__fz_st
Canning Basin,312,528149.2038000003,7677354.9093,246.85722,K__fz_st
Canning Basin,312,527471.0670999996,7677536.7691,246.85722,K__fz_st
Canning Basin,312,526627.5993999997,7677781.1911,256.14252,K__fz_st
Canning Basin,312,525956.4215000002,7677990.3389,256.14252,K__fz_st
Canning Basin,312,525288.6469,7678211.5205,245.11394,K__fz_st
Canning Basin,312,524459.0036000004,7678504.8237,245.11394,K__fz_st
Canning Basin,312,523799.5787000004,7678752.846,250.78401,K__fz_st
Canning Basin,312,523144.1704000002,7679012.6853,250.78401,K__fz_st
Canning Basin,312,522492.9645999996,7679284.2675,250.78401,K__fz_st
Canning Basin,312,519769.9129999997,7679866.1432,246.0055,K__fz_st
Canning Basin,312,517044.3923000004,7680435.3195,244.01253,K__fz_st
Canning Basin,312,514316.4565000003,7680991.7856,255.8055,K__fz_st
