index,group number,index in group,number in group,code,group
0,1,1,8,K__fz_st,Canning_Basin
1,1,2,8,K__ca_sp,Canning_Basin
2,1,3,8,K__pr_sf,Canning_Basin
3,1,4,8,K__an_st,Canning_Basin
4,1,5,8,P_LI_s,Canning_Basin
5,1,6,8,P__no_sf,Canning_Basin
6,1,7,8,P__po_st,Canning_Basin
7,1,8,8,CP__pa_sepg,Canning_Basin
8,2,1,1,E__dv_od,Kalkarindji_Suite
9,3,1,18,P__TAk_sp,Officer_Basin
10,3,2,18,P__TAa_kt,Officer_Basin
11,3,3,18,P__DIw_ss,Officer_Basin
12,3,4,18,P__DIm_st,Officer_Basin
13,3,5,18,P__DIt_ss,Officer_Basin
14,3,6,18,P___bo_sepg,Officer_Basin
15,3,7,18,P__SUm_ss,Officer_Basin
16,3,8,18,P__SUc_sg,Officer_Basin
17,3,9,18,P__SUw_ss,Officer_Basin
18,3,10,18,P__TAn_kt,Officer_Basin
19,3,11,18,P__TAo_ssqv,Officer_Basin
20,3,12,18,P__TAc_sg,Officer_Basin
21,3,13,18,P__TAy_sk,Officer_Basin
22,3,14,18,P__TA_sk,Officer_Basin
23,3,15,18,P__TAb_st,Officer_Basin
24,3,16,18,P__TAw_ktsv,Officer_Basin
25,3,17,18,P__TAg_sg,Officer_Basin
26,3,18,18,P__BU_xs_k,Officer_Basin
27,4,1,2,P__MNw_sf,Collier_Basin
28,4,2,2,P__MN_s,Collier_Basin
29,5,1,2,AP___pj_ccx,Hamersley_Group
30,5,2,2,A_HAc_kds,Hamersley_Group
31,6,1,8,A_FOt_xb_k,Fortescue_Group
32,6,2,8,A_FOj_xs_b,Fortescue_Group
33,6,3,8,A_FOj_s,Fortescue_Group
34,6,4,8,A_FOm_b,Fortescue_Group
35,6,5,8,A_FOk_b,Fortescue_Group
36,6,6,8,A_FO_xb_s,Fortescue_Group
37,6,7,8,A_FO_od,Fortescue_Group
38,6,8,8,A_FOh_xs_f,Fortescue_Group
39,7,1,1,A_g_PBK,Pilbara_Craton_Inlier
40,8,1,1,A_GCe_ca,Gorge_Creek_Group
41,9,1,2,A_GR_mg,Gregory_Range_Suite
42,9,2,2,A_GR_gv,Gregory_Range_Suite
43,10,1,1,A_moa_P,Pilbara_Craton_greenstones
44,11,1,1,P___cr_g,OCallaghans_Supersuite
45,12,1,4,P__LAw_stq,Lamil_Group_of_Yeneena_Basin
46,12,2,4,P__LAm_stq,Lamil_Group_of_Yeneena_Basin
47,12,3,4,P__LAp_kd,Lamil_Group_of_Yeneena_Basin
48,12,4,4,P__LA_xs_k,Lamil_Group_of_Yeneena_Basin
49,13,1,5,P__THt_sta,Throssell_Range_Group_of_Yeneena_Basin
50,13,2,5,P__THc_stq,Throssell_Range_Group_of_Yeneena_Basin
51,13,3,5,P__THb_shh,Throssell_Range_Group_of_Yeneena_Basin
52,13,4,5,P___is_kx,Throssell_Range_Group_of_Yeneena_Basin
53,13,5,5,P__TH_xs_kx,Throssell_Range_Group_of_Yeneena_Basin
54,14,1,1,P__xg_mn_PTRT,Tabletop_Domain_Rudall_Complex
55,15,1,4,P__mgnu_PTRO,Talbot_and_Connaughton_Domains_Rudall_Complex
56,15,2,4,P__xmb_md_PTRC,Talbot_and_Connaughton_Domains_Rudall_Complex
57,15,3,4,P__md_PTRB,Talbot_and_Connaughton_Domains_Rudall_Complex
58,15,4,4,P___ya_mls,Talbot_and_Connaughton_Domains_Rudall_Complex
