index,group number,index in group,number in group,code,group,uctype,colour
1,1,1,8,K__fz_st,Canning_Basin,erode,#7c8176
2,1,2,8,K__ca_sp,Canning_Basin,erode,#60b450
3,1,3,8,K__pr_sf,Canning_Basin,erode,#7ba714
4,1,4,8,K__an_st,Canning_Basin,erode,#15f422
5,1,5,8,P_LI_s,Canning_Basin,erode,#eb5e21
6,1,6,8,P__no_sf,Canning_Basin,erode,#5e618c
7,1,7,8,P__po_st,Canning_Basin,erode,#c138e9
8,1,8,8,CP__pa_sepg,Canning_Basin,erode,#37a4dd
9,2,1,1,P___cr_g,OCallaghans_Supersuite,erode,#f5b932
10,3,1,18,P__TAk_sp,Officer_Basin,erode,#9f89c9
11,3,2,18,P__TAa_kt,Officer_Basin,erode,#0cfe3d
12,3,3,18,P__DIw_ss,Officer_Basin,erode,#ec5a4e
13,3,4,18,P__DIm_st,Officer_Basin,erode,#3a7679
14,3,5,18,P__DIt_ss,Officer_Basin,erode,#20c55d
15,3,6,18,P___bo_sepg,Officer_Basin,erode,#e76f51
16,3,7,18,P__SUm_ss,Officer_Basin,erode,#47dfc5
17,3,8,18,P__SUc_sg,Officer_Basin,erode,#7a530f
18,3,9,18,P__SUw_ss,Officer_Basin,erode,#aac00e
19,3,10,18,P__TAn_kt,Officer_Basin,erode,#486afd
20,3,11,18,P__TAo_ssqv,Officer_Basin,erode,#4333a3
21,3,12,18,P__TAc_sg,Officer_Basin,erode,#e833fa
22,3,13,18,P__TAy_sk,Officer_Basin,erode,#83321d
23,3,14,18,P__TA_sk,Officer_Basin,erode,#a9a8fd
24,3,15,18,P__TAb_st,Officer_Basin,erode,#6d270c
25,3,16,18,P__TAw_ktsv,Officer_Basin,erode,#334441
26,3,17,18,P__TAg_sg,Officer_Basin,erode,#5d2ec5
27,3,18,18,P__BU_xs_k,Officer_Basin,erode,#78ae84
28,4,1,4,P__LAw_stq,Lamil_Group_of_Yeneena_Basin,erode,#e39a79
29,4,2,4,P__LAm_stq,Lamil_Group_of_Yeneena_Basin,erode,#f90eb4
30,4,3,4,P__LAp_kd,Lamil_Group_of_Yeneena_Basin,erode,#8159c6
31,4,4,4,P__LA_xs_k,Lamil_Group_of_Yeneena_Basin,erode,#8f4e22
32,5,1,5,P__THt_sta,Throssell_Range_Group_of_Yeneena_Basin,erode,#92b504
33,5,2,5,P__THc_stq,Throssell_Range_Group_of_Yeneena_Basin,erode,#154ff0
34,5,3,5,P__THb_shh,Throssell_Range_Group_of_Yeneena_Basin,erode,#0c0996
35,5,4,5,P___is_kx,Throssell_Range_Group_of_Yeneena_Basin,erode,#935b44
36,5,5,5,P__TH_xs_kx,Throssell_Range_Group_of_Yeneena_Basin,erode,#1805fa
37,6,1,2,P__MNw_sf,Collier_Basin,erode,#6852c6
38,6,2,2,P__MN_s,Collier_Basin,erode,#35baa7
39,7,1,2,AP___pj_ccx,Hamersley_Group,erode,#c932a4
40,7,2,2,A_HAc_kds,Hamersley_Group,erode,#6a6804
41,8,1,4,P__mgnu_PTRO,Talbot_and_Connaughton_Domains_Rudall_Complex,erode,#8043c0
42,8,2,4,P__xmb_md_PTRC,Talbot_and_Connaughton_Domains_Rudall_Complex,erode,#0b67e9
43,8,3,4,P__md_PTRB,Talbot_and_Connaughton_Domains_Rudall_Complex,erode,#a1de36
44,8,4,4,P___ya_mls,Talbot_and_Connaughton_Domains_Rudall_Complex,erode,#ca5383
45,9,1,8,A_FOt_xb_k,Fortescue_Group,erode,#533425
46,9,2,8,A_FOj_xs_b,Fortescue_Group,erode,#8bf080
47,9,3,8,A_FOj_s,Fortescue_Group,erode,#1855f1
48,9,4,8,A_FOm_b,Fortescue_Group,erode,#bf1348
49,9,5,8,A_FOk_b,Fortescue_Group,erode,#40be68
50,9,6,8,A_FO_xb_s,Fortescue_Group,erode,#676d40
51,9,7,8,A_FO_od,Fortescue_Group,erode,#fe5404
52,9,8,8,A_FOh_xs_f,Fortescue_Group,erode,#38f1f3
53,10,1,2,A_GR_mg,Gregory_Range_Suite,erode,#79d7fb
54,10,2,2,A_GR_gv,Gregory_Range_Suite,erode,#a60cbb
