X,Y,Z,formation
376366.6782999998,7717239.997,252.94406,K__fz_st
379360.98000000045,7719875.8066,227.36006,K__fz_st
382393.26910000015,7722462.7946,226.56458,K__fz_st
576400.0,7675159.46155932,250.88524,K__fz_st
572061.5286999997,7674644.8593,265.08975,K__fz_st
567287.0810000002,7674381.5012,280.99475,K__fz_st
562267.8417999996,7674442.1954,264.04605,K__fz_st
555022.5314999996,7674517.816,288.3575,K__fz_st
547443.3925999999,7674960.562,275.94733,K__fz_st
538864.4360999996,7675913.9878,256.84225,K__fz_st
533831.9897999996,7676324.5654,252.87238,K__fz_st
530371.3470000001,7676848.4651,247.70644,K__fz_st
526627.5993999997,7677781.1911,256.14252,K__fz_st
523144.1704000002,7679012.6853,250.78401,K__fz_st
511586.1599000003,7681535.531,256.23294,K__fz_st
499353.9112999998,7684031.1212,283.07275,K__fz_st
496508.5859000003,7685179.5077,256.16837,K__fz_st
493966.20720000006,7685723.5243,262.1728,K__fz_st
491601.50629999954,7685859.6695,279.77222,K__fz_st
488796.4530999996,7685569.527,260.94565,K__fz_st
486393.63320000004,7684913.545,259.98822,K__fz_st
483964.73900000006,7684033.9231,285.11816,K__fz_st
481262.1152999997,7682688.1296,247.20088,K__fz_st
478995.45720000006,7681006.2074,243.08252,K__fz_st
479013.93230000045,7676569.4031,245.90572,K__fz_st
477393.9000000004,7675577.9061,244.09427,K__fz_st
475988.8184000002,7675081.5888,255.91165,K__fz_st
474735.8404000001,7674778.7221,264.99457,K__fz_st
473798.03920000046,7674651.3146,275.1525,K__fz_st
472867.36000000034,7674992.2141,275.96902,K__fz_st
472193.80150000006,7675714.5102,285.0234,K__fz_st
471968.2960000001,7676616.6291,274.14304,K__fz_st
472197.6297000004,7677517.5527,274.14304,K__fz_st
476313.07239999995,7682028.584,236.83902,K__fz_st
471956.37679999974,7686450.7627,248.95917,K__fz_st
469952.0822999999,7685893.7995,255.833,K__fz_st
467884.99450000003,7685749.6597,278.22192,K__fz_st
465917.53529999964,7686003.0089,254.90736,K__fz_st
465566.0307,7686089.7209,254.90736,K__fz_st
463660.9932000004,7686770.0151,261.8741,K__fz_st
461416.4857000001,7687788.2915,256.7374,K__fz_st
459139.8304000003,7689088.1007,275.8573,K__fz_st
456638.7576000001,7690878.1314,249.93718,K__fz_st
454392.6741000004,7693218.9183,265.0744,K__fz_st
452621.20139999967,7695307.2728,256.86758,K__fz_st
450768.8371000001,7696828.3771,270.3938,K__fz_st
448703.00600000005,7697997.9782,248.9896,K__fz_st
445618.9559000004,7699015.4753,248.05069,K__fz_st
439533.8219999997,7700448.3021,262.83032,K__fz_st
433679.6127000004,7701493.8618,249.04013,K__fz_st
426600.0878999997,7702333.9126,237.02824,K__fz_st
419188.84619999956,7702724.9328,255.85161,K__fz_st
413610.54530000035,7702589.0146,271.31503,K__fz_st
411687.32689999975,7702597.8638,268.77127,K__fz_st
409725.8284,7703048.911,263.79437,K__fz_st
408078.6606999999,7704017.7096,256.86984,K__fz_st
406502.07540000044,7705445.7702,256.3277,K__fz_st
404851.37320000026,7706200.6389,265.30847,K__fz_st
403346.63159999996,7706441.6317,261.07712,K__fz_st
398942.3136,7705941.3573,259.39532,K__fz_st
392907.8613,7704816.1984,264.67245,K__fz_st
386936.02410000004,7703166.4022,271.9295,K__fz_st
385754.28220000025,7702799.8607,266.719,K__fz_st
384777.99990000017,7702825.1064,275.24762,K__fz_st
383328.05590000004,7703433.7498,263.05185,K__fz_st
381904.6531999996,7704483.7075,269.0482,K__fz_st
380784.2215999998,7705782.3638,264.01233,K__fz_st
380015.6297000004,7707160.891,266.97775,K__fz_st
379534.53280000016,7708594.8511,266.07812,K__fz_st
379309.2440999998,7710178.9045,259.16803,K__fz_st
379177.9079,7711786.081,267.92767,K__fz_st
378587.9223999996,7713886.8449,264.60956,K__fz_st
377523.574,7715866.5655,256.09558,K__fz_st
376721.8202999998,7716871.6018,248.00554,K__fz_st
501306.9227999998,7710726.4402,261.99588,K__fz_st
502313.7243999997,7710746.0163,259.93015,K__fz_st
502913.4369999999,7710445.5606,259.93015,K__fz_st
503226.28089999966,7710011.024,259.93015,K__fz_st
503347.2340000002,7709479.1885,259.93015,K__fz_st
502864.5575000001,7708680.4037,253.89966,K__fz_st
501739.66060000006,7708050.1602,253.16232,K__fz_st
500942.6956000002,7707532.5041,242.0732,K__fz_st
500756.0697999997,7706739.2355,242.0732,K__fz_st
500834.9093000004,7705925.8448,253.62886,K__fz_st
501243.76460000034,7705086.5368,253.62886,K__fz_st
502351.7435999997,7704030.9118,270.98145,K__fz_st
503634.77770000044,7703307.1514,276.89514,K__fz_st
505253.2561999997,7702696.3407,262.03516,K__fz_st
507573.98319999967,7701311.2316,257.62598,K__fz_st
509139.39279999956,7699972.6675,271.17023,K__fz_st
509077.90469999984,7698672.623,266.0715,K__fz_st
508739.8192999996,7697704.8749,263.76727,K__fz_st
508517.3674999997,7696965.2856,263.76727,K__fz_st
508703.18769999966,7696481.438,252.70186,K__fz_st
509072.8836000003,7696179.5242,252.70186,K__fz_st
509560.32019999996,7696113.5487,252.70186,K__fz_st
510070.41810000036,7695475.6239,260.06955,K__fz_st
510328.0875000004,7694020.8808,250.92267,K__fz_st
511061.4327999996,7693290.4551,241.91125,K__fz_st
512140.89020000026,7692641.9511,247.98692,K__fz_st
513778.4528999999,7692017.9353,256.19415,K__fz_st
515556.1640999997,7691512.2317,271.74658,K__fz_st
517462.87849999964,7691581.832,269.84152,K__fz_st
518425.6599000003,7691235.9195,279.88794,K__fz_st
519538.5290000001,7690300.9771,268.0221,K__fz_st
520383.3074000003,7689488.3397,268.0221,K__fz_st
521624.8239000002,7688959.4001,260.73056,K__fz_st
523011.2496999996,7688724.3407,269.96704,K__fz_st
524533.4314000001,7688719.2786,275.85992,K__fz_st
525973.9978,7688468.1938,277.1823,K__fz_st
527494.1260000002,7688608.4481,274.8485,K__fz_st
529050.3733000001,7689216.4892,288.99353,K__fz_st
530528.9846000001,7689070.109,282.71613,K__fz_st
532367.7392999995,7689327.7544,272.9121,K__fz_st
533098.1623999998,7689710.8016,272.9121,K__fz_st
533226.0252,7690307.7544,272.9121,K__fz_st
532972.5037000002,7690754.9656,278.10175,K__fz_st
532474.9757000003,7691308.3675,278.10175,K__fz_st
532440.5305000003,7692075.923,278.10175,K__fz_st
532826.0442000004,7692626.2218,286.63544,K__fz_st
533472.8450999996,7692815.9851,289.75754,K__fz_st
534748.2550999997,7693206.0693,289.75754,K__fz_st
536363.9879999999,7693342.8001,279.7342,K__fz_st
537968.5824999996,7693100.0382,250.49475,K__fz_st
539281.5653999997,7693140.7686,250.49475,K__fz_st
540372.5943,7693504.3968,265.62912,K__fz_st
541557.8130999999,7694350.0294,267.96057,K__fz_st
542822.4260999998,7695605.3517,250.33873,K__fz_st
544139.7883000001,7696427.9247,250.33873,K__fz_st
545589.3372,7696940.539,241.91685,K__fz_st
548196.4342999998,7697932.4837,242.79591,K__fz_st
550690.3846000005,7699212.5089,263.87668,K__fz_st
553043.1508,7700766.2347,269.27695,K__fz_st
556049.7758,7703367.4705,268.8473,K__fz_st
557990.6266000001,7705736.9995,269.68954,K__fz_st
558476.8017999995,7707420.3501,280.31653,K__fz_st
558568.5447000004,7708448.0866,282.68042,K__fz_st
559084.9312000005,7708982.1481,282.68042,K__fz_st
559574.0806999998,7708995.8167,282.68042,K__fz_st
559952.6758000003,7708754.3158,301.8347,K__fz_st
560580.8503999999,7708369.2362,301.8347,K__fz_st
561621.5795,7708222.0616,297.082,K__fz_st
562790.5733000003,7708325.3497,297.082,K__fz_st
565253.8234000001,7709352.8831,296.9751,K__fz_st
568331.1846000003,7710854.9699,291.98422,K__fz_st
568852.3882999998,7710627.1714,291.98422,K__fz_st
569149.5448000003,7710329.3544,291.98422,K__fz_st
569324.8809000002,7710012.3424,301.0355,K__fz_st
570192.4323000005,7708780.0859,297.98538,K__fz_st
571182.2860000003,7707829.8306,299.00348,K__fz_st
571212.8964,7707016.1422,295.174,K__fz_st
570911.2385999998,7706226.0481,295.174,K__fz_st
570477.7501999997,7705752.094,278.97595,K__fz_st
569909.4537000004,7704987.208,278.97595,K__fz_st
569601.6547999997,7703721.3647,268.16074,K__fz_st
569829.3496000003,7702436.8017,267.96326,K__fz_st
569521.8480000002,7701853.6401,267.96326,K__fz_st
569003.6934000002,7701413.3913,273.2043,K__fz_st
568225.6359999999,7701214.1033,273.2043,K__fz_st
567227.0710000005,7701527.3079,264.68146,K__fz_st
565744.2208000002,7701945.4269,257.7486,K__fz_st
564210.2342999997,7701911.7709,260.5889,K__fz_st
562979.0625999998,7701539.4455,260.5889,K__fz_st
562250.5520000001,7700397.0269,256.37766,K__fz_st
561390.7723000003,7699285.9119,262.68817,K__fz_st
559924.0122999996,7697771.8662,271.43756,K__fz_st
558342.1513,7696476.3094,265.0887,K__fz_st
556584.0515000001,7695470.458,266.13504,K__fz_st
555365.7538999999,7695095.9594,281.11652,K__fz_st
554477.1195,7695372.102,259.11783,K__fz_st
553754.6518999999,7695963.165,259.11783,K__fz_st
552747.8973000003,7696353.7135,249.8139,K__fz_st
551630.2572999997,7696331.7814,243.94678,K__fz_st
550637.4395000003,7695901.9958,243.94678,K__fz_st
548535.2854000004,7694616.9916,243.77673,K__fz_st
544736.0284000002,7692096.9885,259.69916,K__fz_st
543646.6742000002,7691043.9116,249.75867,K__fz_st
543630.4934,7690547.197,264.77563,K__fz_st
543841.8861999996,7690104.0776,264.77563,K__fz_st
544278.0432000002,7689807.518,275.97375,K__fz_st
544820.8534000004,7689810.8905,275.97375,K__fz_st
549700.8909999998,7689246.4178,286.44318,K__fz_st
554319.2483000001,7688250.6287,289.01126,K__fz_st
557027.7811000003,7687379.5471,268.02988,K__fz_st
559449.3861999996,7686820.4391,277.81042,K__fz_st
