WKT	OBJECTID	FEATURE
"LINESTRING (460392.9643797129 7626555.080453722, 454962.3246636307 7629069.199637091, 451504.873028934 7630902.79079054, 449081.7957827002 7632949.621680778, 447400.4683887195 7634261.09483202, 445026.7740528872 7635991.460823458, 443787.7655748688 7637620.095727841, 442845.5050769905 7638986.317388404, 441310.5278741308 7640455.712949239, 438245.317943166 7641919.257715582, 435378.8530206494 7642908.967340611, 432511.3760895068 7644056.200343629, 428887.9451767374 7645336.082232833, 427434.7100290367 7646419.759994471, 427327.3499352094 7646508.170116487, 426017.9000534965 7647726.700021063, 425855.2000832837 7647892.070061853, 425617.4101164117 7648204.059925986, 423988.8021784071 7650548.861592191, 421810.4992087847 7652173.097755797, 419730.628072761 7653321.900226493, 417257.0888907099 7654341.989686626, 415077.9299998581 7655247.481126056, 413601.8190606264 7655709.91621719, 411962.1241264958 7657492.179400849, 410024.7634787159 7659430.693442672, 407838.9906754913 7661525.63485675, 406298.137452852 7663097.222840091, 404708.4785638312 7664510.368178503, 402523.8444956746 7666183.251738956, 401429.1618955489 7667388.310572937, 399544.2818604121 7668430.494824288, 397452.1693609692 7669343.947122689, 397164.7543681012 7669469.408670116, 395425.0231237281 7670933.461167201, 393734.4323592335 7672397.658792633, 392634.9452678114 7674181.596079764, 391331.8721377123 7676806.972504998, 389682.1086316081 7679429.964135762, 388084.8606869029 7681526.390826243, 386183.1203933917 7684674.155425173, 384086.722904982 7687240.925526553, 381492.4200789388 7690120.005670906, 378503.4241471663 7692679.793437461, 375414.8605508143 7695185.674211618, 374063.5764456205 7697072.018169039, 372508.6703039398 7699641.551537538, 370508.6522507519 7702049.501675827, 368103.8422972541 7705454.989667019, 365890.8890457535 7709546.548331301, 364543.3653422762 7710694.74474558, 363290.9616688108 7712317.73675601, 360976.4208168304 7716460.614106799, 360425.0333416704 7717465.60261852, 358962.3286959017 7720131.60689185, 357734.3236327193 7723202)"	"1"	"Fault or shear zone"
"LINESTRING (328177.3852259871 7521778.032601335, 328365.6881917473 7523517.535257641, 328365.7929656962 7524505.041454538, 328506.9606088093 7525304.048043308, 328507.1445153868 7527278.545327891, 328601.5181766767 7530146.557393221, 328648.7275491292 7531980.068650242, 328554.9173882809 7533860.577948107, 328555.1911260625 7536540.580076429, 328367.1851508291 7537857.08854306, 327802.9549585823 7539221.091852456, 327097.6753465533 7540678.595686672, 326980.0999442646 7540988.189868581, 326932.7400507974 7541146.579957206, 326894.9199323291 7541304.990044327, 326519.4399997694 7543098.800067252, 326512.9700784395 7543196.699946576, 326529.7400888745 7543272.369915036, 326566.2000075979 7543348.380038347, 326802.5001663854 7543732.390051843, 326857.6699203327 7543839.390068953, 326899.0614360645 7544102.624798453, 326919.283009395 7544418.126608324, 327027.1344166808 7545199.110607674, 327051.7700398685 7545614.0499748, 327184.4200471556 7545990.169870419, 327365.1599395238 7546382.250027029, 327468.2498902204 7546664.769894064, 327559.250105883 7546826.789918686, 327846.4800784858 7547621.620085279, 327907.2699479638 7547827.949997721, 327919.0849070549 7547902.25279927)"	"2"	"Fault or shear zone"
"LINESTRING (481856.6599622192 7477635.26006732, 481277.6599509334 7477772.259832121, 480479.5099189412 7478039.199976838, 480170.4399357643 7478156.179912179, 479490.7000820832 7478347.180028049, 479212.9799434552 7478401.440012468, 478991.1098631537 7478462.879924443, 478653.189957073 7478584.159894186, 478152.8197629098 7478712.100151172, 478008.7399546867 7478769.150087937, 477441.0499507627 7478928.410068354, 476773.7000087881 7479151.570007994, 476408.3899289817 7479297.479971443, 475960.1600929108 7479451.800065809, 475772.2700437466 7479535.590250109, 475325.0499820169 7479702.070059871, 474834.7699516825 7479853.719963121, 474624.720044218 7479935.020059051, 474163.9400866032 7480087.289925737, 473857.4599142633 7480174.140048429, 473544.2800839702 7480282.720045174, 473236.5000767196 7480369.860079179, 472920.8699723613 7480483.79990445, 472394.4399419334 7480631.760084245, 472165.6600570381 7480709.260029467, 471964.0398770357 7480760.670041973, 471859.4000048917 7480803.039888898, 471411.1100133946 7480935.890007667, 471298.1599223288 7480982.289924473, 471081.7800112879 7481044.65004945, 470853.6100944839 7481123.13997875, 470721.8399914782 7481181.089931736, 470200.0699617667 7481341.659970594, 469721.8199321041 7481505.959999846, 469569.8400661815 7481569.609960724, 469290.6600581706 7481664.26012428, 469207.6601124294 7481706.26003523, 468815.5700255604 7481898.789771848, 468531.6799656088 7482001.880081402, 468390.5600493383 7482065.619869158, 468117.6600453313 7482164.26002145, 467352.7200553026 7482466.999978426, 467034.3201207779 7482617.040093568, 466763.8100223728 7482724.039962563, 466471.9300207514 7482877.989959977, 466133.7400520295 7483019.820244962, 465645.1500214329 7483263.970095682, 465405.7499514027 7483366.850054677, 464986.2800484253 7483598.219895373, 464571.4699730687 7483804.180026557, 464443.8198918086 7483860.210090942, 464119.0699411174 7484035.659922904, 463819.3899305444 7484172.470055208, 463311.0700303558 7484443.200045705, 463138.3699536044 7484555.579909361, 462803.4299624646 7484711.679924404, 461551.2599350307 7485404.34007809, 461290.0999929486 7485562.680074234, 461047.1200327137 7485689.120031396, 460654.9898747485 7485919.490016556, 460428.9001158448 7486041.970104333, 460232.5999462921 7486133.83012235, 459895.6599186622 7486321.260058112, 459639.4798459951 7486457.989967453, 459402.1399600664 7486564.730023095, 459000.9398661936 7486769.419844358, 458807.0899762101 7486850.199905141, 458603.1699715639 7486966.34029217, 458460.4299066318 7487034.20014099, 458182.5801541079 7487137.980119265, 458067.8801172171 7487196.699953134, 457908.8901005825 7487265.290052579, 457403.6400737157 7487424.329894495, 457252.5399922607 7487484.050050756, 456996.2899772795 7487628.260117296, 456810.7499299375 7487702.089986743, 456723.8099912023 7487745.380235474, 456513.3798852637 7487817.740009996, 456277.3901315788 7487914.40998746, 455955.5598604605 7488086.159826332, 455618.5500612687 7488246.109973246, 455316.7199829798 7488374.079957187, 455155.0299562728 7488434.210042597, 454936.230016198 7488541.029983961, 454552.1100066407 7488699.920089685, 454481.620049688 7488733.570022889, 454303.7801067475 7488837.180101745, 453480.2200657725 7489188.959989801)"	"3"	"Fault or shear zone"
"LINESTRING (285197.6553804271 7697058.081297725, 285272.6555642156 7696883.081020419, 285860.1930699092 7695702.992684687, 286228.5361699847 7694905.367573142, 286283.5695777703 7694808.000681615, 286571.8473069905 7694150.918949356, 286650.900234238 7694063.29679472, 286713.9892122078 7693959.857783554, 286739.097754607 7693889.922057495, 286748.5887461674 7693880.353983548, 286850.6475349342 7693605.319978748, 286881.8498101867 7693471.857205339, 286881.7508903366 7693450.01155863, 286926.971056246 7693350.521794637, 286994.5127587411 7693122.928167105, 287131.5174911232 7692832.117358202, 287220.9683688966 7692617.961008462, 287304.6968436714 7692394.652368557, 287387.0396897061 7692174.52121572, 287435.8798605149 7691963.284177687, 287487.8699206881 7691818.043824804, 287542.5233723043 7691685.460750403, 287612.4068726083 7691552.747772371, 287677.1285282591 7691409.916845251, 287912.7204838217 7690793.132411583, 287962.4759606364 7690680.925263355, 288009.7659185109 7690576.356498126, 288247.1060026956 7690147.473867515, 288361.3933795432 7689872.119836493, 288431.2192677561 7689731.78839269, 288483.6792396384 7689637.327637363, 288593.9097799951 7689471.211453032, 288758.5792431823 7689149.676873831, 288848.2032902111 7688953.286936406, 288957.4112381298 7688677.992981642, 289064.3928310047 7688435.722250314, 289116.8529531306 7688341.261465695, 289181.5992473317 7688200.98006638, 289329.2411042644 7687960.858855895, 289449.8366131205 7687817.498087873, 289520.3468576285 7687750.801651655, 289764.8608178761 7687545.323460911, 289951.2169289818 7687370.859038631, 290091.9817714445 7687209.531861728, 290192.1192383317 7687051.134018213, 290284.1593352808 7686842.016655004, 290318.4868761258 7686709.64352699, 290369.6111006731 7686470.452254322, 290472.9067551121 7685834.611713915, 290527.1314756373 7685656.327963473, 290556.9979032954 7685590.021473401, 290660.252351633 7685492.541364318, 290713.3473658697 7685466.636632349, 290852.6938642689 7685424.675082404, 291196.7599819924 7685271.566251853, 291348.2525882178 7685171.076762933, 291552.1064037198 7684965.97845163, 291754.1377735772 7684837.084705098, 291948.9128997625 7684746.343201332, 292108.0164637742 7684645.793690227, 292149.3858703696 7684605.63189277, 292233.1471928185 7684476.198194714, 292296.6318803768 7684354.372994212, 292370.2837635213 7684189.366610134, 292451.6702393941 7683854.264804864, 292590.5385648882 7683381.111070392, 292809.6470760932 7683196.888555275, 293494.5222418026 7682742.89097988, 293747.5789107576 7682584.753157515, 293842.0700395511 7682456.229950149, 293928.3499660438 7682352.189944772, 294538.4120331702 7681665.804713)"	"6"	"Fault or shear zone"
"LINESTRING (482450.6800860965 7462499.870000194, 481895.0700175478 7462786.559975928, 481605.8300559314 7462922.690051207, 481332.0100251841 7463071.799929772, 480916.7700262378 7463323.370081385, 480562.6600815342 7463578.260022146, 480148.9901040659 7463893.920037797, 479815.1100513237 7464166.150087774, 479620.639970161 7464339.22992579, 479334.5200435476 7464549.949922648, 478844.3000105162 7464999.170329491, 478687.6100614049 7465150.750011575, 478227.369883637 7465686.859935537, 477840.0001276514 7466177.800038228, 477745.520059742 7466356.590005374, 477651.4099429465 7466505.310013149, 477538.8998132435 7466707.370050649, 477430.9500839735 7466877.139997177, 477315.5999827441 7467096.869880151, 477185.3799313358 7467308.369937034, 477046.509948727 7467590.300008524, 476693.2899879441 7468180.979997599, 476482.6797376731 7468557.179954322, 476340.3599185854 7468838.729828844, 476112.6999428167 7469220.180054856, 476017.6601137425 7469420.639948459, 475786.0199778675 7469819.150084235, 475669.3300959285 7470040.200022653, 475571.4299751415 7470253.480119387, 475440.7499133784 7470468.240196567, 475367.2700985575 7470619.750063367, 475076.6599525373 7471153.259982068, 475044.5700545012 7471197.760039477, 474993.1600139955 7471296.419947773, 474910.8900755745 7471431.760060251, 474812.6599122433 7471651.259944124, 474729.5499899118 7471798.93005732, 474637.3299616256 7471930.279944723, 474426.6600297281 7472277.260065032, 474037.6599451412 7473002.260020681, 473659.1999482113 7473730.270073069, 473236.6100251533 7474417.640024898, 472922.660063218 7474947.259904583, 472817.4901078083 7475078.47995718, 472606.9500131102 7475379.619940793, 472230.4799945964 7475984.4600978, 472093.0400895783 7476230.950067507, 471755.6597534298 7476771.259928469, 471452.6600936383 7477219.260034912, 471309.4199253197 7477468.260063514, 471233.4600548963 7477577.16007775, 471116.1601139831 7477737.050084917, 471083.6600608358 7477795.260121511, 470881.9499901793 7478091.069902482, 470585.2099667545 7478614.420018231, 469959.2199714049 7479650.449905861, 469071.6159216081 7480965.225237992, 468865.6600562215 7481270.260271415, 468344.6599229221 7481924.259927809, 468117.6600453308 7482164.26002145)"	"8"	"Fault or shear zone"
"LINESTRING (412000.7900942863 7502291.469984358, 412164.7599072992 7502039.149925738, 412368.7699575351 7501777.710003015, 412718.4798283476 7501416.650017951, 412935.6000167478 7501218.430076249, 413161.0199625812 7500963.420023588, 413271.330067548 7500786.020031036, 413393.879948314 7500526.419954301, 413654.4600091751 7500052.250079837, 413808.1099950247 7499789.269990794, 413929.5599511515 7499601.729954144, 414251.3300131205 7499028.790103001, 414382.5198934212 7498838.379977582, 414628.7898935622 7498537.470092742, 414752.8200031199 7498421.359996877, 415046.6499369727 7498077.710015239, 415129.3999979959 7497996.230107913, 415238.2700297243 7497909.299924931, 415601.1198801792 7497673.169878215, 415732.789919527 7497561.720028706, 415879.65010147 7497403.240058236, 416020.6699116323 7497207.580012796, 416197.3901259809 7496983.319974606, 416496.0398577158 7496691.360026239, 416762.0199919656 7496475.09024747, 416978.9900927105 7496317.340064897, 417315.790067389 7496022.469790846, 417422.350045919 7495893.480074938, 417608.1800079454 7495628.879893368, 417872.1700283984 7495297.319909159, 418183.9699805635 7494880.340112869, 418443.7600084038 7494579.180049627, 419254.7899153625 7493544.470005156, 419629.5597679415 7493100.570066977, 419791.9999067983 7492926.839895522, 419997.8599332409 7492724.450045112, 420095.0498727057 7492636.859903306, 420398.8300508058 7492387.080112062, 421298.9699367188 7491569.220057974, 421637.3702149572 7491292.829953006, 421862.8800432126 7491123.130066991, 422253.5199041681 7490861.460019268, 422533.3199833622 7490696.730135133, 422705.3398126088 7490607.179998334, 423074.9799406939 7490460.770047264, 423332.1200347769 7490344.150135813, 423832.4199372764 7490159.970040265, 424172.4799722485 7490063.200094171, 424458.8300771698 7489965.029906969, 424678.3099129141 7489910.469972953, 424911.1897353322 7489835.72992019, 425077.7599913326 7489803.590085436, 425314.5600746021 7489782.209956514, 425411.4101343042 7489782.090025912, 425673.6799680659 7489798.830060386, 425763.4299982581 7489793.510034807, 425882.7899590656 7489775.829917232, 426147.7201197883 7489713.589987061, 426389.9498751161 7489607.470040506, 426617.1899443365 7489525.519980758, 426778.6700588833 7489435.770021696, 426995.0199033144 7489327.140037885, 427492.7999112039 7488997.78008133, 427870.3800076867 7488788.029994516, 428093.7200062225 7488622.309997944, 428358.3299141448 7488439.170118267, 428592.5199291974 7488293.499932375, 428844.3298678201 7488163.290072234, 429085.3799594087 7488028.149928262, 429367.6798934293 7487914.780046452, 429584.0399389938 7487790.610062169, 429788.0100672848 7487693.11992993, 430191.2900261294 7487470.129989827, 430379.2899805061 7487360.269984158, 430456.2499559813 7487304.170095485, 430535.8299575674 7487234.029952812, 430772.6900088232 7487000.830076405, 431096.5799041254 7486626.320047544, 431187.0999629727 7486506.629967103, 431213.1399552911 7486448.939783216)"	"12"	"Fault or shear zone"
"LINESTRING (403356.7900299245 7462722.470047211, 402433.4699204949 7463753.759998976, 402222.9300323789 7464014.700014567, 401653.5299348038 7464604.289950529, 401477.5499108694 7464814.310088119, 401310.4700947956 7464998.310026295, 400536.3099042597 7465744.360154735, 399840.1400883078 7466445.169945913, 399399.1399956838 7466870.609906834, 398773.8699939008 7467441.299904522, 398009.090053275 7468163.660038408, 397568.079773904 7468539.700034734, 397372.9500770094 7468693.329944437, 397238.2600959368 7468818.839894086, 397099.8900258606 7468920.529984819, 396871.7900800271 7469104.429861696, 396755.770062355 7469186.300009159, 396604.1200824374 7469278.510093359, 396514.6199235072 7469343.970098952, 396402.2900484197 7469409.960020307, 396137.3500031064 7469588.230081359, 395898.0899886729 7469767.930011204, 395638.810006745 7469939.020005726, 395346.5899710665 7470157.679935054, 395225.300036258 7470239.289936334, 394861.9700614833 7470464.569877405, 394652.5100797828 7470582.720090387, 394339.8701074761 7470788.489945515, 393710.4599903782 7471150.580037875, 393527.4400682207 7471273.990043193, 393390.2297949187 7471348.529924497, 393168.200003887 7471485.450200314, 392907.2999053976 7471605.850111216, 392646.5300588977 7471743.909973727, 392479.9799533025 7471813.059993772, 392303.2800527932 7471902.929987166, 392174.5300114163 7471996.010087421, 391739.7899884738 7472349.469978407, 391561.8698560465 7472351.970087793, 391471.8197637404 7472361.110066952, 391090.5400650973 7472453.850004302, 391004.3700364165 7472498.260078035, 390882.1199978301 7472591.199958988, 390829.8100289683 7472640.659933388, 390772.6499549793 7472720.749648817, 390721.1800312647 7472820.450002809, 390674.7899744735 7472950.130035209, 390590.8700661706 7473302.39988792, 390461.9400270795 7473898.630003071, 390425.8199091945 7474028.250015013, 390243.8899991842 7474447.78988529, 390132.1900836499 7474665.349909602, 390028.2699912173 7474941.680020416, 389963.1200586347 7475084.64994416, 389925.449938997 7475189.299890939, 389741.8500613308 7475581.130117286, 389707.8200080237 7475712.180040398)"	"13"	"Fault or shear zone"
"LINESTRING (377710.1710607006 7468696.957679746, 375963.1741947573 7465809.455344039, 374652.2051362153 7463106.924027379, 374302.1851002533 7462283.543059562, 373649.2324956048 7461149.797547098, 373122.4325817822 7460145.519385695, 372519.6866385859 7459037.600868007, 371842.3101870606 7457647.370491467, 370862.2998767196 7455970.816230106, 370468.336506559 7455225.251202922)"	"14"	"Fault or shear zone"
"LINESTRING (436740.3100765711 7537088.369961149, 448638.7300411873 7532040.319916636, 458634.2400931381 7528337.220022391, 473154.0700173909 7522957.969905922, 484657.5199581524 7518888.9399616, 491032.899929137 7516614.879903535, 491333.1200085748 7516527.739872752, 493057.5600434309 7516087.420030602, 493277.3998932922 7516052.85994742, 493967.9699873682 7515916.689975131, 493355.9200166184 7516732.309957315, 494408.6300394488 7516359.639902749, 494664.7400480332 7516285.540079005, 498637.1899931775 7515564.939985533, 498922.2500858689 7515537.040065046, 500322.5699409647 7515461.4600801, 501959.7100456059 7515456.049970238, 502178.8698585685 7515447.509987745, 502428.7400877867 7515413.360052386, 504359.7500076452 7515086.460080894, 504688.0399891166 7515025.209980985, 504820.0000959337 7514989.159947422, 505172.0601211805 7514861.460007901, 506200.9235686697 7514470.989509078, 507715.3199460395 7513896.090018041, 513861.2899817703 7511419.609872356, 517553.6374643994 7509742.527363234, 517800.4699762315 7509630.369990707, 519373.9700448485 7508905.040079138, 519642.0201386157 7508790.639994487, 522853.8845614195 7507642.104985407)"	"16"	"Fault or shear zone"
"LINESTRING (325417.8341720775 7663451.715771656, 325372.3019935852 7661675.959775398, 325129.4636030328 7660082.332671246, 325174.9958054749 7659399.349678579, 325433.0115612661 7657669.125887087, 325615.1404233789 7656561.175590031, 325994.5754137188 7654937.193634093, 326465.0748647768 7653692.646737628, 326802.4215386827 7652826.920043756, 328592.1590647167 7648087.991555377, 329973.6167737637 7643937.259911874, 330744.1206049947 7641561.540140565, 331807.1451138156 7637834.245975328, 332031.0105014527 7637007.620243266, 332137.3505141437 7636642.909644408, 332534.8103540726 7635381.980563032, 332650.4399530524 7635088.549441773, 332771.7902429253 7634744.350156482, 332968.0103116659 7634111.319802249, 333079.8201760659 7633716.180144992, 333352.5600284282 7632662.150410293, 333539.2996678129 7631973.089921404, 333695.3796670446 7631293.819376526, 333780.7999302195 7630974.61038887, 333872.2702908898 7630579.220241591, 333921.6197920889 7630295.150037668, 333986.5008993819 7629990.940199938, 334095.5803193925 7629407.690353376, 334159.7597545506 7629159.379637997, 334228.769987708 7628931.469822128, 334431.4098755028 7628191.759851818, 334595.7601224249 7627665.090551579, 334895.14044121 7626921.470316335, 335010.3895987757 7626658.530144613, 335417.8465525135 7625823.944280128, 335636.8604489295 7625395.290347404, 335995.8307452314 7624769.300032509, 336230.4603414657 7624319.719452453, 336464.3795356331 7623926.050390911, 336573.7099284567 7623729.129555242, 336667.8505700324 7623526.930526277, 336877.6696659457 7623026.230254068, 336962.2597612478 7622773.090510567, 337045.7578370683 7622574.699922699, 337130.8852939624 7622347.929753545, 337246.0397500908 7622077.20032674, 337477.2973491754 7621624.919672958, 337532.0333949476 7621423.579931173, 337666.0610211007 7621078.745428142, 337851.3878524909 7620652.869693836, 338186.2117586955 7619841.590469532, 338510.4569372619 7619111.558094285, 338690.2241358701 7618777.112950954, 339121.9780135946 7617915.4993515, 339491.5128320456 7617282.227535218, 340122.5305510825 7616253.934504727, 340492.0707536526 7615620.65722803, 340820.6594599867 7615037.991184425, 340959.3102774071 7614784.638002448, 341201.1197664849 7614257.432682487, 341314.5182414856 7613968.379664819, 341417.4882684564 7613730.097606774, 341561.9882502127 7613329.422507071, 341640.0266842823 7612989.39023251, 341924.814733115 7612015.290458392, 341997.6130112754 7611705.718554897, 342112.8030068753 7611066.102461793, 342308.5886847796 7609583.468021919, 342360.9585433844 7609289.035208648, 342490.8676079689 7608756.198558564, 342676.8867602851 7608193.14212077, 342754.2859508907 7607980.129658732, 342887.8855992062 7607721.665736302, 343176.3848024989 7607016.856335443, 343994.5917307297 7605196.891561299, 344174.6222642725 7604811.637991374, 344328.7819220303 7604512.62372472, 344513.6115701133 7604183.289714888, 344794.740035872 7603501.937798721, 345079.031582457 7602909.182561493, 345389.2706971439 7601664.547745471, 345840.3394439314 7599811.769748921, 346118.8309947699 7596673.330117951, 346121.19957521 7593315.166494968, 346139.1300927 7593162.53999898, 346336.7601329004 7590887.329982569, 346364.0397612778 7590638.989951293, 346404.3699185532 7590417.210101008, 346764.9700030908 7588684.589952827, 347470.0701155737 7584609.020012423, 347786.7800309509 7583284.109942412, 348384.270098283 7581171.970046819, 348843.0598304309 7579776.939968465, 349372.1199669102 7578443.02998955, 349434.1599158533 7578268.760041764, 349760.6699671168 7577134.260001709, 350025.6199457617 7575865.350010631, 350273.5500070062 7574186.210107567, 350363.5561472801 7573511.175958104, 350449.3400323484 7572867.769982449, 350476.9800365157 7572590.540069492, 350580.6157699851 7569636.879181987, 350609.9600663148 7568298.680005157, 350623.1813766137 7567685.801557509, 350635.4300672272 7567118.039920576, 350690.0099114822 7566697.609933492, 350722.9899880309 7566508.519904283, 350959.2399261892 7565524.089906951, 351046.6700128559 7565216.409911026, 351423.1900435602 7564017.189971101, 351516.6300407862 7563775.859968145, 351976.9399074679 7562695.909952119, 352086.7099958453 7562477.449935584, 352448.500038459 7561812.359945061, 352547.3400126863 7561638.280061383, 352645.6199913993 7561489.730047243, 353434.5500039337 7560428.659969391, 354351.3600434465 7559174.520249908, 357532.1200458454 7554427.230079836, 357669.1600220054 7554195.630031559, 358354.2998779621 7552967.779890952, 359037.8699856512 7551800.010084296, 359789.3099421067 7550395.860150628, 360643.310133921 7548800.060010113, 361286.1099919323 7547370.369979911, 361615.9898980008 7546669.219856466, 361671.0699167876 7546536.929848937, 361714.7199131083 7546364.980096277, 361992.1700213701 7544903.759892027, 362060.5998897143 7544580.490124692, 362270.8699763929 7543823.879990429, 362514.4000692181 7542833.190084429, 362582.3300547656 7542639.499991423, 362767.0300695263 7542199.5400781, 362869.9199314741 7541975.49006418, 363103.8699696558 7541502.290030544, 363373.3099691365 7541052.260004639, 363510.0000368431 7540853.569932728, 363992.2499100808 7540222.539926218, 364394.8800436193 7539603.939903984, 364504.7300989358 7539416.189844489, 364859.8599738181 7538666.449971836, 365381.9899524739 7537646.440018499, 365987.6199117489 7536438.600207674, 366460.6599682039 7535373.590128788, 366866.5698728291 7534432.620036445, 367259.2400627537 7533476.600031245, 367353.6600949401 7533215.279989342, 367612.2000422338 7532353.829938324, 368317.2798682274 7530111.650077664, 368609.9299032819 7529064.690069256, 368942.309918642 7528055.389925998, 368998.7301210798 7527832.960034855, 369381.2099778708 7526084.670064593, 369854.3301399089 7524464.999951069, 370209.2799086832 7523134.390150446, 370282.6599216936 7522825.160115762, 370509.1899405671 7521777.590048069, 370762.6499925097 7520520.139931073, 370997.3600289356 7519420.289937434, 371394.9699643655 7517810.720085952, 371941.4001066806 7515363.570057076, 372210.789868908 7514071.709999586, 372605.8600431932 7512599.519924778, 372898.2499922421 7511433.099922641, 373146.089908449 7510665.949978282, 373271.2600343572 7510312.009889111, 373506.6700592674 7509701.680099574, 373789.7899741223 7509072.659932027, 373850.4500837587 7508917.459966068, 374056.9100475432 7508488.909721574, 374148.7800513599 7508274.800001299, 374351.2899630684 7507764.45999117, 374482.9501292612 7507468.630010633, 374557.949958642 7507327.969986184, 374641.6200793954 7507109.299920857, 374707.1400946341 7506991.830002072, 374793.87007662 7506777.310115547, 375037.409913756 7506301.780062597, 375391.4002748607 7505679.240006912, 375689.7299612397 7505241.919934087, 376041.8100616327 7504662.66002764, 376158.7000954039 7504509.259974898, 376388.6299249763 7504178.490005429, 376516.6902749324 7504022.389944836, 376587.2199302632 7503952.000315985, 376922.2300521862 7503658.370068636, 377411.3900543647 7503184.420040437, 377588.0698867878 7502992.27004824, 377815.9701118488 7502782.979954059, 378071.3300476326 7502497.219990413, 378191.7999861287 7502382.450327124, 378323.7198965624 7502269.730019, 378554.3501015147 7502017.119915497, 378726.639878056 7501846.540002662, 379058.9398796018 7501471.759972248, 379352.5302120913 7501124.040040724, 379745.3399549304 7500741.84008397, 379822.1400853982 7500644.059919367, 379970.7000149628 7500480.85992842, 380120.9800531669 7500276.680042641, 380234.9498981796 7500076.100120287, 380369.0600087075 7499891.030010651, 380395.7500501554 7499839.299991081, 380466.6400610739 7499654.920001453, 380519.4801362399 7499489.650114457, 380552.2000524253 7499348.149926998, 380607.9900544789 7499012.369882298, 380649.6199121466 7498832.489881517, 380692.1601186274 7498592.910076285, 380702.2200688701 7498515.39009223, 380718.2599989232 7498224.909912575, 380795.6700129658 7497737.859987933, 380879.4499102887 7496758.149923685, 381053.6400570637 7496411.069958289, 381336.3101069983 7495963.579950822, 381508.7000149796 7495713.299916511)"	"17_0"	"Fault or shear zone"
