WKT	site_code	short_name	site_type_	target_com	site_commo	commodity_
"POINT (417996.2036422644 7598002.753121964)"	"S0000717"	"Telfer"	"Mine"	"GOLD"	"Au, Cu, Ag"	"PRECIOUS METAL"
"POINT (417996.2036422644 7598002.753121964)"	"S0000732"	"Main Dome"	"Mine"	"GOLD"	"Au, Cu, Ag"	"PRECIOUS METAL"
"POINT (418103.8532138445 7598816.453330506)"	"S0000733"	"Telfer CIL"	"Infrastructure"	"GOLD"	"Au, Cu, Ag"	"PRECIOUS METAL"
"POINT (415846.3906303714 7597385.551918538)"	"S0000735"	"West Dome Gp"	"Mine"	"GOLD"	"Au"	"PRECIOUS METAL"
"POINT (423098.9134602695 7635450.138565434)"	"S0000937"	"Minyari Hill"	"Mine"	"GOLD"	"Au, Cu, Co"	"PRECIOUS METAL"
"POINT (411302.3825116735 7592319.965207774)"	"S0000938"	"Fallows Field - Pit 13"	"Mine"	"GOLD"	"Au"	"PRECIOUS METAL"
"POINT (408530.2747554723 7608838.088571608)"	"S0000940"	"Thomsons"	"Mine"	"GOLD"	"Au"	"PRECIOUS METAL"
"POINT (405217.2466515374 7529755.549899045)"	"S0000963"	"Kintyre"	"Mine"	"URANIUM"	"U"	"ENERGY"
"POINT (417920.7909664512 7596189.658159128)"	"S0001100"	"DL5"	"Mine"	"GOLD"	"Au"	"PRECIOUS METAL"
"POINT (314123.5472726892 7551549.594625317)"	"S0001241"	"Enacheddong Creek"	"Deposit"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (352114.0156051719 7604402.504340577)"	"S0001406"	"Nifty"	"Mine"	"COPPER - LEAD - ZINC"	"Cu"	"BASE METAL"
"POINT (316194.1101954476 7613547.197679967)"	"S0001517"	"Radio Hill North"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (318304.3952477472 7599365.790676977)"	"S0001518"	"Lox"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (297198.7197737694 7582038.429430963)"	"S0001678"	"Skull Springs"	"Deposit"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (315884.1840757588 7609008.103884191)"	"S0001949"	"Woodie Woodie Dumps"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (428265.6794006443 7545486.327586365)"	"S0002305"	"Maroochydore"	"Deposit"	"COPPER - LEAD - ZINC"	"Cu, Co"	"BASE METAL"
"POINT (417544.1998824574 7597682.07875003)"	"S0002386"	"Telfer UG"	"Mine"	"GOLD"	"Au"	"PRECIOUS METAL"
"POINT (412733.9689262011 7608596.545744843)"	"S0002884"	"Thomson Dome E"	"Deposit"	"GOLD"	"Au"	"PRECIOUS METAL"
"POINT (351761.0904720135 7604480.184319656)"	"S0003046"	"Nifty Portal"	"Mine"	"COPPER - LEAD - ZINC"	"Cu"	"BASE METAL"
"POINT (404571.0072980496 7529450.473060589)"	"S0003154"	"Kintyre Winze"	"Mine"	"URANIUM"	"U"	"ENERGY"
"POINT (404828.4884877547 7529364.596879221)"	"S0003155"	"Kintyre E"	"Deposit"	"URANIUM"	"U"	"ENERGY"
"POINT (405146.7635251617 7529610.095974211)"	"S0003156"	"Whale"	"Deposit"	"URANIUM"	"U"	"ENERGY"
"POINT (405383.0229231745 7529660.247920657)"	"S0003157"	"Whale E"	"Deposit"	"URANIUM"	"U"	"ENERGY"
"POINT (405062.8645099929 7529839.849371187)"	"S0003158"	"Pioneer"	"Deposit"	"URANIUM"	"U"	"ENERGY"
"POINT (404359.8598593926 7530189.680207664)"	"S0003159"	"Nerada"	"Deposit"	"URANIUM"	"U"	"ENERGY"
"POINT (294875.3263683325 7653605.935392729)"	"S0003241"	"Oakover River Sand"	"Mine"	"CONSTRUCTION MATERIALS"	"Sd"	"CONSTRUCTION MATERIAL"
"POINT (436498.731181264 7579649.89786503)"	"S0003262"	"Big Tree"	"Deposit"	"GOLD"	"Au"	"PRECIOUS METAL"
"POINT (423349.0222985666 7590000.116484587)"	"S0003263"	"O'Callaghans"	"Deposit"	"TUNGSTEN - MOLYBDENUM"	"W, Cu, Zn, Pb, Mo"	"STEEL ALLOY METAL"
"POINT (313649.7401990367 7613409.040130862)"	"S0003336"	"Whodowe A"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (315861.9391023626 7609259.991684411)"	"S0003337"	"Cracker"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (314734.9920621419 7608873.220291189)"	"S0003338"	"Double 8"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (316781.6409361344 7602559.987354846)"	"S0003339"	"Greensnake Bag"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (317522.7287873834 7605787.138180326)"	"S0003340"	"Area 1"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (316770.2457270147 7609636.330849795)"	"S0003343"	"MC272"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (318282.1293775951 7606947.8118333)"	"S0003715"	"Woodie Woodie Plant"	"Infrastructure"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (315724.6939667517 7608919.795158906)"	"S0004016"	"Austin"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (316694.9820291233 7602824.871928123)"	"S0004063"	"Greensnake North"	"Deposit"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (317300.1014600494 7602569.552085342)"	"S0004064"	"Greensnake East"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (430021.6579837039 7574866.104525993)"	"S0004137"	"Bemm"	"Deposit"	"GOLD"	"Au"	"PRECIOUS METAL"
"POINT (435950.6978330534 7579772.666710901)"	"S0004138"	"Big Tree W"	"Deposit"	"GOLD"	"Au"	"PRECIOUS METAL"
"POINT (423085.705458372 7634493.075391438)"	"S0004139"	"WACA"	"Deposit"	"GOLD"	"Au, Cu, Co"	"PRECIOUS METAL"
"POINT (352160.6957187804 7603795.213848796)"	"S0004182"	"Nifty SX/EW"	"Infrastructure"	"COPPER - LEAD - ZINC"	"Cu"	"BASE METAL"
"POINT (317710.1440996551 7604616.372006643)"	"S0004268"	"Chutney"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (318097.074345891 7607143.489473065)"	"S0004269"	"Rhodes"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (316693.0748632986 7603209.431783276)"	"S0004270"	"Bells"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (316267.0366083228 7595481.762520655)"	"S0004273"	"Mike"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (318268.3689388201 7604584.715249674)"	"S0004578"	"Extension Cord"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (316469.4246039252 7610081.598768163)"	"S0004579"	"Big Mack"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (317333.3522603834 7586393.700193434)"	"S0004580"	"Woodie Woodie South"	"Deposit"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (316559.9032664677 7612540.364814986)"	"S0004581"	"Satnat"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (316848.3786731699 7600785.227531734)"	"S0004583"	"UAT"	"Deposit"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (317292.5300596645 7609429.436062315)"	"S0004584"	"Why"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (315658.1475770598 7608916.707734948)"	"S0004585"	"Austin-Cracker Ext"	"Deposit"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (317077.0718274292 7602485.400225194)"	"S0004586"	"Greensnake New"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
"POINT (317214.4464600668 7602247.22530025)"	"S0004587"	"Greensnake South"	"Mine"	"MANGANESE ORE"	"Mn"	"STEEL ALLOY METAL"
