WKT	OBJECTID	dip	strike
"POINT (342847.4466000004 7658203.6912)"	"1"	"90.0"	"305.0"
"POINT (302835.6743999999 7684799.9451)"	"2"	"90.0"	"305.0"
"POINT (341019.142 7657728.8706)"	"3"	"65.0"	"295.0"
"POINT (342204.8509 7660890.1181)"	"4"	"90.0"	"290.0"
"POINT (343032.6485000001 7657513.4947)"	"5"	"90.0"	"300.0"
"POINT (302415.4292000001 7684882.4469)"	"6"	"90.0"	"275.0"
"POINT (392405.3366999999 7610456.0925)"	"7"	"90.0"	"130.0"
"POINT (295270.0960999997 7711399.5115)"	"8"	"90.0"	"325.0"
"POINT (307586.7706000004 7637483.7445)"	"9"	"90.0"	"310.0"
"POINT (319564.4576000003 7600904.1033)"	"10"	"90.0"	"169.0"
"POINT (317584.3392000003 7613384.5147)"	"11"	"90.0"	"144.0"
"POINT (293726.8113000002 7592438.4934)"	"12"	"25.0"	"6.0"
"POINT (294295.8147 7592434.9954)"	"13"	"10.0"	"5.0"
"POINT (294744.7547000004 7592416.4971)"	"14"	"10.0"	"16.0"
"POINT (293759.0542000001 7588664.5089)"	"15"	"15.0"	"11.0"
"POINT (308212.8152999999 7592449.0138)"	"16"	"7.0"	"60.0"
"POINT (319104.8062000005 7589195.9829)"	"17"	"55.0"	"146.0"
"POINT (316982.0455999998 7588096.9907)"	"18"	"40.0"	"175.0"
"POINT (316726.9983999999 7586940.471)"	"19"	"20.0"	"180.0"
"POINT (315771.7237 7587989.4997)"	"20"	"10.0"	"40.0"
"POINT (319007.7024999997 7584787.4148)"	"21"	"10.0"	"99.0"
"POINT (316532.4035 7582820.394)"	"22"	"30.0"	"180.0"
"POINT (314418.6052000001 7583239.413)"	"23"	"10.0"	"17.0"
"POINT (312584.3766999999 7583569.9336)"	"24"	"10.0"	"30.0"
"POINT (310866.1561000003 7582845.4372)"	"25"	"10.0"	"16.0"
"POINT (310100.7910000002 7587295.4964)"	"26"	"40.0"	"83.0"
"POINT (307383.3262 7580403.445)"	"27"	"10.0"	"90.0"
"POINT (306951.0119000003 7579464.4408)"	"28"	"17.0"	"50.0"
"POINT (314173.1127000004 7579882.3884)"	"29"	"20.0"	"133.0"
