UNITNAME,code,colour
Abydos Monzogranite,A_STab_mgm,#FEBFBA
Ahern Formation,P___ah_stq,#FECBA8
Aileron Province granitic unit,P__g_AI,#FE6FB8
Albert Edward Group,P__AL_s,#DFB9AF
Alcurra Dolerite,P__WKA_o,#9EF0DB
Alexander Formation,J__ax_ss,#C1FEE0
Allanson Sandstone,P_CLa_szh,#9DD7FB
Amhurst Metamorphics,P___am_xmg_md,#D4D3A5
Andover Intrusion,A_OPan_xo_a,#78DEA4
Angas Hill Formation,P_E__ag_sg,#FFEDDD
Anketell Formation,K__an_st,#93FD14
Annabelle Volcanics,A__ab_fd,#FEE79F
Annean Supersuite,A_AN_gt,#EDB2CA
Annean Supersuite,A_AN_map,#ABB6FA
Annean Supersuite,A_AN_mg,#EDB2CA
Annean Supersuite,A_AN_od,#86ECD2
Antrim Plateau Volcanics,E__ap_xbb_s,#EFBEE7
Antrim Plateau Volcanics and Lally Conglomerate,E__an_xbb_s,#F4C1E6
Apex Basalt,A_WAa_b,#D8FFD9
Archean--Proterozoic metasiliciclastic unit,AP__mtq_WAC,#E4E0C3
Argus Igneous Complex,A__gs_mo,#9FD7D6
Argyle Lamproite,P___ar_i,#63EDB2
Arid Basin unit,P__xmtn_mon_AFOA,#C3CCD0
Ashburton Formation,P__WYa_bbo,#FEE2BD
Ashburton Formation,P__WYa_ca,#FED8A7
Ashburton Formation,P__WYa_s,#FEE2BD
Atley Igneous Complex,A_ANat_masr,#A897FC
Atley Igneous Complex,A_ANat_ogy,#A7F5AD
"Atley Igneous Complex, middle zone",A_ANam_mat,#BCB3FD
"Atley Igneous Complex, middle zone",A_ANam_ogy,#6FC3C2
"Atley Igneous Complex, upper zone",A_ANaz_og,#9FD7D6
"Atley Igneous Complex, upper zone",A_ANaz_xam_ogl,#D3CCFD
Badgeradda Basin metamorphosed unit,P__xmd_mb_BD,#F4B67D
Balpe Lakes Monzogranite,A__bk_gm,#FE83C2
Balwina Granite,P___ba_gm,#FEBFBA
Bamboo Springs Monzogranite,A_STbs_gmp,#FE9E98
Bandalup Ultramafics,A__bp_muk,#C4FEC6
Barbwire Sandstone,J__bw_sp,#ADFED5
Barlangi Granophyre,AP___bg_gv,#FEBAEA
Barrambie Igneous Complex,A_ANbm_ap,#D6A8FC
Barrambie Igneous Complex,A_ANbm_xony_am,#88E092
Baseline Orthogneiss,A_MNpb_mgni,#FEADD7
Bastion Group,P__BA_s,#D5B9AA
Beabea Monzogranite,A_STbe_gm,#FEBFBA
Beasley River Quartzite,P__SKq_stq,#F1BC89
Bellary Formation,A_FOb_xs_b,#EEEFE2
Bertibubba Supersuite,P__BB_g,#F883B1
Big Bell Suite,A_SDB_gmfe,#EE9894
Big Bell Suite,A_SDB_gmp,#FC9A94
Big Bell Suite,A_SDB_mg,#F4BAB7
Big Bell Suite,A_SDB_mgmm,#F4BAB7
Big Bell Suite,A_SDB_mgmu,#F4BAB7
Bililly Formation,P__BDb_ss,#F9DF9E
Billeranga Subgroup,P__OAB_xss_b,#F5D06E
